dependency_name,import_or_capability,pip_package_name,required_for_stage,expected_environment,observed_status,version_signal,source_evidence,recovery_action,note
OPENAI_API_KEY,OPENAI_API_KEY,,actual_generation,same shell as human-run canary,missing_in_canary_run,,reports/evaluation/common_core_v0/runs/r_bot_pg1_recovery_canary_01/run_results.json,require visible env var before actual run,Do not print or persist secret value
ChromaDB client,chromadb,chromadb,smoke_preflight_and_actual_generation,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,missing_in_current_python_but_observed_in_tmp_smoke_venv,1.5.9,docs/_scratch/RBOT_LLM4REWRITE_DEPENDENCY_PROBE_BINARY_PG_V1.md,keep execution in tmp smoke venv not repo .venv,Current preflight checks current interpreter and therefore reports false in current shell
JPype,jpype,jpype1,jar_loading_and_actual_generation,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,missing_in_current_python_but_observed_in_tmp_smoke_venv,1.7.0,docs/_scratch/RBOT_LLM4REWRITE_DEPENDENCY_PROBE_BINARY_PG_V1.md,keep execution in tmp smoke venv and preserve jar boundary,Upstream JVM path is part of external substrate
JSON Lines,jsonlines,jsonlines,artifact_io_and_actual_generation,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,missing_in_current_python_but_observed_in_tmp_smoke_venv,,docs/_scratch/RBOT_LLM4REWRITE_DEPENDENCY_PROBE_BINARY_PG_V1.md,include in smoke requirements file,Exact version not pinned in current notes
LlamaIndex namespace,llama_index,llama-index-core,rag_index_and_actual_generation,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,missing_in_current_python_but_observed_in_tmp_smoke_venv,0.14.21,docs/_scratch/RBOT_LLM4REWRITE_DEPENDENCY_PROBE_BINARY_PG_V1.md,install canonical hyphen package name in smoke venv,Upstream requirements use underscore naming but pip ecosystem now uses hyphen packages
PostgreSQL driver,psycopg2,psycopg2-binary,postgres_runtime_and_actual_generation,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,missing_in_current_python_but_observed_in_tmp_smoke_venv,2.9.12,docs/_scratch/RBOT_LLM4REWRITE_DEPENDENCY_PROBE_BINARY_PG_V1.md,use psycopg2-binary for smoke recovery only,Chosen because original psycopg2 source build hit missing pg_config
Vector store integration,llama_index.vector_stores.chroma,llama-index-vector-stores-chroma,rag_index_and_actual_generation,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,observed_in_tmp_smoke_venv,no_exact_version,docs/_scratch/RBOT_LLM4REWRITE_DEPENDENCY_PROBE_BINARY_PG_V1.md,include explicitly in smoke requirements file,Needed beyond bare llama-index-core
OpenAI embedding integration,llama_index.embeddings.openai,llama-index-embeddings-openai,rag_index_and_actual_generation,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,inferred_required,no_exact_version,docs/_scratch/RBOT_LLM4REWRITE_ADAPTER_PREFLIGHT_v1.md,include explicitly in smoke requirements file,Upstream config references OpenAIEmbedding
HuggingFace embedding integration,llama_index.embeddings.huggingface,llama-index-embeddings-huggingface,rag_index_recovery,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,inferred_required,no_exact_version,docs/_scratch/RBOT_LLM4REWRITE_RAG_INDEX_BUILD_SQLGLOT_SHIM_v1.md,include explicitly in smoke requirements file,Scratch failures showed this module missing before later recovery
OpenAI LLM integration,llama_index.llms.openai,llama-index-llms-openai,actual_generation,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,inferred_required,no_exact_version,docs/_scratch/RBOT_LLM4REWRITE_ADAPTER_PREFLIGHT_v1.md,include explicitly in smoke requirements file,Upstream config references OpenAI(model=...)
OpenAI-like LLM integration,llama_index.llms.openai_like,llama-index-llms-openai-like,rag_index_recovery_and_actual_generation,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,observed_required,no_exact_version,docs/_scratch/RBOT_LLM4REWRITE_RAG_INDEX_BUILD_OPENAI_LIKE_DEP_v1.md,include explicitly in smoke requirements file,Scratch notes showed this import was needed for build path
OpenAI SDK,openai,openai,actual_generation_and_possible_rag_build,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,observed_in_tmp_smoke_venv,2.34.0,docs/_scratch/RBOT_LLM4REWRITE_DEPENDENCY_PROBE_BINARY_PG_V1.md,keep explicit in smoke requirements file,Needed for current API-backed path
Helper dependency,sqlglot,sqlglot,substrate_compatibility,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,observed_in_tmp_smoke_venv,30.7.0,docs/_scratch/RBOT_LLM4REWRITE_DEPENDENCY_PROBE_BINARY_PG_V1.md,keep explicit in smoke requirements file,Seen in upstream requirements and scratch probes
Helper dependency,prettytable,prettytable,substrate_compatibility,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,observed_in_tmp_smoke_venv,3.17.0,docs/_scratch/RBOT_LLM4REWRITE_DEPENDENCY_PROBE_BINARY_PG_V1.md,keep explicit in smoke requirements file,Observed in tmp probe
Helper dependency,scipy,scipy,substrate_compatibility,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,observed_in_tmp_smoke_venv,1.17.1,docs/_scratch/RBOT_LLM4REWRITE_DEPENDENCY_PROBE_BINARY_PG_V1.md,keep explicit in smoke requirements file,Observed in tmp probe
Upstream clone,LLM4Rewrite checkout,,smoke_preflight_and_actual_generation,/tmp/rewritebench_prior_method_audit/LLM4Rewrite,visible_but_not_repo_pinned,,reports/evaluation/common_core_v0/runs/r_bot_pg1_recovery_canary_01/logs/smoke_dry_run.stdout.log,pin repo URL and commit into manifest,Current path is scratch-only
Retrieval corpus archive,stackoverflow-rewrite-embed.zip,,rag_index_and_actual_generation,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag,visible_but_not_repo_pinned,,docs/_scratch/RBOT_LLM4REWRITE_RAG_INDEX_PREFLIGHT_v1.md,pin archive identity and hash into manifest,Current evidence only proves tmp visibility
Knowledge base snapshot,rule_cluster_summaries_structured.jsonl and rule functions,,rag_index_and_actual_generation,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base,visible_but_not_repo_pinned,,docs/_scratch/RBOT_LLM4REWRITE_RAG_INDEX_PREFLIGHT_v1.md,pin file list and hashes into manifest,Needed for contamination boundary
Chroma index,chroma_db,,actual_generation,/tmp/rewritebench_rbot_llm4rewrite_rag_build_openai_like/rag/chroma_db,visible_in_dry_run_but_not_frozen,,reports/evaluation/common_core_v0/runs/r_bot_pg1_recovery_canary_01/logs/smoke_dry_run.stdout.log,record build provenance and snapshot manifest,Do not rely on anonymous tmp index
Demo selection policy,retrieval ranking and selected rules policy,,current_evidence_generation,policy document,not_frozen,,reports/evaluation/common_core_v0/runs/r_bot_pg40_preflight_01/r_bot_recovery_plan.md,write and freeze deterministic demo policy,Needed before current evidence claims
Contamination guard,fair comparison and no leakage policy,,current_evidence_generation,policy document,not_available,,reports/evaluation/common_core_v0/runs/r_bot_pg40_preflight_01/r_bot_recovery_plan.md,write and freeze contamination guard,Needed before RBOT_CANARY_ALLOW_ACTUAL_RUN=1 can count as current evidence
