substrate_item,current_location,identity_anchor,retention_mode,retain_in_repo_now,retain_outside_repo_later,rebuild_instead,current_status,rationale,next_action
LLM4Rewrite_clone,/tmp/rewritebench_prior_method_audit/LLM4Rewrite,remote=https://github.com/curtis-sun/LLM4Rewrite commit=c9c90e5d7867888c3aaba86e4fc9e6d48f53b375,checksum_and_identity_only,no,yes,optional,identified_tmp_only,External codebase should not be silently vendored in this phase,Keep URL and commit in manifest and document external clone expectation
retrieval_archive,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip,sha256=e7e68b08a4283467f899f05a3150c485e2bf615ccdde4f4ab76e0f08734e546a,checksum_only_now,no,yes,yes,hashed_tmp_only,Large binary and current task forbids copying large tmp artifacts,Retain checksum now and later choose external store URI or deterministic rebuild line
knowledge_base_root,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base,anchor_jsonl_sha256=039823a6b5e87476dfc7a7be1cc9ac1bbeed31ec8972ceaa72364c1a56a03b5d,manifest_only,no,yes,partial,partially_hashed_tmp_only,Current anchor hash is useful but full corpus retention policy is not yet closed,Add machine-readable file inventory if current evidence is pursued
rule_cluster_funcs,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs,file_count=30,manifest_only,no,yes,optional,identified_tmp_only,Count alone is insufficient for full pinning but enough for draft inventory,Add per-file hash manifest if promoted
chroma_db,/tmp/rewritebench_rbot_llm4rewrite_rag_build_openai_like/rag/chroma_db,"sqlite_sha256=50d5c588aaae41b3f0d26b7f53b1546bde30632765efaa0a428d9118236392d5; metadata_sha256=aa39371d0b6c369442bebb8df4b4fca759d6b5abd1a58a2f84b29dd1d61a84d4",anchor_hashes_only_now,no,yes,yes,tmp_binary_not_frozen,Large binary scratch artifact with partial provenance only,Choose either external retained snapshot or deterministic rebuild before current evidence
rag_build_log,/tmp/rewritebench_rbot_llm4rewrite_rag_build_openai_like/rag_gen_build.log,exit_code=0,manifest_reference,no,yes,optional,documented_tmp_only,Useful provenance but not sufficient to freeze the index,Record path and lineage note in manifest
smoke_venv,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,package_snapshot_available,do_not_retain_venv,no,no,no,tmp_execution_env,Virtualenv itself is not a benchmark artifact,Retain requirements checksum and package snapshot only
smoke_requirements,/tmp/rewritebench_rbot_llm4rewrite_requirements_smoke.txt,sha256=7c944dc6c40904d97e580890d907eea28bddc1615371659441d740a902d9a9c0,retain_snapshot_text,yes,optional,no,hashed_tmp_only,Small text artifact suitable for benchmark-side retention,Keep checksum and repo-side requirements proposal aligned
smoke_package_snapshot,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke pip_freeze,pip_freeze_observed,retain_summary_only,yes,optional,no,documented_tmp_only,Package identity matters but full environment binary retention does not,Carry key package versions in manifest and gate
rag_prompts_py,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/prompts.py,sha256=5d512e0ce872f9818731ef36afa997f50d762af2b40cf54e3f2897f0ee83a8fd,checksum_only,yes,optional,no,hashed_tmp_only,File identity can be retained cheaply,Do not confuse checksum with frozen demo policy
my_rewriter_prompts_py,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/my_rewriter/prompts.py,sha256=8343c81948836589d4b21c76e82bdc7d2e448afb57ca416805a87b054a0e3999,checksum_only,yes,optional,no,hashed_tmp_only,File identity can be retained cheaply,Do not confuse checksum with frozen demo policy
config_py,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/my_rewriter/config.py,sha256=0440f9dfe5b7ee00f276f9edb3b8b776da5ada21829db2eafc5b7d1aa0bf98d8,checksum_only,yes,optional,no,hashed_tmp_only,Config source identity can be retained cheaply,Needs separate endpoint/provider logging contract
demo_policy,this_package,policy_doc_v0,retain_in_repo,yes,no,no,not_frozen,Policy is missing and must be authored locally,Freeze via r_bot_demo_policy_v0.md
contamination_guard,this_package,guard_doc_v0,retain_in_repo,yes,no,no,not_available,Guard is missing and must be authored locally,Freeze via r_bot_contamination_guard_v0.md
artifact_contract,this_package,artifact_contract_v0,retain_in_repo,yes,no,no,not_frozen,Current artifact naming for traces is not frozen,Freeze via r_bot_artifact_contract_v0.md
