case_id,in_common_core_v0_40,engine,method_id,runner_supported_now,support_basis,source_sql_exists,ddl_pg_exists,pg_witness_data_exists,prior_pg3_status,known_historical_status,eligible_for_next_pg_expansion_slice,recommended_action,exclusion_reason,claim_boundary,notes
PERF_0006,yes,pg,llm_r2,yes,recovered_cli_supported_case_and_pg3_completed_bounded_evidence,yes,yes,yes,completed_pg3_exact_match,perf0006_anchor_then_pg3_exact_match,no,reference_completed_not_to_rerun,already_completed_in_bounded_pg3_exact_match_evidence,pg_only_audit_not_pg40_not_full120,completed bounded PG3 generation static inspection and execution checker exact-match review
PERF_0008,yes,pg,llm_r2,yes,recovered_cli_supported_case_and_batch_a_checker_consistent_history,yes,yes,yes,not_in_pg3_completed_set,batch_a_checker_consistent,yes,include_in_next_bounded_pg_expansion_slice,none,pg_only_audit_not_pg40_not_full120,common-core overlap plus retained batch A support and complete case-local inputs
PERF_0013,yes,pg,llm_r2,yes,recovered_cli_supported_case_and_pg3_completed_bounded_evidence,yes,yes,yes,completed_pg3_exact_match,batch_a_checker_consistent_then_pg3_exact_match,no,reference_completed_not_to_rerun,already_completed_in_bounded_pg3_exact_match_evidence,pg_only_audit_not_pg40_not_full120,completed bounded PG3 generation static inspection and execution checker exact-match review
PERF_0017,yes,pg,llm_r2,yes,recovered_cli_supported_case_and_batch_a_checker_consistent_history,yes,yes,yes,not_in_pg3_completed_set,batch_a_checker_consistent,yes,include_in_next_bounded_pg_expansion_slice,none,pg_only_audit_not_pg40_not_full120,common-core overlap plus retained batch A support and complete case-local inputs
PERF_0019,yes,pg,llm_r2,yes,recovered_cli_supported_case_and_batch_b_checker_consistent_history,yes,yes,yes,not_in_pg3_completed_set,batch_b_checker_consistent_extraction_v2,yes,include_in_next_bounded_pg_expansion_slice,none,pg_only_audit_not_pg40_not_full120,common-core overlap plus retained batch B support; historical extraction-v2 cleanup noted
PERF_0024,yes,pg,llm_r2,yes,recovered_cli_supported_case_and_pg3_completed_bounded_evidence,yes,yes,yes,completed_pg3_exact_match,batch_b_checker_consistent_extraction_v2_then_pg3_exact_match,no,reference_completed_not_to_rerun,already_completed_in_bounded_pg3_exact_match_evidence,pg_only_audit_not_pg40_not_full120,completed bounded PG3 generation static inspection and execution checker exact-match review
PERF_0033,yes,pg,llm_r2,yes,recovered_cli_supported_case_and_batch_b_checker_consistent_history,yes,yes,yes,not_in_pg3_completed_set,batch_b_checker_consistent,yes,include_in_next_bounded_pg_expansion_slice,none,pg_only_audit_not_pg40_not_full120,common-core overlap plus retained batch B support and complete case-local inputs
PERF_0052,yes,pg,llm_r2,yes,recovered_cli_supported_case_and_batch_c_checker_consistent_history,yes,yes,yes,not_in_pg3_completed_set,batch_c_checker_consistent_extraction_v2,yes,include_in_next_bounded_pg_expansion_slice,none,pg_only_audit_not_pg40_not_full120,common-core overlap plus retained batch C support; historical extraction-v2 cleanup noted
PERF_0054,yes,pg,llm_r2,yes,recovered_cli_supported_case_and_batch_c_checker_consistent_history,yes,yes,yes,not_in_pg3_completed_set,batch_c_checker_consistent,yes,include_in_next_bounded_pg_expansion_slice,none,pg_only_audit_not_pg40_not_full120,common-core overlap plus retained batch C support and complete case-local inputs
PERF_0063,no,pg,llm_r2,yes,recovered_cli_supported_case_and_batch_c_attempt_history,yes,yes,yes,not_in_pg3_completed_set,batch_c_logical_plan_probe_failed,no,exclude_from_common_core_pg_expansion_slice,not_in_common_core_v0_40_and_historical_logical_plan_probe_blocker,pg_only_audit_not_pg40_not_full120,runner-supported historically but outside frozen denominator and previously failed before generation
PERF_0007,yes,pg,llm_r2,no,wrapper_extension_hold_from_pg5_compatibility_packet,yes,yes,yes,not_in_pg3_completed_set,unsupported_for_runner_now,no,hold_for_wrapper_extension,current_runner_support_not_recovered,pg_only_audit_not_pg40_not_full120,in common-core 40 but still excluded because support is not recovered
CONS_0005,yes,pg,llm_r2,no,wrapper_extension_hold_from_pg5_compatibility_packet,yes,yes,yes,not_in_pg3_completed_set,unsupported_for_runner_now,no,hold_for_wrapper_extension,current_runner_support_not_recovered,pg_only_audit_not_pg40_not_full120,consistency case remains outside recovered LLM-R2 support set
CONS_0007,yes,pg,llm_r2,no,wrapper_extension_hold_from_pg5_compatibility_packet,yes,yes,yes,not_in_pg3_completed_set,unsupported_for_runner_now,no,hold_for_wrapper_extension,current_runner_support_not_recovered,pg_only_audit_not_pg40_not_full120,consistency case remains outside recovered LLM-R2 support set
LONGTAIL_0011,yes,pg,llm_r2,no,wrapper_extension_hold_from_pg5_compatibility_packet,yes,yes,yes,not_in_pg3_completed_set,unsupported_for_runner_now,no,hold_for_wrapper_extension,current_runner_support_not_recovered,pg_only_audit_not_pg40_not_full120,long-tail case remains outside recovered LLM-R2 support set
LONGTAIL_0013,yes,pg,llm_r2,no,wrapper_extension_hold_from_pg5_compatibility_packet,yes,yes,yes,not_in_pg3_completed_set,unsupported_for_runner_now,no,hold_for_wrapper_extension,current_runner_support_not_recovered,pg_only_audit_not_pg40_not_full120,long-tail case remains outside recovered LLM-R2 support set
