check_group,check_name,status,details,severity,recommended_action
csv_integrity,row_widths_consistent,pass,"all rows have width 31; 6 data rows plus header",pass,"none"
schema,required_denominator_scope_columns_present,pass,"generation_or_route_denominator_id; execution_or_ready_denominator_id; timing_denominator_id; engine_scope; denominator_caveat; leaderboard_comparable all present",pass,"none"
r_bot,r_bot_scope_fields_correct,pass,"generation_or_route_denominator_id=common_core_v0_40_same_engine_120; execution_or_ready_denominator_id=generated_pg7_only; timing_denominator_id=generated_pg7_match_exact_only; engine_scope=pg_subset_only; leaderboard_comparable=no",pass,"none"
calcite_hep,calcite_scope_fields_correct,pass,"engine_scope=pg_only; leaderboard_comparable=no",pass,"none"
generalization,speedup_transfer_rate_present_and_na,pass,"column exists for all rows and values are NA_not_computed",pass,"none"
generalization,cross_engine_metrics_present_and_na,pass,"cross_engine_executable_rate and cross_engine_consistency_rate exist for all rows and values are NA_not_computed",pass,"none"
validity,negative_rejection_rate_na_not_zero,pass,"column exists for all rows and values are NA_not_computed rather than 0",pass,"none"
comparability,no_noncomparable_row_marked_winner,pass,"no row with leaderboard_comparable=no is described as winner or best method",pass,"none"
markdown,warning_language_present,pass,"markdown explicitly says not a single scalar leaderboard and warns about differing denominators",pass,"none"
support_metrics,support_metrics_not_used_for_ranking,pass,"support/diagnostic metrics are placeholders only and not ranking columns in markdown table",pass,"none"
r_bot,r_bot_described_as_subset_scoped,pass,"R-Bot is described as PG7-only timing, not full 120-row timing, not tri-engine evidence",pass,"none"
calcite_hep,calcite_described_as_pg_only,pass,"Calcite HEP is described as PG40-only / PostgreSQL-only where applicable",pass,"none"
paper_readiness,overall_verdict,pass,"paper_ready=yes with wording warnings only",warning,"use as denominator-aware evidence table, not as ranked leaderboard"
paper_warning,side_by_side_speedup_values_may_be_overread,warning,"compact markdown table still places gm_speedup values side by side across non-comparable rows",warning,"repeat denominator-aware caveat in paper caption"
paper_warning,all_rows_noncomparable,warning,"leaderboard_comparable=no for every row; safe but means table should be framed as evidence ledger rather than ranked table",warning,"describe table as scoped comparison ledger or pre-leaderboard summary"
paper_warning,uncomputed_generalization_metrics,warning,"negative_rejection_rate and generalization metrics remain NA_not_computed",warning,"avoid implying quantitative comparison on those dimensions"
