denominator_id,row_id,case_id,engine,method_id,route_id,planned,preflight_status,expected_support,generation_input_available,runner_available,logical_plan_substrate_available,output_sql_extraction_available,engine_supported_by_method,expected_failure_bucket_if_not_supported,notes
common_core_v0_40_same_engine_120,PERF_0006:pg,PERF_0006,pg,llm_r2,llm_r2_same_engine_120_preflight,true,pg_history_only_not_120_execution_ready,historical_bounded_pg_only,true_manifest_present,false,false,false,historical_bounded_pg_only,unknown_not_recovered,stage1_preflight_only;prior_method_pg10_history_only;runner_logical_plan_extraction_not_closed
common_core_v0_40_same_engine_120,PERF_0006:mysql,PERF_0006,mysql,llm_r2,llm_r2_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0006:spark,PERF_0006,spark,llm_r2,llm_r2_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0007:pg,PERF_0007,pg,llm_r2,llm_r2_same_engine_120_preflight,true,pg_history_only_not_120_execution_ready,historical_bounded_pg_only,true_manifest_present,false,false,false,historical_bounded_pg_only,unknown_not_recovered,stage1_preflight_only;prior_method_pg10_history_only;runner_logical_plan_extraction_not_closed
common_core_v0_40_same_engine_120,PERF_0007:mysql,PERF_0007,mysql,llm_r2,llm_r2_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0007:spark,PERF_0007,spark,llm_r2,llm_r2_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0008:pg,PERF_0008,pg,llm_r2,llm_r2_same_engine_120_preflight,true,pg_history_only_not_120_execution_ready,historical_bounded_pg_only,true_manifest_present,false,false,false,historical_bounded_pg_only,unknown_not_recovered,stage1_preflight_only;prior_method_pg10_history_only;runner_logical_plan_extraction_not_closed
common_core_v0_40_same_engine_120,PERF_0008:mysql,PERF_0008,mysql,llm_r2,llm_r2_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0008:spark,PERF_0008,spark,llm_r2,llm_r2_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0013:pg,PERF_0013,pg,llm_r2,llm_r2_same_engine_120_preflight,true,pg_history_only_not_120_execution_ready,historical_bounded_pg_only,true_manifest_present,false,false,false,historical_bounded_pg_only,unknown_not_recovered,stage1_preflight_only;prior_method_pg10_history_only;runner_logical_plan_extraction_not_closed
common_core_v0_40_same_engine_120,PERF_0013:mysql,PERF_0013,mysql,llm_r2,llm_r2_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0013:spark,PERF_0013,spark,llm_r2,llm_r2_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0017:pg,PERF_0017,pg,llm_r2,llm_r2_same_engine_120_preflight,true,pg_history_only_not_120_execution_ready,historical_bounded_pg_only,true_manifest_present,false,false,false,historical_bounded_pg_only,unknown_not_recovered,stage1_preflight_only;prior_method_pg10_history_only;runner_logical_plan_extraction_not_closed
common_core_v0_40_same_engine_120,PERF_0017:mysql,PERF_0017,mysql,llm_r2,llm_r2_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0017:spark,PERF_0017,spark,llm_r2,llm_r2_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0019:pg,PERF_0019,pg,llm_r2,llm_r2_same_engine_120_preflight,true,pg_history_only_not_120_execution_ready,historical_bounded_pg_only,true_manifest_present,false,false,false,historical_bounded_pg_only,unknown_not_recovered,stage1_preflight_only;prior_method_pg10_history_only;runner_logical_plan_extraction_not_closed
common_core_v0_40_same_engine_120,PERF_0019:mysql,PERF_0019,mysql,llm_r2,llm_r2_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0019:spark,PERF_0019,spark,llm_r2,llm_r2_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0024:pg,PERF_0024,pg,llm_r2,llm_r2_same_engine_120_preflight,true,pg_history_only_not_120_execution_ready,historical_bounded_pg_only,true_manifest_present,false,false,false,historical_bounded_pg_only,unknown_not_recovered,stage1_preflight_only;prior_method_pg10_history_only;runner_logical_plan_extraction_not_closed
