denominator_id,case_id,pool,engine,row_id,planned,source_case_path_or_manifest,expected_method_scope,notes
common_core_v0_40_same_engine_120,PERF_0006,performance,pg,PERF_0006:pg,true,cases/PERF/PERF_0006/manifest.yaml,same_engine_rewrite_track_a,from_common_core_v0_final_denominator
common_core_v0_40_same_engine_120,PERF_0006,performance,mysql,PERF_0006:mysql,true,cases/PERF/PERF_0006/manifest.yaml,same_engine_rewrite_track_a,from_common_core_v0_final_denominator
common_core_v0_40_same_engine_120,PERF_0006,performance,spark,PERF_0006:spark,true,cases/PERF/PERF_0006/manifest.yaml,same_engine_rewrite_track_a,from_common_core_v0_final_denominator
common_core_v0_40_same_engine_120,PERF_0007,performance,pg,PERF_0007:pg,true,cases/PERF/PERF_0007/manifest.yaml,same_engine_rewrite_track_a,from_common_core_v0_final_denominator
common_core_v0_40_same_engine_120,PERF_0007,performance,mysql,PERF_0007:mysql,true,cases/PERF/PERF_0007/manifest.yaml,same_engine_rewrite_track_a,from_common_core_v0_final_denominator
common_core_v0_40_same_engine_120,PERF_0007,performance,spark,PERF_0007:spark,true,cases/PERF/PERF_0007/manifest.yaml,same_engine_rewrite_track_a,from_common_core_v0_final_denominator
common_core_v0_40_same_engine_120,PERF_0008,performance,pg,PERF_0008:pg,true,cases/PERF/PERF_0008/manifest.yaml,same_engine_rewrite_track_a,from_common_core_v0_final_denominator
common_core_v0_40_same_engine_120,PERF_0008,performance,mysql,PERF_0008:mysql,true,cases/PERF/PERF_0008/manifest.yaml,same_engine_rewrite_track_a,from_common_core_v0_final_denominator
common_core_v0_40_same_engine_120,PERF_0008,performance,spark,PERF_0008:spark,true,cases/PERF/PERF_0008/manifest.yaml,same_engine_rewrite_track_a,from_common_core_v0_final_denominator
common_core_v0_40_same_engine_120,PERF_0013,performance,pg,PERF_0013:pg,true,cases/PERF/PERF_0013/manifest.yaml,same_engine_rewrite_track_a,from_common_core_v0_final_denominator
common_core_v0_40_same_engine_120,PERF_0013,performance,mysql,PERF_0013:mysql,true,cases/PERF/PERF_0013/manifest.yaml,same_engine_rewrite_track_a,from_common_core_v0_final_denominator
