dependency,current_status,retained_artifact_path,blocker_severity,required_before_generation,notes
retrieval_corpus,missing,reports/baseline_smoke/rbot_llmr2_retrieval_readiness_v0.json; docs/_scratch/RBOT_LLMR2_READINESS_AUDIT_v0.md,high,yes,retained readiness artifacts explicitly mark retrieval corpus unavailable
demo_policy,defined_on_paper_not_closed,reports/evaluation/common_core_v0/r_bot_formal_substrate_freeze_01/r_bot_formal_demo_policy_v1.md,high,yes,formal policy exists but exact retrieval settings remain unresolved
rule_pool,missing,docs/_scratch/RBOT_LLMR2_READINESS_AUDIT_v0.md; reports/baseline_smoke/rbot_llmr2_retrieval_readiness_v0.json,high,yes,retained readiness artifacts explicitly mark rule-pool path unavailable
contamination_contract,defined_on_paper_not_attested,reports/evaluation/common_core_v0/r_bot_formal_substrate_freeze_01/r_bot_formal_contamination_attestation_plan.md,high,yes,attestation plan exists but retained formal attestation artifact is still missing
input_format_contract,partially_recovered_from_formal_protocol,reports/evaluation/common_core_v0/r_bot_formal_protocol/r_bot_common_core_v0_40_same_engine_protocol.md,medium,yes,formal protocol defines denominator and route but not a closed executable adapter contract
output_sql_contract,defined_on_paper_not_satisfied,reports/evaluation/common_core_v0/r_bot_formal_protocol/r_bot_artifact_contract_v1.md,medium,yes,artifact contract defines retained outputs but no retained full 120-row run satisfies it
per_engine_sql_dialect_support,pg_partial_only_mysql_spark_not_recovered,reports/evaluation/common_core_v0/r_bot_upstream_runner_alignment_audit_v1.md; reports/evaluation/common_core_v0/r_bot_mysql_spark_feasibility_audit_v1.md,high,yes,retained evidence is PostgreSQL-oriented and non-PG executable support is not recovered
generated_sql_retention_path,planned_only_not_satisfied,reports/evaluation/common_core_v0/r_bot_formal_protocol/r_bot_artifact_contract_v1.md; reports/evaluation/common_core_v0/runs/r_bot_same_engine_generation_01/README.md,medium,yes,planned retained output roots exist on paper but not as a closed retained 120-row generation run
checker_handoff,partial_pg_historical_evidence_only,docs/_scratch/RBOT_LLM4REWRITE_CHECKER_HANDOFF_PERF_0006_v1.md; reports/evaluation/common_core_v0/prior_methods_preflight/prior_methods_common_core_v0_40_preflight.md,medium,yes,checker handoff exists only as bounded PostgreSQL historical evidence
timing_policy,pg_subset_only_historical,reports/evaluation/common_core_v0/r_bot_pg15_speedup_summary_v2.md; reports/evaluation/common_core_v0/prior_methods_preflight/prior_methods_common_core_v0_40_preflight.md,medium,no,historical timing evidence exists only on a bounded PostgreSQL subset
failure_bucket_policy,available_stage0_draft,reports/evaluation/common_core_v0/failure_bucket_policy_for_rerun_v1.md,low,yes,Stage-0 failure bucket draft exists for future reruns
reproducibility_contract,missing,reports/baseline_smoke/rbot_llmr2_retrieval_readiness_v0.json; docs/_scratch/RBOT_LLMR2_READINESS_AUDIT_v0.md,high,yes,retrieval/demo reproducibility remains unfrozen in retained readiness artifacts
