dependency,current_status,retained_artifact_path,blocker_severity,required_before_generation,notes
adapter,missing,reports/baseline_smoke/learnedrewrite_input_readiness_v0.json; docs/_scratch/LEARNED_REWRITE_READINESS_AUDIT_v0.md,high,yes,retained readiness artifacts explicitly mark adapter unavailable
checkpoint,missing,reports/baseline_smoke/learnedrewrite_input_readiness_v0.json; docs/_scratch/LEARNED_REWRITE_READINESS_AUDIT_v0.md,high,yes,retained readiness artifacts explicitly mark checkpoint unavailable
inference_entrypoint,missing,reports/baseline_smoke/learnedrewrite_input_readiness_v0.json; docs/_scratch/LEARNED_REWRITE_READINESS_AUDIT_v0.md,high,yes,retained readiness artifacts explicitly mark inference entrypoint unavailable
input_format_contract,partially_recovered_from_readiness_notes,docs/_scratch/LEARNED_REWRITE_READINESS_AUDIT_v0.md; reports/baseline_smoke/learnedrewrite_input_readiness_v0.json,medium,yes,input expectations are described only indirectly through readiness notes
output_sql_extraction,UNKNOWN_NOT_RECOVERED,docs/_scratch/LEARNEDREWRITE_LLM4REWRITE_CHECKER_HANDOFF_PERF_0006_v1.md,medium,yes,no retained common-core 120 extraction contract recovered
per-engine_sql_dialect_support,pg_bounded_only_mysql_spark_not_recovered,reports/evaluation/common_core_v0/prior_methods_preflight/prior_methods_common_core_v0_40_preflight.md,high,yes,retained artifacts support only bounded historical PG evidence
generated_sql_retention_path,missing_for_common_core_120,reports/evaluation/common_core_v0/prior_methods_preflight/prior_methods_common_core_v0_40_preflight.md,high,yes,no retained 120-row generated SQL output location exists
checker_handoff,bounded_pg_only_historical_evidence,docs/_scratch/LEARNEDREWRITE_LLM4REWRITE_CHECKER_HANDOFF_PERF_0006_v1.md,medium,yes,checker handoff is not recovered as a reusable 120-row route contract
timing_policy,not_ready_subset_only_historical_pg,docs/_scratch/PRIOR_METHOD_SPEEDUP_LEARNEDREWRITE_BATCH_C_v1.md,medium,no,historical timing slice exists only on 2 non-noop PG rows
failure_bucket_policy,available_stage0_draft,reports/evaluation/common_core_v0/failure_bucket_policy_for_rerun_v1.md,low,yes,Stage-0 failure bucket draft exists for future reruns
