denominator_id,row_id,case_id,engine,method_id,route_id,planned,preflight_status,expected_support,generation_input_available,adapter_available,checkpoint_available,inference_entrypoint_available,engine_supported_by_method,expected_failure_bucket_if_not_supported,notes
common_core_v0_40_same_engine_120,PERF_0006:pg,PERF_0006,pg,learnedrewrite,learnedrewrite_same_engine_120_preflight,true,pg_history_only_not_120_execution_ready,historical_bounded_pg_only,true_manifest_present,false,false,false,historical_bounded_pg_only,unknown_not_recovered,stage1_preflight_only;prior_method_pg10_history_only;not_120_ready
common_core_v0_40_same_engine_120,PERF_0006:mysql,PERF_0006,mysql,learnedrewrite,learnedrewrite_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0006:spark,PERF_0006,spark,learnedrewrite,learnedrewrite_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0007:pg,PERF_0007,pg,learnedrewrite,learnedrewrite_same_engine_120_preflight,true,pg_history_only_not_120_execution_ready,historical_bounded_pg_only,true_manifest_present,false,false,false,historical_bounded_pg_only,unknown_not_recovered,stage1_preflight_only;prior_method_pg10_history_only;not_120_ready
common_core_v0_40_same_engine_120,PERF_0007:mysql,PERF_0007,mysql,learnedrewrite,learnedrewrite_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0007:spark,PERF_0007,spark,learnedrewrite,learnedrewrite_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0008:pg,PERF_0008,pg,learnedrewrite,learnedrewrite_same_engine_120_preflight,true,pg_history_only_not_120_execution_ready,historical_bounded_pg_only,true_manifest_present,false,false,false,historical_bounded_pg_only,unknown_not_recovered,stage1_preflight_only;prior_method_pg10_history_only;not_120_ready
common_core_v0_40_same_engine_120,PERF_0008:mysql,PERF_0008,mysql,learnedrewrite,learnedrewrite_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0008:spark,PERF_0008,spark,learnedrewrite,learnedrewrite_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0013:pg,PERF_0013,pg,learnedrewrite,learnedrewrite_same_engine_120_preflight,true,pg_history_only_not_120_execution_ready,historical_bounded_pg_only,true_manifest_present,false,false,false,historical_bounded_pg_only,unknown_not_recovered,stage1_preflight_only;prior_method_pg10_history_only;not_120_ready
common_core_v0_40_same_engine_120,PERF_0013:mysql,PERF_0013,mysql,learnedrewrite,learnedrewrite_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0013:spark,PERF_0013,spark,learnedrewrite,learnedrewrite_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
common_core_v0_40_same_engine_120,PERF_0017:pg,PERF_0017,pg,learnedrewrite,learnedrewrite_same_engine_120_preflight,true,pg_history_only_not_120_execution_ready,historical_bounded_pg_only,true_manifest_present,false,false,false,historical_bounded_pg_only,unknown_not_recovered,stage1_preflight_only;prior_method_pg10_history_only;not_120_ready
common_core_v0_40_same_engine_120,PERF_0017:mysql,PERF_0017,mysql,learnedrewrite,learnedrewrite_same_engine_120_preflight,true,no_retained_engine_support,UNKNOWN_NOT_RECOVERED,true_manifest_present,false,false,false,UNKNOWN_NOT_RECOVERED,unsupported,stage1_preflight_only;no_retained_mysql_or_spark_evidence
