summary_scope,summary_key,denominator_id,method_id,planned_rows,timing_eligible_rows,timing_success_rows,coverage_over_planned_denominator,coverage_over_timing_eligible_denominator,gm_speedup,median_speedup_ratio,mean_speedup_ratio,min_speedup_ratio,p25_speedup_ratio,p75_speedup_ratio,max_speedup_ratio,count_speedup_gt_1,count_speedup_lt_1,count_regression_lt_0_8,regression_rate_at_20_pct,note
overall,overall,common_core_v0_40,sqlglot,240,137,137,0.5708333333333333,1.0,1.0179123308070945,1.0075368908611149,1.027405959978876,0.5799425601218791,0.9907757331839547,1.0377382101260526,1.7537342484784912,84,53,7,0.051094890510948905,
route,sqlglot_optimize_same_dialect,common_core_v0_40,sqlglot,120,65,65,0.5416666666666666,1.0,1.0167539422547764,1.0110427105730198,1.0264600891256037,0.5799425601218791,0.9942578386254397,1.040324402561757,1.7537342484784912,42,23,4,0.06153846153846154,
route,sqlglot_transpile_same_dialect_noop,common_core_v0_40,sqlglot,120,72,72,0.6,1.0,1.018959231734577,1.0043173369461118,1.0282598711658582,0.6064721666364342,0.9797771641307942,1.0283926848700773,1.4563999129530019,42,30,3,0.041666666666666664,
engine,pg,common_core_v0_40,sqlglot,80,49,49,0.6125,1.0,1.0213132080445564,1.0004065051242794,1.0458812722355033,0.5799425601218791,0.9798177770868817,1.13947417013175,1.7537342484784912,26,23,7,0.14285714285714285,
engine,mysql,common_core_v0_40,sqlglot,80,50,50,0.625,1.0,1.0062374680878274,1.0085514735386356,1.0064427878028523,0.9648676267624949,0.9941249833260546,1.0173995759395247,1.0469106064807934,33,17,0,0.0,
engine,spark,common_core_v0_40,sqlglot,80,38,38,0.475,1.0,1.029045173509619,1.0158737054237506,1.031165652300625,0.923420500095312,0.9824354272428872,1.0479626518954381,1.1921273989380194,25,13,0,0.0,
pool,performance,common_core_v0_40,sqlglot,96,56,56,0.5833333333333334,1.0,1.0340709908680046,1.010277293676351,1.047864881321562,0.5799425601218791,0.9969088344130435,1.0381338761907999,1.7537342484784912,38,18,3,0.05357142857142857,
pool,consistency,common_core_v0_40,sqlglot,54,36,36,0.6666666666666666,1.0,1.0029701809579292,1.0088726224100233,1.012909467593929,0.6064721666364342,0.972068317462204,1.0439415977526343,1.3399129530567833,22,14,3,0.08333333333333333,
pool,longtail,common_core_v0_40,sqlglot,36,36,36,1.0,1.0,1.0216153304959819,1.0034956870440703,1.0244602297545653,0.9334825034261484,0.9890494949370225,1.0284076769407684,1.332878518034179,22,14,0,0.0,
pool,portability,common_core_v0_40,sqlglot,54,9,9,0.16666666666666666,1.0,0.9650100022801114,0.9942578386254397,0.9698748953947512,0.7217475446995123,0.9914716246555071,0.9968120902491877,1.0423108772281435,2,7,1,0.1111111111111111,
