result_id,result_family,method_or_track,denominator_id,case_count,row_count,pool_scope,engine_scope,route_scope,metric_layer,primary_metric_group,status_summary,main_numbers,validator_status,can_report_now,can_use_for_method_ranking,can_use_for_speedup_leaderboard,key_caveat,source_artifacts,next_gap
denominator_seed_common_core_9,denominator_dictionary,dictionary,seed_common_core_9,9,,mixed_seed_common_core,pg_primary,seed_end_to_end_packet,governance,denominator_dictionary,historic bounded denominator,9 cases seed common-core packet,not_applicable_historic_packet,yes,no,no,must not be merged with common_core_v0_40 or other denominators,docs/_scratch/PAPER_RESULTS_TABLES_DRAFT_v0.md,keep separate from later denominators
denominator_expanded_pg_evidence_46,denominator_dictionary,dictionary,expanded_pg_evidence_46,46,,mixed_expanded_pg_common_core,pg,controls_and_bounded_method_packets,governance,denominator_dictionary,historic expanded PG denominator,46-case expanded PG evidence line,not_applicable_historic_packet,yes,no,no,mixed support and method packets; not a single leaderboard denominator,docs/_scratch/BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,avoid collapsing into common_core_v0_40
denominator_prior_method_pg10,denominator_dictionary,dictionary,prior_method_pg10,10,,same_engine_pg_prior_method_slice,pg,bounded_prior_method_rewrite_generation,governance,denominator_dictionary,historic bounded prior-method denominator,10-case prior-method speedup slice,not_applicable_historic_packet,yes,no,no,"bounded PG-only witness-scale slice, not @40 leaderboard",docs/_scratch/BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,keep separate from seed and @40 lines
denominator_port_bounded_6,denominator_dictionary,dictionary,port_bounded_6,6,,portability_only,pg_mysql_spark,bounded_port_route_packet,governance,denominator_dictionary,bounded cross-engine route packet,6-case bounded PORT closure packet,not_applicable_snapshot,yes,no,no,closure-only packet; no SpeedupTransferRate,docs/_scratch/PORT_CROSS_ENGINE_CLOSURE_SNAPSHOT_6OF6_v1.md;docs/_scratch/PAPER_RESULTS_TABLES_DRAFT_v0.md,target-engine benefit evidence before any transfer metric claim
denominator_common_core_v0_40,denominator_dictionary,dictionary,common_core_v0_40,40,240 method rows / 360 control rows,16 PERF / 9 CONS / 9 PORT / 6 LONGTAIL,pg_mysql_spark,controls and same-engine sqlglot packets,governance,denominator_dictionary,frozen current evaluation denominator,40 cases; denominator-first Common-core v0,current_package_validators_ok,yes,no,no,current method evidence is validity/execution-only; no timing leaderboard yet,reports/curation/common_core_v0_final_denominator.csv;benchmark_spec/COMMON_CORE_V0_EVALUATION_PROTOCOL.md,timing-bearing method packages and separate support tracks
controls_common_core_v0_support,controls_benchmark_support,controls,common_core_v0_40,40,360,all_pools,pg_mysql_spark,native_source|human_positive|hard_negative,benchmark_support,benchmark_validity_controls,denominator-complete fresh controls coverage,324 success; 36 skipped_unsupported; 0 missing,table-derived_support_summary,yes,no,no,"support evidence only, not a rewrite-method leaderboard",reports/evaluation/common_core_v0/controls_status/common_core_v0_controls_status_summary_v2.md;reports/evaluation/common_core_v0/controls_status/common_core_v0_controls_status_table_v2.csv,materialize method packages with runtime where applicable
sqlglot_generation_common_core_v0,sqlglot_generation,sqlglot_generation_only,common_core_v0_40,40,240,all_pools,pg_mysql_spark,sqlglot_optimize_same_dialect|sqlglot_transpile_same_dialect_noop,benchmark_support,generation_coverage,generation-only packet with explicit failures and no-ops,203 generated; 37 failed; 37 no-op,generation_only_no_validator_needed,yes,no,no,"generation-only; no execution, consistency, or speedup claim",reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generation_summary.csv;reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generation_triage.md,execution materialization and result-comparison package
sqlglot_same_engine_execution_common_core_v0,sqlglot_same_engine_execution,sqlglot,common_core_v0_40,40,240,all_pools,pg_mysql_spark,sqlglot_optimize_same_dialect|sqlglot_transpile_same_dialect_noop,primary_validity,execution_evidence,execution evidence complete with explicit skipped rows,137 success; 16 failure; 87 skipped,nonport_ok=true(0); port_ok=true(0),yes,no,no,execution-only evidence; no timing and no final leaderboard,reports/evaluation/common_core_v0/sqlglot_same_engine_execution_summary_v1.md;reports/evaluation/common_core_v0/sqlglot_same_engine_execution_summary_v1.csv;reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/validation_report.json;reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_resolved_01/validation_report.json,result-validation-ready same-engine method package with timing if speedup is desired
sqlglot_validity_common_core_v0,sqlglot_validity_only,sqlglot,common_core_v0_40,40,240,all_pools,pg_mysql_spark,sqlglot_optimize_same_dialect|sqlglot_transpile_same_dialect_noop,primary_validity,executable_rate,denominator-aware validity summary,exec_rate_planned=0.5708; exec_rate_attempted=0.8954; generation_failed=27; noop=24; skipped_unsupported=36,derived_from_validated_source_packages,yes,no,no,validity/execution-only; performance metrics remain not ready,reports/evaluation/common_core_v0/sqlglot_validity_summary_v1.md;reports/evaluation/common_core_v0/sqlglot_validity_summary_v1.csv,runtime-bearing method rows before any speedup claim
seed_common_core_9_validity_packet,historic_validity_packet,seed_controls_sqlglotopt_directllm,seed_common_core_9,9,,mixed_seed_common_core,pg,controls|sqlglot_opt_same_dialect|llm_direct_rewrite,primary_validity,historic_executable_and_consistency,seed packet validity closed for listed methods,controls complete; SQLGlot optimize 9/9 valid; Direct LLM rewrite 9/9 valid,historic_table_draft,yes,no,no,seed-only denominator; must not be merged with later packets,docs/_scratch/PAPER_RESULTS_TABLES_DRAFT_v0.md,keep denominator distinct from @40 packets
