row_type,scope,pool,engine,outcome_class,failure_subclass,numerator,denominator,rate_pct,planned_rows,generation_success_rows,ready_to_execute_rows,preflight_blocked_rows,executed_rows,match_exact_rows,mismatch_rows,execution_failed_rows,note
summary,overall,,,,,120,120,100.00,120,120,115,5,99,94,5,16,generation_success_rate over planned denominator
summary,overall,,,,,99,120,82.50,120,120,115,5,99,94,5,16,executable_rate over planned denominator defined as executed or planned
summary,overall,,,,,99,115,86.09,120,120,115,5,99,94,5,16,executable_rate over ready_to_execute denominator defined as executed or ready_to_execute
summary,overall,,,,,115,120,95.83,120,120,115,5,99,94,5,16,preflight ready coverage over planned denominator
summary,overall,,,,,94,120,78.33,120,120,115,5,99,94,5,16,result_consistency_rate over planned denominator defined as match_exact or planned
summary,overall,,,,,94,99,94.95,120,120,115,5,99,94,5,16,result_consistency_rate over executed denominator defined as match_exact or executed
summary,overall,,,,,94,115,81.74,120,120,115,5,99,94,5,16,result_consistency_rate over ready_to_execute denominator defined as match_exact or ready_to_execute
summary,overall,,,,,5,120,4.17,120,120,115,5,99,94,5,16,preflight_blocked_rate over planned denominator
summary,overall,,,,,16,120,13.33,120,120,115,5,99,94,5,16,execution_failed_rate over planned denominator
summary,overall,,,,,16,115,13.91,120,120,115,5,99,94,5,16,execution_failed_rate over ready_to_execute denominator
summary,overall,,,,,5,99,5.05,120,120,115,5,99,94,5,16,mismatch_rate over executed denominator
summary,overall,,,,,5,115,4.35,120,120,115,5,99,94,5,16,mismatch_rate over ready_to_execute denominator
outcome_class,overall,,,match_exact,,94,120,78.33,120,120,115,5,99,94,5,16,executed and exact result match
outcome_class,overall,,,mismatch,,5,120,4.17,120,120,115,5,99,94,5,16,executed but not consistency valid
outcome_class,overall,,,execution_failed,,16,120,13.33,120,120,115,5,99,94,5,16,method or execution failure bucket before any timing or speedup analysis
outcome_class,overall,,,not_executed_preflight_blocked,,5,120,4.17,120,120,115,5,99,94,5,16,package or artifact gap and not counted as LLM generated SQL failure
failure_subclass,overall,,,,llm_generated_sql_dialect_execution_failure,14,16,87.50,120,120,115,5,99,94,5,16,execution_failed rows excluding draft DDL or package limitation
failure_subclass,overall,,,,draft_ddl_package_limitation,2,16,12.50,120,120,115,5,99,94,5,16,execution_failed rows triaged as package limitation rather than rewrite semantics alone
pool,overall,consistency,,,,27,120,22.50,27,27,27,0,27,24,3,0,pool share of planned denominator
pool,validity,consistency,,match_exact,,24,27,88.89,27,27,27,0,27,24,3,0,match_exact or planned within pool
pool,validity,consistency,,mismatch,,3,27,11.11,27,27,27,0,27,24,3,0,mismatch or planned within pool
pool,validity,consistency,,execution_failed,,0,27,0.00,27,27,27,0,27,24,3,0,execution_failed or planned within pool
pool,validity,consistency,,not_executed_preflight_blocked,,0,27,0.00,27,27,27,0,27,24,3,0,preflight blocked or planned within pool
pool,overall,longtail,,,,18,120,15.00,18,18,18,0,16,16,0,2,pool share of planned denominator
pool,validity,longtail,,match_exact,,16,18,88.89,18,18,18,0,16,16,0,2,match_exact or planned within pool
pool,validity,longtail,,mismatch,,0,18,0.00,18,18,18,0,16,16,0,2,mismatch or planned within pool
pool,validity,longtail,,execution_failed,,2,18,11.11,18,18,18,0,16,16,0,2,execution_failed or planned within pool
pool,validity,longtail,,not_executed_preflight_blocked,,0,18,0.00,18,18,18,0,16,16,0,2,preflight blocked or planned within pool
pool,overall,performance,,,,48,120,40.00,48,48,48,0,46,45,1,2,pool share of planned denominator
