route_id,method_id,engine,planned_rows,successful_exact_timed_rows,failed_or_missing_rows,failure_bucket,failure_count,representative_case_ids,likely_failure_class,recoverability,main_table_implication,appendix_implication,recommended_next_action,notes
sqlglot_transpile_same_dialect_noop,sqlglot,mysql,40,24,14,noop_generated,10,CONS_0036|CONS_0037|PERF_0007|PERF_0033|PERF_0054|PORT_0004|PORT_0013|PORT_0022|PORT_0024|PORT_0025,same_dialect_noop_control_outcome,not_needed_for_recovery,keeps_route_out_of_main_table_due_to_control_path_and_non_exact_rows,retain_as_explicit_denominator_boundary,do_not_recover_for_main_table; keep visible as no-op appendix rows,route-level same-engine control path and not optimizer success evidence
sqlglot_transpile_same_dialect_noop,sqlglot,pg,40,26,14,noop_generated,9,CONS_0036|CONS_0037|PERF_0007|PERF_0033|PERF_0054|PORT_0003|PORT_0005|PORT_0008|PORT_0012,same_dialect_noop_control_outcome,not_needed_for_recovery,keeps_route_out_of_main_table_due_to_control_path_and_non_exact_rows,retain_as_explicit_denominator_boundary,do_not_recover_for_main_table; keep visible as no-op appendix rows,route-level same-engine control path and not optimizer success evidence
sqlglot_transpile_same_dialect_noop,sqlglot,spark,40,22,18,parse_error,6,PERF_0008|PERF_0013|PERF_0017|PERF_0019|PERF_0024|PERF_0077,spark_only_generated_sql_parse_failure,bounded_but_low_value,does_not_make_route_main_table_eligible_even_if_recovered,possible_minor_appendix_cleanup_only,only consider a bounded Spark-only parse audit if appendix wants cleaner per-engine counts,all retained parse failures for this route are Spark-only
sqlglot_transpile_same_dialect_noop,sqlglot,mysql,40,24,14,unsupported,4,PORT_0003|PORT_0005|PORT_0008|PORT_0012,missing_or_unsupported_control_native_source,not_recoverable_in_current_scope,main-table route still blocked by unsupported boundary rows,retain_as_explicit_port_boundary,do_not_recover_inside_same-engine appendix cycle,PORT stress rows should remain explicit not silently dropped
sqlglot_transpile_same_dialect_noop,sqlglot,pg,40,26,14,unsupported,5,PORT_0004|PORT_0013|PORT_0022|PORT_0024|PORT_0025,missing_or_unsupported_control_native_source,not_recoverable_in_current_scope,main-table route still blocked by unsupported boundary rows,retain_as_explicit_port_boundary,do_not_recover_inside_same-engine appendix cycle,PORT stress rows should remain explicit not silently dropped
sqlglot_transpile_same_dialect_noop,sqlglot,spark,40,22,18,unsupported,9,PORT_0003|PORT_0004|PORT_0005|PORT_0008|PORT_0012|PORT_0013|PORT_0022|PORT_0024|PORT_0025,missing_or_unsupported_control_native_source,not_recoverable_in_current_scope,main-table route still blocked by unsupported boundary rows,retain_as_explicit_port_boundary,do_not_recover_inside_same-engine appendix cycle,PORT stress rows should remain explicit not silently dropped
sqlglot_optimize_same_dialect,sqlglot,mysql,40,24,16,generation_failed_method_error,9,CONS_0024|PERF_0008|PERF_0013|PERF_0017|PERF_0019|PERF_0024|PERF_0052|PERF_0054|PERF_0062,optimize_path_method_error_or_unresolved_column_shape,bounded_but_not_worth_main_table_recovery,large generation-failure frontier prevents main-table eligibility,appendix_cleanup_only_if_desired,if audited later isolate optimize-only generation-failed rows as a separate appendix cleanup task,spans multiple cases and is not a one-off artifact gap
sqlglot_optimize_same_dialect,sqlglot,pg,40,23,17,generation_failed_method_error,9,CONS_0024|PERF_0008|PERF_0013|PERF_0017|PERF_0019|PERF_0024|PERF_0052|PERF_0054|PERF_0062,optimize_path_method_error_or_unresolved_column_shape,bounded_but_not_worth_main_table_recovery,large generation-failure frontier prevents main-table eligibility,appendix_cleanup_only_if_desired,if audited later isolate optimize-only generation-failed rows as a separate appendix cleanup task,spans multiple cases and is not a one-off artifact gap
sqlglot_optimize_same_dialect,sqlglot,spark,40,18,22,generation_failed_method_error,9,CONS_0024|PERF_0008|PERF_0013|PERF_0017|PERF_0019|PERF_0024|PERF_0052|PERF_0054|PERF_0062,optimize_path_method_error_or_unresolved_column_shape,bounded_but_not_worth_main_table_recovery,large generation-failure frontier prevents main-table eligibility,appendix_cleanup_only_if_desired,if audited later isolate optimize-only generation-failed rows as a separate appendix cleanup task,spans multiple cases and is not a one-off artifact gap
sqlglot_optimize_same_dialect,sqlglot,mysql,40,24,16,generated_execution_failure_method_generated_sql_execution_failure,3,CONS_0005|CONS_0007|CONS_0009,bad_generated_reference_shape_after_optimize,bounded_but_not_worth_main_table_recovery,executed-failure debt keeps route out of clean 120-row main-table evidence,retain_as_diagnostic_appendix_failures,if audited later isolate these consistency cases in an optimize-only execution-failure packet,retained top errors are generated reference-shape failures
