method_id,route_id,case_id,pool,engine,row_key,denominator_id,pg_or_non_pg,generation_or_route_status,execution_status,exact_match_status,fail_closed_exact_match_contribution,failure_category,blocker_reason,generated_sql_path,source_sql_path,schema_path,witness_data_path,evidence_source_file
calcite_hep,calcite_hep_pg_rewrite,CONS_0005,consistency,pg,CONS_0005:pg,common_core_v0_40_same_engine_120,pg,generation_success,executed,match_exact,1,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0005/pg/calcite_hep_pg_rewrite.sql,cases/CONS/CONS_0005/source.sql,cases/CONS/CONS_0005/schema/ddl_pg.sql,cases/CONS/CONS_0005/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json
calcite_hep,calcite_hep_pg_rewrite,CONS_0007,consistency,pg,CONS_0007:pg,common_core_v0_40_same_engine_120,pg,generation_success,executed,match_exact,1,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0007/pg/calcite_hep_pg_rewrite.sql,cases/CONS/CONS_0007/source.sql,cases/CONS/CONS_0007/schema/ddl_pg.sql,cases/CONS/CONS_0007/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json
calcite_hep,calcite_hep_pg_rewrite,CONS_0009,consistency,pg,CONS_0009:pg,common_core_v0_40_same_engine_120,pg,generation_success,executed,match_exact,1,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0009/pg/calcite_hep_pg_rewrite.sql,cases/CONS/CONS_0009/source.sql,cases/CONS/CONS_0009/schema/ddl_pg.sql,cases/CONS/CONS_0009/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json
calcite_hep,calcite_hep_pg_rewrite,CONS_0010,consistency,pg,CONS_0010:pg,common_core_v0_40_same_engine_120,pg,generation_success,executed,match_exact,1,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0010/pg/calcite_hep_pg_rewrite.sql,cases/CONS/CONS_0010/source.sql,cases/CONS/CONS_0010/schema/ddl_pg.sql,cases/CONS/CONS_0010/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json
calcite_hep,calcite_hep_pg_rewrite,CONS_0011,consistency,pg,CONS_0011:pg,common_core_v0_40_same_engine_120,pg,generation_success,executed,match_exact,1,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0011/pg/calcite_hep_pg_rewrite.sql,cases/CONS/CONS_0011/source.sql,cases/CONS/CONS_0011/schema/ddl_pg.sql,cases/CONS/CONS_0011/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json
calcite_hep,calcite_hep_pg_rewrite,CONS_0012,consistency,pg,CONS_0012:pg,common_core_v0_40_same_engine_120,pg,generation_success,executed,match_exact,1,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0012/pg/calcite_hep_pg_rewrite.sql,cases/CONS/CONS_0012/source.sql,cases/CONS/CONS_0012/schema/ddl_pg.sql,cases/CONS/CONS_0012/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json
calcite_hep,calcite_hep_pg_rewrite,CONS_0024,consistency,pg,CONS_0024:pg,common_core_v0_40_same_engine_120,pg,generation_success,executed,match_exact,1,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0024/pg/calcite_hep_pg_rewrite.sql,cases/CONS/CONS_0024/source.sql,cases/CONS/CONS_0024/schema/ddl_pg.sql,cases/CONS/CONS_0024/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json
calcite_hep,calcite_hep_pg_rewrite,CONS_0036,consistency,pg,CONS_0036:pg,common_core_v0_40_same_engine_120,pg,generation_success,execution_failed,not_checked_execution_failed,0,execution_failed,"Command '['psql', '-v', 'ON_ERROR_STOP=1', '-X', '-q', '-c', 'SET search_path TO ccv0_calcite_hep_cons_0036;', '-c', 'COPY (SELECT ""NAME"", COUNT(*) AS ""C""\nFROM ""DEPT""\nGROUP BY ""NAME""\nHAVING ""NAME"" = \'Charlie\') TO STDOUT WITH (FORMAT CSV, DELIMITER E\'\\t\', NULL \'NULL\');']' returned non-zero exit status 1.",reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0036/pg/calcite_hep_pg_rewrite.sql,cases/CONS/CONS_0036/source.sql,cases/CONS/CONS_0036/schema/ddl_pg.sql,cases/CONS/CONS_0036/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json
calcite_hep,calcite_hep_pg_rewrite,CONS_0037,consistency,pg,CONS_0037:pg,common_core_v0_40_same_engine_120,pg,generation_success,execution_failed,not_checked_execution_failed,0,execution_failed,"Command '['psql', '-v', 'ON_ERROR_STOP=1', '-X', '-q', '-c', 'SET search_path TO ccv0_calcite_hep_cons_0037;', '-c', 'COPY (SELECT ""EMP"".""DEPTNO"", COUNT(DISTINCT ""DEPT"".""NAME"")\nFROM ""EMP""\nLEFT JOIN ""DEPT"" ON ""EMP"".""DEPTNO"" = ""DEPT"".""DEPTNO""\nGROUP BY ""EMP"".""DEPTNO"") TO STDOUT WITH (FORMAT CSV, DELIMITER E\'\\t\', NULL \'NULL\');']' returned non-zero exit status 1.",reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0037/pg/calcite_hep_pg_rewrite.sql,cases/CONS/CONS_0037/source.sql,cases/CONS/CONS_0037/schema/ddl_pg.sql,cases/CONS/CONS_0037/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json
calcite_hep,calcite_hep_pg_rewrite,LONGTAIL_0011,longtail,pg,LONGTAIL_0011:pg,common_core_v0_40_same_engine_120,pg,generation_success,execution_failed,not_checked_execution_failed,0,execution_failed,"Command '['psql', '-v', 'ON_ERROR_STOP=1', '-X', '-q', '-c', 'SET search_path TO ccv0_calcite_hep_longtail_0011;', '-c', 'COPY (SELECT ""t0"".""Title"", ""t0"".""CreationDate"", ""t0"".""Score"", ""t0"".""ViewCount"", ""t0"".""OwnerDisplayName""\nFROM (SELECT ""Posts"".""Id"", ""Posts"".""Title"", ""Posts"".""CreationDate"", ""Posts"".""Score"", ""Posts"".""ViewCount"", ""Users"".""DisplayName"" AS ""OwnerDisplayName"", DENSE_RANK() OVER (PARTITION BY ""Posts"".""OwnerUserId"" ORDER BY ""Posts"".""Score"" DESC) AS ""PostRank""\nFROM ""Posts""\nINNER JOIN ""Users"" ON ""Posts"".""OwnerUserId"" = ""Users"".""Id""\nWHERE ""Posts"".""PostTypeId"" = 1 AND CAST(""Posts"".""CreationDate"" AS VARCHAR(10)) >= \'2022-01-01\') AS ""t0""\nINNER JOIN (SELECT ""t2"".""OwnerDisplayName"", MAX(""t2"".""PostRank"") AS ""MaxPostRank""\nFROM (SELECT ""Users0"".""DisplayName"" AS ""OwnerDisplayName"", DENSE_RANK() OVER (PARTITION BY ""Posts0"".""OwnerUserId"" ORDER BY ""Posts0"".""Score"" DESC) AS ""PostRank""\nFROM ""Posts"" AS ""Posts0""\nINNER JOIN ""Users"" AS ""Users0"" ON ""Posts0"".""OwnerUserId"" = ""Users0"".""Id""\nWHERE ""Posts0"".""PostTypeId"" = 1 AND CAST(""Posts0"".""CreationDate"" AS VARCHAR(10)) >= \'2022-01-01\') AS ""t2""\nGROUP BY ""t2"".""OwnerDisplayName"") AS ""t3"" ON ""t0"".""OwnerDisplayName"" = ""t3"".""OwnerDisplayName""\nWHERE ""t0"".""PostRank"" = ""t3"".""MaxPostRank""\nORDER BY ""t0"".""Score"" DESC, ""t0"".""ViewCount"" DESC) TO STDOUT WITH (FORMAT CSV, DELIMITER E\'\\t\', NULL \'NULL\');']' returned non-zero exit status 1.",reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/LONGTAIL_0011/pg/calcite_hep_pg_rewrite.sql,cases/LONGTAIL/LONGTAIL_0011/source.sql,cases/LONGTAIL/LONGTAIL_0011/schema/ddl_pg.sql,cases/LONGTAIL/LONGTAIL_0011/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json
