case_id,pool,source_family,engine,route_id,exit_code,status,failure_class,top_error,stdout_log,stderr_log,generation_status,is_noop_output,execution_command_kind,caveat
PERF_0006,performance,TPC-H,pg,sqlglot_optimize_same_dialect,0,success,success,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/perf_0006__pg__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/perf_0006__pg__sqlglot_optimize_same_dialect.stderr.log,generation_success,no,postgres_inline_cli,runner-clean non-PORT tri-engine canary row
PERF_0006,performance,TPC-H,pg,sqlglot_transpile_same_dialect_noop,0,success,success,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/perf_0006__pg__sqlglot_transpile_same_dialect_noop.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/perf_0006__pg__sqlglot_transpile_same_dialect_noop.stderr.log,generation_success,no,postgres_inline_cli,runner-clean non-PORT tri-engine canary row
PERF_0006,performance,TPC-H,mysql,sqlglot_optimize_same_dialect,0,success,success,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/perf_0006__mysql__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/perf_0006__mysql__sqlglot_optimize_same_dialect.stderr.log,generation_success,no,mysql_inline_cli,previous MySQL auth/setup failure class resolved
PERF_0006,performance,TPC-H,mysql,sqlglot_transpile_same_dialect_noop,0,success,success,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/perf_0006__mysql__sqlglot_transpile_same_dialect_noop.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/perf_0006__mysql__sqlglot_transpile_same_dialect_noop.stderr.log,generation_success,no,mysql_inline_cli,previous MySQL auth/setup failure class resolved
PERF_0006,performance,TPC-H,spark,sqlglot_optimize_same_dialect,0,success,success,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/perf_0006__spark__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/perf_0006__spark__sqlglot_optimize_same_dialect.stderr.log,generation_success,no,spark_inline_pyspark,runner-clean non-PORT tri-engine canary row
PERF_0006,performance,TPC-H,spark,sqlglot_transpile_same_dialect_noop,0,success,success,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/perf_0006__spark__sqlglot_transpile_same_dialect_noop.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/perf_0006__spark__sqlglot_transpile_same_dialect_noop.stderr.log,generation_success,no,spark_inline_pyspark,runner-clean non-PORT tri-engine canary row
CONS_0007,consistency,Calcite,pg,sqlglot_optimize_same_dialect,1,failed,generated_sql_execution_failure,Generated SQL contains invalid correlated reference shape e2.e1.commission,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/cons_0007__pg__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/cons_0007__pg__sqlglot_optimize_same_dialect.stderr.log,generation_success,no,postgres_inline_cli,remaining failure is method SQL not harness
CONS_0007,consistency,Calcite,pg,sqlglot_transpile_same_dialect_noop,0,success,success,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/cons_0007__pg__sqlglot_transpile_same_dialect_noop.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/cons_0007__pg__sqlglot_transpile_same_dialect_noop.stderr.log,generation_success,no,postgres_inline_cli,runner-clean non-PORT tri-engine canary row
CONS_0007,consistency,Calcite,mysql,sqlglot_optimize_same_dialect,1,failed,generated_sql_execution_failure,Unknown column reference from generated SQL shape e2.e1.commission,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/cons_0007__mysql__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/cons_0007__mysql__sqlglot_optimize_same_dialect.stderr.log,generation_success,no,mysql_inline_cli,previous MySQL auth/setup failure class resolved; remaining failure is method SQL
CONS_0007,consistency,Calcite,mysql,sqlglot_transpile_same_dialect_noop,0,success,success,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/cons_0007__mysql__sqlglot_transpile_same_dialect_noop.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/logs/cons_0007__mysql__sqlglot_transpile_same_dialect_noop.stderr.log,generation_success,no,mysql_inline_cli,previous MySQL auth/setup failure class resolved
