case_id,pool,source_family,engine,route_id,generation_status,is_noop_output,generated_sql_path,controls_native_source_status,execution_row_status,source_sql_path,schema_path,witness_data_path,run_local_workspace,execution_command_kind,caveat
PERF_0006,performance,TPC-H,pg,sqlglot_optimize_same_dialect,generation_success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/PERF_0006/pg/sqlglot_optimize_same_dialect.sql,success,ready_to_execute,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_pg.sql,cases/PERF/PERF_0006/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/workspaces/PERF_0006/pg/sqlglot_optimize_same_dialect,postgres_inline_cli,non-PORT tri-engine canary row with fresh controls support
PERF_0006,performance,TPC-H,pg,sqlglot_transpile_same_dialect_noop,generation_success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/PERF_0006/pg/sqlglot_transpile_same_dialect_noop.sql,success,ready_to_execute,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_pg.sql,cases/PERF/PERF_0006/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/workspaces/PERF_0006/pg/sqlglot_transpile_same_dialect_noop,postgres_inline_cli,non-PORT tri-engine canary row with fresh controls support
PERF_0006,performance,TPC-H,mysql,sqlglot_optimize_same_dialect,generation_success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/PERF_0006/mysql/sqlglot_optimize_same_dialect.sql,success,ready_to_execute,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_mysql.sql,cases/PERF/PERF_0006/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/workspaces/PERF_0006/mysql/sqlglot_optimize_same_dialect,mysql_inline_cli,non-PORT tri-engine canary row with fresh controls support
PERF_0006,performance,TPC-H,mysql,sqlglot_transpile_same_dialect_noop,generation_success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/PERF_0006/mysql/sqlglot_transpile_same_dialect_noop.sql,success,ready_to_execute,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_mysql.sql,cases/PERF/PERF_0006/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/workspaces/PERF_0006/mysql/sqlglot_transpile_same_dialect_noop,mysql_inline_cli,non-PORT tri-engine canary row with fresh controls support
PERF_0006,performance,TPC-H,spark,sqlglot_optimize_same_dialect,generation_success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/PERF_0006/spark/sqlglot_optimize_same_dialect.sql,success,ready_to_execute,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_spark.sql,cases/PERF/PERF_0006/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/workspaces/PERF_0006/spark/sqlglot_optimize_same_dialect,spark_inline_pyspark,non-PORT tri-engine canary row with fresh controls support
PERF_0006,performance,TPC-H,spark,sqlglot_transpile_same_dialect_noop,generation_success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/PERF_0006/spark/sqlglot_transpile_same_dialect_noop.sql,success,ready_to_execute,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_spark.sql,cases/PERF/PERF_0006/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/workspaces/PERF_0006/spark/sqlglot_transpile_same_dialect_noop,spark_inline_pyspark,non-PORT tri-engine canary row with fresh controls support
CONS_0007,consistency,Calcite,pg,sqlglot_optimize_same_dialect,generation_success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/CONS_0007/pg/sqlglot_optimize_same_dialect.sql,success,ready_to_execute,cases/CONS/CONS_0007/source.sql,cases/CONS/CONS_0007/schema/ddl_pg.sql,cases/CONS/CONS_0007/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/workspaces/CONS_0007/pg/sqlglot_optimize_same_dialect,postgres_inline_cli,non-PORT tri-engine canary row with fresh controls support
CONS_0007,consistency,Calcite,pg,sqlglot_transpile_same_dialect_noop,generation_success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/CONS_0007/pg/sqlglot_transpile_same_dialect_noop.sql,success,ready_to_execute,cases/CONS/CONS_0007/source.sql,cases/CONS/CONS_0007/schema/ddl_pg.sql,cases/CONS/CONS_0007/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/workspaces/CONS_0007/pg/sqlglot_transpile_same_dialect_noop,postgres_inline_cli,non-PORT tri-engine canary row with fresh controls support
CONS_0007,consistency,Calcite,mysql,sqlglot_optimize_same_dialect,generation_success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/CONS_0007/mysql/sqlglot_optimize_same_dialect.sql,success,ready_to_execute,cases/CONS/CONS_0007/source.sql,cases/CONS/CONS_0007/schema/ddl_mysql.sql,cases/CONS/CONS_0007/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/workspaces/CONS_0007/mysql/sqlglot_optimize_same_dialect,mysql_inline_cli,non-PORT tri-engine canary row with fresh controls support
CONS_0007,consistency,Calcite,mysql,sqlglot_transpile_same_dialect_noop,generation_success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/CONS_0007/mysql/sqlglot_transpile_same_dialect_noop.sql,success,ready_to_execute,cases/CONS/CONS_0007/source.sql,cases/CONS/CONS_0007/schema/ddl_mysql.sql,cases/CONS/CONS_0007/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_execution_canary_01/workspaces/CONS_0007/mysql/sqlglot_transpile_same_dialect_noop,mysql_inline_cli,non-PORT tri-engine canary row with fresh controls support
