repair_row_id,case_id,pool,engine,denominator_id,route_id,model,provider,temperature,top_p,max_tokens,prompt_input_json,prompt_artifact,raw_response_artifact,repaired_sql_artifact,llm_call_attempted,llm_call_success,output_accepted,extraction_status,extraction_failure_reason,token_prompt,token_completion,token_total,call_timestamp,notes
direct_llm_repair_001,CONS_0024,consistency,mysql,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,gpt-4o-mini,api.gptsapi.net,0,1,2048,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_001.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/prompts/CONS_0024/mysql/direct_llm_repair_001.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/raw_responses/CONS_0024/mysql/direct_llm_repair_001.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/CONS_0024/mysql/direct_llm_execute_repair_1shot.sql,true,true,true,accepted,NA_not_applicable,636,87,723,2026-05-11T09:57:49+00:00,exact_match=false; sorted_match=false
direct_llm_repair_002,CONS_0024,consistency,pg,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,gpt-4o-mini,api.gptsapi.net,0,1,2048,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_002.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/prompts/CONS_0024/pg/direct_llm_repair_002.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/raw_responses/CONS_0024/pg/direct_llm_repair_002.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/CONS_0024/pg/direct_llm_execute_repair_1shot.sql,true,true,true,accepted,NA_not_applicable,641,87,728,2026-05-11T09:57:51+00:00,exact_match=false; sorted_match=false
direct_llm_repair_003,CONS_0024,consistency,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,gpt-4o-mini,api.gptsapi.net,0,1,2048,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_003.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/prompts/CONS_0024/spark/direct_llm_repair_003.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/raw_responses/CONS_0024/spark/direct_llm_repair_003.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/CONS_0024/spark/direct_llm_execute_repair_1shot.sql,true,true,true,accepted,NA_not_applicable,639,87,726,2026-05-11T09:57:54+00:00,exact_match=false; sorted_match=false
direct_llm_repair_004,PERF_0007,performance,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,gpt-4o-mini,api.gptsapi.net,0,1,2048,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_004.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/prompts/PERF_0007/spark/direct_llm_repair_004.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/raw_responses/PERF_0007/spark/direct_llm_repair_004.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PERF_0007/spark/direct_llm_execute_repair_1shot.sql,true,true,true,accepted,NA_not_applicable,822,74,896,2026-05-11T09:58:00+00:00,exact_match=false; sorted_match=false
direct_llm_repair_005,PORT_0024,portability,mysql,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,gpt-4o-mini,api.gptsapi.net,0,1,2048,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_005.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/prompts/PORT_0024/mysql/direct_llm_repair_005.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/raw_responses/PORT_0024/mysql/direct_llm_repair_005.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0024/mysql/direct_llm_execute_repair_1shot.sql,true,true,true,accepted,NA_not_applicable,526,58,584,2026-05-11T09:58:03+00:00,exact_match=false; sorted_match=false; portability stress row
direct_llm_repair_006,LONGTAIL_0023,longtail,pg,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,gpt-4o-mini,api.gptsapi.net,0,1,2048,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_006.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/prompts/LONGTAIL_0023/pg/direct_llm_repair_006.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/raw_responses/LONGTAIL_0023/pg/direct_llm_repair_006.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/LONGTAIL_0023/pg/direct_llm_execute_repair_1shot.sql,true,true,true,accepted,NA_not_applicable,1718,237,1955,2026-05-11T09:58:04+00:00,alias total_links referenced in WHERE
direct_llm_repair_007,LONGTAIL_0023,longtail,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,gpt-4o-mini,api.gptsapi.net,0,1,2048,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_007.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/prompts/LONGTAIL_0023/spark/direct_llm_repair_007.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/raw_responses/LONGTAIL_0023/spark/direct_llm_repair_007.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/LONGTAIL_0023/spark/direct_llm_execute_repair_1shot.sql,true,true,true,accepted,NA_not_applicable,2180,237,2417,2026-05-11T09:58:12+00:00,unresolved alias total_links
direct_llm_repair_008,PERF_0019,performance,pg,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,gpt-4o-mini,api.gptsapi.net,0,1,2048,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_008.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/prompts/PERF_0019/pg/direct_llm_repair_008.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/raw_responses/PERF_0019/pg/direct_llm_repair_008.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PERF_0019/pg/direct_llm_execute_repair_1shot.sql,true,true,true,accepted,NA_not_applicable,1451,109,1560,2026-05-11T09:58:15+00:00,column alias c_count missing in subquery output
direct_llm_repair_009,PERF_0077,performance,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,gpt-4o-mini,api.gptsapi.net,0,1,2048,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_009.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/prompts/PERF_0077/spark/direct_llm_repair_009.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/raw_responses/PERF_0077/spark/direct_llm_repair_009.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PERF_0077/spark/direct_llm_execute_repair_1shot.sql,true,true,true,accepted,NA_not_applicable,1092,103,1195,2026-05-11T09:58:21+00:00,Spark schema file was draft or comment-only
direct_llm_repair_010,PORT_0004,portability,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,gpt-4o-mini,api.gptsapi.net,0,1,2048,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_010.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/prompts/PORT_0004/spark/direct_llm_repair_010.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/raw_responses/PORT_0004/spark/direct_llm_repair_010.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0004/spark/direct_llm_execute_repair_1shot.sql,true,true,true,accepted,NA_not_applicable,910,48,958,2026-05-11T09:58:24+00:00,Spark schema file was draft or comment-only; portability stress row
direct_llm_repair_011,PORT_0008,portability,mysql,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,gpt-4o-mini,api.gptsapi.net,0,1,2048,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_011.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/prompts/PORT_0008/mysql/direct_llm_repair_011.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/raw_responses/PORT_0008/mysql/direct_llm_repair_011.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0008/mysql/direct_llm_execute_repair_1shot.sql,true,true,true,accepted,NA_not_applicable,1224,97,1321,2026-05-11T09:58:26+00:00,PostgreSQL-style quoting and casts sent to MySQL; portability stress row
direct_llm_repair_012,PORT_0008,portability,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,gpt-4o-mini,api.gptsapi.net,0,1,2048,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_012.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/prompts/PORT_0008/spark/direct_llm_repair_012.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/raw_responses/PORT_0008/spark/direct_llm_repair_012.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0008/spark/direct_llm_execute_repair_1shot.sql,true,true,true,accepted,NA_not_applicable,979,92,1071,2026-05-11T09:58:28+00:00,Spark ParseException; portability stress row
direct_llm_repair_013,PORT_0012,portability,mysql,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,gpt-4o-mini,api.gptsapi.net,0,1,2048,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_013.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/prompts/PORT_0012/mysql/direct_llm_repair_013.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/raw_responses/PORT_0012/mysql/direct_llm_repair_013.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0012/mysql/direct_llm_execute_repair_1shot.sql,true,true,true,accepted,NA_not_applicable,995,56,1051,2026-05-11T09:58:31+00:00,PostgreSQL-style quoting and casts sent to MySQL; portability stress row
direct_llm_repair_014,PORT_0012,portability,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,gpt-4o-mini,api.gptsapi.net,0,1,2048,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_014.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/prompts/PORT_0012/spark/direct_llm_repair_014.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/raw_responses/PORT_0012/spark/direct_llm_repair_014.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0012/spark/direct_llm_execute_repair_1shot.sql,true,true,true,accepted,NA_not_applicable,870,54,924,2026-05-11T09:58:32+00:00,Spark ParseException; portability stress row
direct_llm_repair_015,PORT_0013,portability,pg,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,gpt-4o-mini,api.gptsapi.net,0,1,2048,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_015.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/prompts/PORT_0013/pg/direct_llm_repair_015.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/raw_responses/PORT_0013/pg/direct_llm_repair_015.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0013/pg/direct_llm_execute_repair_1shot.sql,true,true,true,accepted,NA_not_applicable,1073,60,1133,2026-05-11T09:58:35+00:00,MySQL-style backticks and DATE_FORMAT or DATETIME usage in PostgreSQL; portability stress row
direct_llm_repair_016,PORT_0013,portability,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,gpt-4o-mini,api.gptsapi.net,0,1,2048,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_016.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/prompts/PORT_0013/spark/direct_llm_repair_016.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/raw_responses/PORT_0013/spark/direct_llm_repair_016.txt,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0013/spark/direct_llm_execute_repair_1shot.sql,true,true,true,accepted,NA_not_applicable,916,68,984,2026-05-11T09:58:36+00:00,Spark ParseException; generation watchlist row; portability stress row
