repair_row_id,case_id,pool,engine,denominator_id,route_id,repaired_sql_artifact,execution_attempted,execution_success,exact_match,result_check_artifact,execution_error_artifact,failure_category,failure_detail,notes
direct_llm_repair_001,CONS_0024,consistency,mysql,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/CONS_0024/mysql/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/CONS_0024/mysql/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_001.execution.stderr.log,execution_failed,not_checked_execution_failed,exact_match=false; sorted_match=false
direct_llm_repair_002,CONS_0024,consistency,pg,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/CONS_0024/pg/direct_llm_execute_repair_1shot.sql,true,true,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/CONS_0024/pg/direct_llm_execute_repair_1shot/result_check.json,NA_not_applicable,result_mismatch,mismatch,exact_match=false; sorted_match=false
direct_llm_repair_003,CONS_0024,consistency,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/CONS_0024/spark/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/CONS_0024/spark/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_003.execution.stderr.log,execution_failed,not_checked_execution_failed,exact_match=false; sorted_match=false
direct_llm_repair_004,PERF_0007,performance,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PERF_0007/spark/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/PERF_0007/spark/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_004.execution.stderr.log,execution_failed,not_checked_execution_failed,exact_match=false; sorted_match=false
direct_llm_repair_005,PORT_0024,portability,mysql,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0024/mysql/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/PORT_0024/mysql/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_005.execution.stderr.log,execution_failed,not_checked_execution_failed,exact_match=false; sorted_match=false; portability stress row
direct_llm_repair_006,LONGTAIL_0023,longtail,pg,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/LONGTAIL_0023/pg/direct_llm_execute_repair_1shot.sql,true,true,true,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/LONGTAIL_0023/pg/direct_llm_execute_repair_1shot/result_check.json,NA_not_applicable,exact_after_repair,match_exact,alias total_links referenced in WHERE
direct_llm_repair_007,LONGTAIL_0023,longtail,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/LONGTAIL_0023/spark/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/LONGTAIL_0023/spark/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_007.execution.stderr.log,execution_failed,not_checked_execution_failed,unresolved alias total_links
direct_llm_repair_008,PERF_0019,performance,pg,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PERF_0019/pg/direct_llm_execute_repair_1shot.sql,true,true,true,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/PERF_0019/pg/direct_llm_execute_repair_1shot/result_check.json,NA_not_applicable,exact_after_repair,match_exact,column alias c_count missing in subquery output
direct_llm_repair_009,PERF_0077,performance,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PERF_0077/spark/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/PERF_0077/spark/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_009.execution.stderr.log,execution_failed,not_checked_execution_failed,Spark schema file was draft or comment-only
direct_llm_repair_010,PORT_0004,portability,spark,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0004/spark/direct_llm_execute_repair_1shot.sql,true,false,false,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/workspaces/PORT_0004/spark/direct_llm_execute_repair_1shot/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/logs/direct_llm_repair_010.execution.stderr.log,execution_failed,not_checked_execution_failed,Spark schema file was draft or comment-only; portability stress row
