row_id,case_id,pool,engine,denominator_id,method_id,route_id,final_row_source,original_exact,repair_attempted,repair_blocked,repair_generated,repair_executed,repair_exact,final_exact,final_failure_category,final_candidate_sql_artifact,notes
cons_0005__mysql__direct_llm_same_engine_rewrite,CONS_0005,consistency,mysql,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0005/mysql/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0005__pg__direct_llm_same_engine_rewrite,CONS_0005,consistency,pg,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0005/pg/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0005__spark__direct_llm_same_engine_rewrite,CONS_0005,consistency,spark,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0005/spark/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0007__mysql__direct_llm_same_engine_rewrite,CONS_0007,consistency,mysql,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0007/mysql/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0007__pg__direct_llm_same_engine_rewrite,CONS_0007,consistency,pg,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0007/pg/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0007__spark__direct_llm_same_engine_rewrite,CONS_0007,consistency,spark,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0007/spark/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0009__mysql__direct_llm_same_engine_rewrite,CONS_0009,consistency,mysql,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0009/mysql/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0009__pg__direct_llm_same_engine_rewrite,CONS_0009,consistency,pg,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0009/pg/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0009__spark__direct_llm_same_engine_rewrite,CONS_0009,consistency,spark,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0009/spark/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0010__mysql__direct_llm_same_engine_rewrite,CONS_0010,consistency,mysql,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0010/mysql/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0010__pg__direct_llm_same_engine_rewrite,CONS_0010,consistency,pg,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0010/pg/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0010__spark__direct_llm_same_engine_rewrite,CONS_0010,consistency,spark,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0010/spark/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0011__mysql__direct_llm_same_engine_rewrite,CONS_0011,consistency,mysql,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0011/mysql/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0011__pg__direct_llm_same_engine_rewrite,CONS_0011,consistency,pg,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0011/pg/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0011__spark__direct_llm_same_engine_rewrite,CONS_0011,consistency,spark,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0011/spark/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0012__mysql__direct_llm_same_engine_rewrite,CONS_0012,consistency,mysql,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0012/mysql/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0012__pg__direct_llm_same_engine_rewrite,CONS_0012,consistency,pg,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0012/pg/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0012__spark__direct_llm_same_engine_rewrite,CONS_0012,consistency,spark,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0012/spark/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0024__mysql__direct_llm_same_engine_rewrite,CONS_0024,consistency,mysql,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,repair_route,false,true,false,true,true,false,false,execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/CONS_0024/mysql/direct_llm_execute_repair_1shot.sql,exact_match=false; sorted_match=false
cons_0024__pg__direct_llm_same_engine_rewrite,CONS_0024,consistency,pg,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,repair_route,false,true,false,true,true,false,false,result_mismatch,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/CONS_0024/pg/direct_llm_execute_repair_1shot.sql,exact_match=false; sorted_match=false
cons_0024__spark__direct_llm_same_engine_rewrite,CONS_0024,consistency,spark,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,repair_route,false,true,false,true,true,false,false,execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/CONS_0024/spark/direct_llm_execute_repair_1shot.sql,exact_match=false; sorted_match=false
cons_0036__mysql__direct_llm_same_engine_rewrite,CONS_0036,consistency,mysql,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0036/mysql/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0036__pg__direct_llm_same_engine_rewrite,CONS_0036,consistency,pg,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0036/pg/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0036__spark__direct_llm_same_engine_rewrite,CONS_0036,consistency,spark,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0036/spark/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0037__mysql__direct_llm_same_engine_rewrite,CONS_0037,consistency,mysql,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0037/mysql/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0037__pg__direct_llm_same_engine_rewrite,CONS_0037,consistency,pg,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0037/pg/direct_llm_same_engine_rewrite.sql,original exact row preserved
cons_0037__spark__direct_llm_same_engine_rewrite,CONS_0037,consistency,spark,common_core_v0_40_same_engine_120,direct_llm,direct_llm_execute_repair_1shot,original_direct_llm_exact,true,false,false,false,false,false,true,NA_not_applicable,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0037/spark/direct_llm_same_engine_rewrite.sql,original exact row preserved
