nl_slot,vector_slot,rule_name,primary_source_path,primary_source_ref_hint,secondary_source_ref_hint
0,0,can_be_optimized_by_index_transformation,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/0.py
1,1,can_be_optimized_by_index_pushdown,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/1.py
2,2,can_be_optimized_by_having,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/2.py
3,3,can_be_optimized_by_subquery_to_join,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/3.py
4,4,can_be_optimized_by_index_like,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/4.py
5,5,can_be_optimized_by_index_block,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/5.py
6,6,can_be_optimized_by_and_or,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/6.py
7,7,can_be_optimized_by_multiple_indexes,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/7.py
8,8,can_be_optimized_by_outer_join,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/8.py
9,9,can_be_optimized_by_index_scan,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py,line 38 RULE_FUNCTIONS,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/knowledge-base/rule_cluster_funcs/9.py
