calcite_slot,vector_slot,rule_name,canonical_order_basis,java_rule_map,java_source_line,structured_jsonl_line,selected_simple_line,status
0,30,AGGREGATE_ANY_PULL_UP_CONSTANTS,selected_simple,NORMAL_RULES,61,39,1,recovered_from_java
1,31,AGGREGATE_CASE_TO_FILTER,selected_simple,NORMAL_RULES,62,44,2,recovered_from_java
2,32,AGGREGATE_EXPAND_DISTINCT_AGGREGATES,selected_simple,EXPLORE_RULES,101,5,3,recovered_from_java
3,33,AGGREGATE_EXPAND_DISTINCT_AGGREGATES_TO_JOIN,selected_simple,EXPLORE_RULES,103,28,4,recovered_from_java
4,34,AGGREGATE_FILTER_TRANSPOSE,selected_simple,EXPLORE_RULES,106,70,5,recovered_from_java
5,35,AGGREGATE_JOIN_JOIN_REMOVE,selected_simple,NORMAL_RULES,66,18,6,recovered_from_java
6,36,AGGREGATE_JOIN_REMOVE,selected_simple,NORMAL_RULES,67,9,7,recovered_from_java
7,37,AGGREGATE_JOIN_TRANSPOSE_EXTENDED,selected_simple,EXPLORE_RULES,107,43,8,recovered_from_java
8,38,AGGREGATE_MERGE,selected_simple,NORMAL_RULES,63,15,9,recovered_from_java
9,39,AGGREGATE_PROJECT_MERGE,selected_simple,NORMAL_RULES,64,10,10,recovered_from_java
10,40,AGGREGATE_REDUCE_FUNCTIONS,selected_simple,EXPLORE_RULES,108,20,11,recovered_from_java
11,41,AGGREGATE_REMOVE,selected_simple,NORMAL_RULES,65,22,12,recovered_from_java
12,42,AGGREGATE_UNION_AGGREGATE_FIRST,selected_simple,EXPLORE_RULES,110,16,13,recovered_from_java
13,43,AGGREGATE_UNION_AGGREGATE_SECOND,selected_simple,EXPLORE_RULES,111,45,14,recovered_from_java
14,44,AGGREGATE_UNION_TRANSPOSE,selected_simple,EXPLORE_RULES,109,6,15,recovered_from_java
15,45,AGGREGATE_VALUES,selected_simple,NORMAL_RULES,93,21,16,recovered_from_java
16,46,FILTER_AGGREGATE_TRANSPOSE,selected_simple,NORMAL_RULES,68,67,17,recovered_from_java
17,47,FILTER_CORRELATE,selected_simple,NORMAL_RULES,69,63,18,recovered_from_java
18,48,FILTER_EXPAND_IS_NOT_DISTINCT_FROM,selected_simple,NORMAL_RULES,70,56,19,recovered_from_java
19,49,FILTER_INTO_JOIN,selected_simple,NORMAL_RULES,71,30,20,recovered_from_java
20,50,FILTER_MERGE,selected_simple,NORMAL_RULES,72,3,21,recovered_from_java
21,51,FILTER_PROJECT_TRANSPOSE,selected_simple,NORMAL_RULES,73,41,22,recovered_from_java
22,52,FILTER_REDUCE_EXPRESSIONS,selected_simple,NORMAL_RULES,74,50,23,recovered_from_java
23,53,FILTER_SET_OP_TRANSPOSE,selected_simple,NORMAL_RULES,75,13,24,recovered_from_java
24,54,FILTER_SUB_QUERY_TO_CORRELATE,selected_simple,NORMAL_RULES,82,24,25,recovered_from_java
25,55,FILTER_TABLE_FUNCTION_TRANSPOSE,selected_simple,NORMAL_RULES,76,40,26,recovered_from_java
26,56,FILTER_VALUES_MERGE,selected_simple,NORMAL_RULES,94,12,27,recovered_from_java
27,57,INTERSECT_TO_DISTINCT,selected_simple,EXPLORE_RULES,139,66,28,recovered_from_java
28,58,JOIN_ADD_REDUNDANT_SEMI_JOIN,selected_simple,EXPLORE_RULES,118,4,29,recovered_from_java
29,59,JOIN_CONDITION_PUSH,selected_simple,NORMAL_RULES,86,7,30,recovered_from_java
30,60,JOIN_DERIVE_IS_NOT_NULL_FILTER_RULE,selected_simple,EXPLORE_RULES,126,65,31,recovered_from_java
31,61,JOIN_EXTRACT_FILTER,selected_simple,EXPLORE_RULES,119,53,32,recovered_from_java
32,62,JOIN_LEFT_UNION_TRANSPOSE,selected_simple,EXPLORE_RULES,129,37,33,recovered_from_java
33,63,JOIN_PROJECT_BOTH_TRANSPOSE_INCLUDE_OUTER,selected_simple,EXPLORE_RULES,120,14,34,recovered_from_java
34,64,JOIN_PROJECT_LEFT_TRANSPOSE_INCLUDE_OUTER,selected_simple,EXPLORE_RULES,121,69,35,recovered_from_java
35,65,JOIN_PROJECT_RIGHT_TRANSPOSE_INCLUDE_OUTER,selected_simple,EXPLORE_RULES,123,68,36,recovered_from_java
36,66,JOIN_PUSH_EXPRESSIONS,selected_simple,EXPLORE_RULES,127,42,37,recovered_from_java
37,67,JOIN_PUSH_TRANSITIVE_PREDICATES,selected_simple,NORMAL_RULES,87,55,38,recovered_from_java
38,68,JOIN_REDUCE_EXPRESSIONS,selected_simple,NORMAL_RULES,88,47,39,recovered_from_java
39,69,JOIN_RIGHT_UNION_TRANSPOSE,selected_simple,EXPLORE_RULES,130,57,40,recovered_from_java
40,70,JOIN_SUB_QUERY_TO_CORRELATE,selected_simple,NORMAL_RULES,83,34,41,recovered_from_java
41,71,JOIN_TO_CORRELATE,selected_simple,EXPLORE_RULES,128,61,42,recovered_from_java
42,72,PROJECT_AGGREGATE_MERGE,selected_simple,NORMAL_RULES,77,54,43,recovered_from_java
