artifact_group,artifact_path,visible_count,used_by_current_builder,implies_100_slot_contract,status,notes
nl_catalog,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/gen_rewrites_from_rules.py RULE_FUNCTIONS,30,yes,partial,stable,"Current NL source; aligns with 30 visible rule_cluster_funcs files."
nl_rule_files,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/*.py,30,no,partial,stable,"Visible upstream NL function files numbered 0..29."
calcite_normal,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/CalciteRewrite/src/rewriter/MyRules.java NORMAL_RULES,37,yes,no,incomplete_for_formal_100,"Current builder uses this source and stops at 37 Calcite names."
calcite_explore,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/CalciteRewrite/src/rewriter/MyRules.java EXPLORE_RULES,31,no,partial,additional_visible_catalog,"Shows current builder is narrower than visible upstream Calcite catalog."
calcite_semi_join,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/CalciteRewrite/src/rewriter/MyRules.java SEMI_JOIN_RULES,4,no,no,overlapping_names,"No additional unique names beyond normal+explore in the visible parse."
calcite_structured_runtime,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/explain_rule/calcite_rewrite_rules_structured.jsonl,70,no,yes,strong_retained_evidence,"Strongest visible retained Calcite catalog; 30 NL + 70 Calcite = 100."
calcite_selected_simple_runtime,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/my_rewriter/calcite_rules_selected_simple.jsonl,70,no,yes,corroborating_evidence,"Matches the 70-row structured Calcite catalog."
calcite_union_visible_java,MyRules NORMAL_RULES + EXPLORE_RULES unique union,68,no,partial,missing_two_names,"Structured 70-row catalog contains two names absent here: AGGREGATE_EXPAND_DISTINCT_AGGREGATES_TO_JOIN and JOIN_PROJECT_RIGHT_TRANSPOSE_INCLUDE_OUTER."
zip_rule_rows,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/rag/stackoverflow-rewrite-rules-query-optimization.jsonl rows,2428,no,no,observed_labels_only,"Rows expose labels but not slot indices or canonical vector width."
zip_observed_nl_labels,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/rag/stackoverflow-rewrite-rules-query-optimization.jsonl distinct nl_rules,29,no,no,incomplete_observation,"Observed row labels do not enumerate the full 30-name NL catalog."
zip_observed_calcite_labels,/tmp/rewritebench_rbot_llm4rewrite_single_case_runner/PERF_0006/runtime_root/rag/stackoverflow-rewrite-rules-query-optimization.jsonl distinct rules,23,no,no,incomplete_observation,"Observed row labels do not enumerate the full Calcite catalog."
dimension_contract,formal_index_dimension_contract_v1.json and retrieval_config_v4.json,3172,no,yes,frozen_contract,"Strong evidence for 1536 + 100 + 1536, but not sufficient to identify every slot semantically."
pg1_runtime_patch_evidence,docs/_scratch/RBOT_LLM4REWRITE_SINGLE_CASE_SMOKE_RUN_PERF_0006_v3.md,100,no,partial,temporary_alignment_only,"Shows runtime expected width 100 and used temporary zero padding; not a formal slot-order artifact."
