case_id,pool,engine,route_id,row_status,exit_code,median_source_ms,median_generated_ms,speedup_ratio,is_extreme_speedup_ratio,warmup_count,repeat_count,timing_json_path,stdout_log,stderr_log,notes
CONS_0010,consistency,mysql,sqlglot_optimize_same_dialect,executed,0,138.39047506917268,134.98134107794613,1.0252563351645612,no,1,3,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/timings/CONS_0010/mysql/sqlglot_optimize_same_dialect.json,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/cons_0010__mysql__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/cons_0010__mysql__sqlglot_optimize_same_dialect.stderr.log,
CONS_0010,consistency,mysql,sqlglot_transpile_same_dialect_noop,executed,0,136.38108305167407,137.10051402449608,0.9947525289898368,no,1,3,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/timings/CONS_0010/mysql/sqlglot_transpile_same_dialect_noop.json,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/cons_0010__mysql__sqlglot_transpile_same_dialect_noop.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/cons_0010__mysql__sqlglot_transpile_same_dialect_noop.stderr.log,
CONS_0010,consistency,pg,sqlglot_optimize_same_dialect,executed,0,294.3145410390571,507.36004498321563,0.5800901035650009,yes,1,3,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/timings/CONS_0010/pg/sqlglot_optimize_same_dialect.json,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/cons_0010__pg__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/cons_0010__pg__sqlglot_optimize_same_dialect.stderr.log,
CONS_0010,consistency,pg,sqlglot_transpile_same_dialect_noop,executed,0,508.3168160635978,299.046847037971,1.6997899195340958,yes,1,3,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/timings/CONS_0010/pg/sqlglot_transpile_same_dialect_noop.json,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/cons_0010__pg__sqlglot_transpile_same_dialect_noop.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/cons_0010__pg__sqlglot_transpile_same_dialect_noop.stderr.log,
CONS_0010,consistency,spark,sqlglot_optimize_same_dialect,executed,0,261.1821929458529,277.7995909564197,0.9401820645114854,no,1,3,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/timings/CONS_0010/spark/sqlglot_optimize_same_dialect.json,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/cons_0010__spark__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/cons_0010__spark__sqlglot_optimize_same_dialect.stderr.log,
CONS_0010,consistency,spark,sqlglot_transpile_same_dialect_noop,executed,0,274.47772107552737,268.9751860452816,1.0204574076558848,no,1,3,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/timings/CONS_0010/spark/sqlglot_transpile_same_dialect_noop.json,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/cons_0010__spark__sqlglot_transpile_same_dialect_noop.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/cons_0010__spark__sqlglot_transpile_same_dialect_noop.stderr.log,
LONGTAIL_0011,longtail,mysql,sqlglot_optimize_same_dialect,executed,0,134.88597504328936,137.37085601314902,0.9819111488275082,no,1,3,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/timings/LONGTAIL_0011/mysql/sqlglot_optimize_same_dialect.json,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/longtail_0011__mysql__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/longtail_0011__mysql__sqlglot_optimize_same_dialect.stderr.log,
LONGTAIL_0011,longtail,mysql,sqlglot_transpile_same_dialect_noop,executed,0,135.93400502577424,138.88959703035653,0.9787198460663955,no,1,3,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/timings/LONGTAIL_0011/mysql/sqlglot_transpile_same_dialect_noop.json,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/longtail_0011__mysql__sqlglot_transpile_same_dialect_noop.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/longtail_0011__mysql__sqlglot_transpile_same_dialect_noop.stderr.log,
LONGTAIL_0011,longtail,pg,sqlglot_optimize_same_dialect,executed,0,459.6685660071671,468.4957939898595,0.9811583623675317,no,1,3,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/timings/LONGTAIL_0011/pg/sqlglot_optimize_same_dialect.json,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/longtail_0011__pg__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/longtail_0011__pg__sqlglot_optimize_same_dialect.stderr.log,
LONGTAIL_0011,longtail,pg,sqlglot_transpile_same_dialect_noop,executed,0,400.59334598481655,297.16965195257217,1.3480291252915377,no,1,3,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/timings/LONGTAIL_0011/pg/sqlglot_transpile_same_dialect_noop.json,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/longtail_0011__pg__sqlglot_transpile_same_dialect_noop.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_timing_canary_01/logs/longtail_0011__pg__sqlglot_transpile_same_dialect_noop.stderr.log,
