row_id,case_id,pool,engine,negative_rewrite_id,false_accept,exact_match,sorted_match,evidence_artifact,audit_status,notes
PERF_0006__pg__rewrite_neg_01,PERF_0006,performance,pg,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0006__pg__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0006__mysql__rewrite_neg_01,PERF_0006,performance,mysql,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0006__mysql__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0006__spark__rewrite_neg_01,PERF_0006,performance,spark,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0006__spark__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0007__pg__rewrite_neg_01,PERF_0007,performance,pg,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0007__pg__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0007__mysql__rewrite_neg_01,PERF_0007,performance,mysql,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0007__mysql__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0007__spark__rewrite_neg_01,PERF_0007,performance,spark,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0007__spark__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0008__pg__rewrite_neg_01,PERF_0008,performance,pg,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0008__pg__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0008__mysql__rewrite_neg_01,PERF_0008,performance,mysql,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0008__mysql__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0008__spark__rewrite_neg_01,PERF_0008,performance,spark,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0008__spark__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0013__pg__rewrite_neg_01,PERF_0013,performance,pg,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0013__pg__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0013__mysql__rewrite_neg_01,PERF_0013,performance,mysql,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0013__mysql__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0013__spark__rewrite_neg_01,PERF_0013,performance,spark,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0013__spark__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0017__pg__rewrite_neg_01,PERF_0017,performance,pg,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0017__pg__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0017__mysql__rewrite_neg_01,PERF_0017,performance,mysql,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0017__mysql__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0017__spark__rewrite_neg_01,PERF_0017,performance,spark,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0017__spark__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0019__pg__rewrite_neg_01,PERF_0019,performance,pg,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0019__pg__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0019__mysql__rewrite_neg_01,PERF_0019,performance,mysql,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0019__mysql__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0019__spark__rewrite_neg_01,PERF_0019,performance,spark,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0019__spark__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0024__pg__rewrite_neg_01,PERF_0024,performance,pg,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0024__pg__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0024__mysql__rewrite_neg_01,PERF_0024,performance,mysql,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0024__mysql__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0024__spark__rewrite_neg_01,PERF_0024,performance,spark,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0024__spark__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0033__pg__rewrite_neg_01,PERF_0033,performance,pg,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0033__pg__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0033__mysql__rewrite_neg_01,PERF_0033,performance,mysql,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0033__mysql__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0033__spark__rewrite_neg_01,PERF_0033,performance,spark,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0033__spark__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0034__pg__rewrite_neg_01,PERF_0034,performance,pg,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0034__pg__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0034__mysql__rewrite_neg_01,PERF_0034,performance,mysql,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0034__mysql__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
PERF_0034__spark__rewrite_neg_01,PERF_0034,performance,spark,rewrite_neg_01,false,false,false,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0034__spark__rewrite_neg_01/result_check.json,audited_no_false_accept,negative rewrite differs from source under retained checker policy
