metadata_field,value_found,source_artifact,confidence,notes
model_name,gpt-4o-mini,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_results.json,explicit,Retained realized generation run records the model string in model_settings.model.
model_identifier,gpt-4o-mini,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_results.json,explicit,No separate provider-native model revision hash is retained; the realized identifier is the model string.
provider,api.gptsapi.net,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_results.json,explicit,Provider is recorded after base_url sanitization in the retained run payload.
prompt_template,reports/evaluation/common_core_v0/direct_llm_preflight/direct_llm_prompt_template.md,reports/evaluation/common_core_v0/direct_llm_preflight/direct_llm_prompt_template.md; reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generation_plan.md; reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py,explicit,Generation plan and runner both reference a shared prompt template; per-row prompt materializations are also retained.
temperature,0,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_results.json; reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generation_command_matrix.csv,explicit,Same value appears in run_results and every row of generation_command_matrix.
top_p,1,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_results.json; reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generation_command_matrix.csv,explicit,Same value appears in run_results and generation_command_matrix.
max_tokens,2048,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_results.json; reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generation_command_matrix.csv; reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py,explicit,Retained runner default is 2048 and the realized run records max_tokens=2048.
candidate_count,1_candidate_per_case_engine_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generation_plan.md; reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py,explicit,Generation plan states one rewrite candidate per case_id x engine row; runner writes one raw response and one generated SQL per row.
retry_policy,single_generation_call_per_row_no_retry_loop_retained,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py,inferred_from_artifact,The retained runner shows one chat.completions.create call inside the row loop and no explicit retry wrapper.
extraction_rule,direct_message_content_capture_with_format_gating_no_secondary_sql_extractor,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py,explicit,"extract_response_text reads message.content; classify_output rejects markdown fences, prose markers, empty output, and non-SQL-like first lines."
token_usage,per_row_prompt_completion_total_tokens_retained,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_results.json,explicit,"Example retained row token_usage: prompt=223, completion=35, total=258."
call_date,2026-05-07T21:16:12+00:00,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_results.json,inferred_from_artifact,No per-row API call timestamps are retained; run_timestamp is the closest retained call-date proxy.
run_date,2026-05-07T21:16:12+00:00,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_results.json,explicit,The retained generation packet records run_timestamp for the realized run.
seed,None,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_results.json,explicit,Retained payload records seed_if_available=null; no realized seed value is preserved.
api_or_runtime,openai.OpenAI_chat_completions_create_against_openai_compatible_base_url,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py; reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_results.json,explicit,Runner imports OpenAI from the openai package and calls client.chat.completions.create with the retained base_url/provider.
reproducibility_status,partial_reproducibility_model_prompt_and_decoding_explicit_but_seed_missing_and_env_fallback_exists,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/README.md; reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py; reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_results.json,inferred_from_artifact,"The realized run records model/prompt/decode settings and per-row prompts, but seed is null and the runner supports env/canary fallback model selection outside the frozen result card."
