method_id,route_id,track,current_status,target_denominator_id,current_evidence_denominator,current_evidence_summary,paper_table_placement,leaderboard_comparable,rerun_status,next_action,claim_boundary,primary_artifact_paths
direct_llm_same_engine_rewrite,direct_llm_same_engine_rewrite,track_a_same_engine_rewrite,retained_120_same_engine_evidence,common_core_v0_40_same_engine_120,common_core_v0_40,retained same-engine evidence with 120 planned 115 ready 99 executed 94 exact and timing on 94,main_same_engine_evidence_table,no,retained_evidence_no_stage1_needed,hold as retained 120 evidence unless denominator-label normalization is explicitly required,denominator_aware_same_engine_evidence_not_final_ranked_leaderboard_scalar,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.md;reports/evaluation/common_core_v0/direct_llm_same_engine_proposed_row_v1.md;reports/evaluation/common_core_v0/direct_llm_validity_summary_v1.md;reports/evaluation/common_core_v0/direct_llm_speedup_summary_v1.md
sqlglot_optimize_same_dialect,sqlglot_optimize_same_dialect,track_a_same_engine_rewrite,retained_120_route_evidence,common_core_v0_40_same_engine_120,common_core_v0_40_same_engine_120_optimize_route,retained route-specific same-engine evidence with 120 planned 75 generated 65 executed 65 exact and route-scoped timing,route_level_appendix,no,retained_route_evidence_no_stage1_needed,hold as retained route evidence and keep separate from SQLGlot aggregate,denominator_aware_route_evidence_not_method_family_aggregate,reports/evaluation/common_core_v0/sqlglot_optimize_same_dialect_result_card_v1.md;reports/evaluation/common_core_v0/sqlglot_optimize_same_dialect_proposed_row_v1.md;reports/evaluation/common_core_v0/sqlglot_paper_route_audit_v1.md
sqlglot_transpile_same_dialect_noop,sqlglot_transpile_same_dialect_noop,track_a_same_engine_rewrite,retained_120_route_evidence,common_core_v0_40_same_engine_120,common_core_v0_40_same_engine_120_transpile_noop_route,retained route-specific same-engine evidence with 120 planned 78 generated 72 executed 72 exact and route-scoped timing,route_level_appendix,no,retained_route_evidence_no_stage1_needed,hold as retained route evidence and keep separate from SQLGlot aggregate,denominator_aware_route_evidence_not_cross_dialect_portability_or_method_family_aggregate,reports/evaluation/common_core_v0/sqlglot_transpile_same_dialect_noop_result_card_v1.md;reports/evaluation/common_core_v0/sqlglot_method_comparison_proposed_row_v1.md;reports/evaluation/common_core_v0/sqlglot_paper_route_audit_v1.md
calcite_hep,calcite_hep_fail_closed_120,track_a_same_engine_rewrite,retained_120_correctness_only_timing_not_full,common_core_v0_40_same_engine_120,common_core_v0_40_same_engine_120,retained fail-closed exact ledger 93/120 with bounded recovery closure and no full 120 timing packet,route_level_appendix,no,policy_or_timing_decision_pending,decide whether to keep as correctness-only proposed evidence or recover a full timing packet,fail_closed_120_correctness_evidence_not_full_timing_speedup_or_leaderboard_evidence,reports/evaluation/common_core_v0/calcite_hep_120_fail_closed_synthesis_v1.md;reports/evaluation/common_core_v0/calcite_hep_method_comparison_proposed_row_v1.md;reports/evaluation/common_core_v0/calcite_hep_120_post93_frontier_audit_v1.md
r_bot,r_bot_same_engine_rewrite,track_a_same_engine_rewrite,attempted_120_generation_with_pg_subset_execution_timing,common_core_v0_40_same_engine_120,common_core_v0_40_same_engine_120;common_core_v0_40_pg40;generated_pg15_from_pg40_expansion_only;generated_pg15_from_pg40_expansion_match_exact_only;r_bot_mysql_spark_generation_canary_01,retained artifacts now reconcile a formal 120 generation attempt with PG40 generation expansion PG15 exact execution PG15 timing and explicit MySQL/Spark canary failure,bounded_or_mixed_scope_method_evidence_appendix,no,evidence_reconciled_hold_for_now,retain reconciled mixed-scope evidence; no immediate full-120 pursuit,formal_120_generation_plus_pg_subset_execution_timing_and_non_pg_boundary_evidence_not_full_tri_engine_120_execution_or_leaderboard_evidence,reports/evaluation/common_core_v0/r_bot_common_core_120_evidence_reconciliation_v1.md;reports/evaluation/common_core_v0/r_bot_pg_expansion_result_card_v2.md;reports/evaluation/common_core_v0/r_bot_pg15_speedup_summary_v2.md;reports/evaluation/common_core_v0/r_bot_120_preflight_v1.md;reports/evaluation/common_core_v0/r_bot_upstream_runner_alignment_audit_v1.md
learnedrewrite,learnedrewrite_same_engine_120_preflight,track_a_same_engine_rewrite,stage1_preflight_scaffold_dependency_blocked,common_core_v0_40_same_engine_120,prior_method_pg10,stage-1 preflight scaffold exists and historical evidence remains bounded PG10 only with missing adapter checkpoint and inference substrate,bounded_subset_appendix,no,deferred_pending_external_artifacts,defer unless adapter checkpoint and inference artifacts are provided,preflight_scaffold_only_not_120_generation_execution_or_timing_evidence,reports/evaluation/common_core_v0/learnedrewrite_120_preflight_v1.md;reports/evaluation/common_core_v0/prior_methods_pg10_bounded_appendix_v1.md;reports/evaluation/common_core_v0/prior_methods_preflight/prior_methods_common_core_v0_40_preflight.md
llm_r2,llm_r2_pg_supported_common_core_bounded,track_a_same_engine_rewrite,bounded_appendix_only_not_eligible_for_main_table,common_core_v0_40_same_engine_120,common_core_v0_llm_r2_pg_supported_9,main_table_status not_eligible; evidence_status bounded_appendix_only; original-route PG9 remains 9 generated 3 exact and 6 execution_failed with no full120 evidence no timing and mysql_spark_status not_available,bounded_or_mixed_scope_method_evidence_appendix,no,bounded_pg9_evidence_reconciled_hold_for_now,timing_status not_available; keep bounded appendix-only evidence and stop full-120 pursuit unless a separate wrapper or extraction recovery task is explicitly approved,pg_only_bounded_common_core_evidence_not_pg40_not_tri_engine_120_not_timing_not_leaderboard_evidence,reports/evaluation/common_core_v0/llm_r2_pg9_bounded_evidence_reconciliation_v1.md;reports/evaluation/common_core_v0/llm_r2_supported_pg3_pg_execution_checker_review_v1.md;reports/evaluation/common_core_v0/runs/llm_r2_common_core_pg6_pg_execution_checker_01/validation/pg6_generated_sql_malformed_pattern_diagnosis.csv
llm_r2,llm_r2_recovered_extraction_route_v1,track_a_same_engine_rewrite,bounded_appendix_only_not_eligible_for_main_table,common_core_v0_40_same_engine_120,common_core_v0_llm_r2_recovered_pg_supported_6_plus_failed_pg3_extension,main_table_status not_eligible; evidence_status bounded_appendix_only; recovered-route PG6 is diagnostic bounded evidence and recovered-route PG3 rerun failed 0 of 3 exact with generated execution_failed rows; timing_status not_available; mysql_spark_status not_available,bounded_or_mixed_scope_method_evidence_appendix,no,recovered_pg9_appendix_not_achieved_stop_for_now,reason no full120 evidence original-route PG9 only 3 of 9 exact recovered-route PG6 diagnostic only and recovered-route PG3 rerun failed 0 of 3 exact; keep separate bounded appendix packets only,recovered_extraction_route_pg_only_bounded_common_core_evidence_not_original_route_not_pg40_not_tri_engine_120_not_timing_not_leaderboard_evidence,reports/evaluation/common_core_v0/llm_r2_recovered_extraction_pg6_bounded_evidence_review_v1.md;reports/evaluation/common_core_v0/llm_r2_recovered_extraction_pg3_failed_rerun_review_v1.md;reports/evaluation/common_core_v0/runs/llm_r2_recovered_extraction_pg5_pg_execution_checker_01
sqlsolver,UNKNOWN_NOT_RECOVERED,support_verifier,excluded_support_verifier,support_verifier_scope_only,4_query_pairs_cons_0007_cons_0035,bounded verifier-support smoke only and not a rewrite generation method for Track A,verifier_support_table,no,excluded_from_track_a_rerun,keep excluded from rewrite rerun campaign unless method role is explicitly reclassified,support_verifier_only_not_rewrite_leaderboard_row,docs/_scratch/BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md
verieql,UNKNOWN_NOT_RECOVERED,support_verifier,excluded_support_verifier,support_verifier_scope_only,availability_plus_cons_0035_canary,bounded availability and support-canary evidence only and not a rewrite generation method for Track A,verifier_support_table,no,excluded_from_track_a_rerun,keep excluded from rewrite rerun campaign unless method role is explicitly reclassified,support_verifier_only_not_rewrite_leaderboard_row,docs/_scratch/BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md
sqlglot_cross_dialect_transpile,UNKNOWN_NOT_RECOVERED,track_c_portability,excluded_portability_track,track_c_portability_scope_only,port_bounded_6,bounded cross-dialect portability route evidence only and not a Track A same-engine rerun row,portability_table,no,excluded_from_track_a_rerun,keep in Track C portability planning and do not mix into Track A rerun ledger,portability_route_only_not_same_engine_rewrite_row,docs/_scratch/BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md
llm_translate,UNKNOWN_NOT_RECOVERED,track_c_portability,excluded_portability_track,track_c_portability_scope_only,port_bounded_6,bounded cross-dialect portability route evidence only and not a Track A same-engine rerun row,portability_table,no,excluded_from_track_a_rerun,keep in Track C portability planning and do not mix into Track A rerun ledger,portability_route_only_not_same_engine_rewrite_row,docs/_scratch/BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md
