candidate_id,case_id,pool,engine,method_id,route_id,outcome_type_hint,retained_speedup,source_node_count,rewrite_node_count,node_count_delta,planning_time_delta_ms,execution_time_delta_ms,shared_blks_read_delta,shared_blks_hit_delta,row_estimate_error_delta,scan_strategy_delta,join_strategy_delta,aggregate_strategy_delta,sort_or_materialize_delta,main_plan_delta_class,heuristic_node_alignment_pairs,heuristic_node_alignment_coverage,attribution_confidence,paper_safe_interpretation,forbidden_overclaim,evidence_artifacts,notes
direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg,PERF_0007,performance,pg,direct_llm,direct_llm_same_engine_rewrite,regression,0.6948993689766564,2,2,0,-0.112,-0.007,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;aggregate:aggregate;scan:scan,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg,CONS_0012,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,1.707530829371433,3,3,0,-0.024,0.02,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;scan:scan;sort:sort,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
direct_llm__direct_llm_same_engine_rewrite__PERF_0008__pg,PERF_0008,performance,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,0.998519516688474,11,11,0,0.015,0.012,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;aggregate:aggregate;join:join;other:other;scan:scan;sort:sort,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0008__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0008__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
direct_llm__direct_llm_same_engine_rewrite__PORT_0003__pg,PORT_0003,portability,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,1.001487261176371,3,3,0,0.034,0.002,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;scan:scan;sort:sort,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0003__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0003__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
direct_llm__direct_llm_same_engine_rewrite__CONS_0037__pg,CONS_0037,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,regression,0.7249972590579413,7,7,0,-0.085,-0.025,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;aggregate:aggregate;join:join;scan:scan;sort:sort,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0037__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0037__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
direct_llm__direct_llm_same_engine_rewrite__PERF_0034__pg,PERF_0034,performance,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,1.6955918443214975,44,44,0,0.102,0.006,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;aggregate:aggregate;join:join;other:other;scan:scan;sort:sort,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0034__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0034__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
direct_llm__direct_llm_execute_repair_1shot__LONGTAIL_0023__pg,LONGTAIL_0023,longtail,pg,direct_llm,direct_llm_execute_repair_1shot,regression,0.7874801590191463,12,12,0,-0.104,-0.012,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;aggregate:aggregate;join:join;other:other;scan:scan;sort:sort,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_execute_repair_1shot__LONGTAIL_0023__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_execute_repair_1shot__LONGTAIL_0023__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repair_timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
direct_llm__direct_llm_execute_repair_1shot__PERF_0019__pg,PERF_0019,performance,pg,direct_llm,direct_llm_execute_repair_1shot,speedup,1.3117218402843491,7,7,0,-0.016,-0.053,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;aggregate:aggregate;join:join;other:other;scan:scan;sort:sort,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_execute_repair_1shot__PERF_0019__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_execute_repair_1shot__PERF_0019__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repair_timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
sqlglot__sqlglot_transpile_same_dialect_noop__CONS_0005__pg,CONS_0005,consistency,pg,sqlglot,sqlglot_transpile_same_dialect_noop,regression,0.929773350263146,2,2,0,-0.003,-0.007,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;scan:scan,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__CONS_0005__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__CONS_0005__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
sqlglot__sqlglot_transpile_same_dialect_noop__LONGTAIL_0011__pg,LONGTAIL_0011,longtail,pg,sqlglot,sqlglot_transpile_same_dialect_noop,speedup,1.064239255406043,12,12,0,-0.21,-0.003,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;aggregate:aggregate;join:join;other:other;scan:scan;sort:sort,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__LONGTAIL_0011__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__LONGTAIL_0011__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0082__pg,PERF_0082,performance,pg,sqlglot,sqlglot_transpile_same_dialect_noop,neutral,0.9955085859835804,14,14,0,0.05,-0.006,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;aggregate:aggregate;join:join;materialize:materialize;other:other;scan:scan,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0082__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0082__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0017__pg,PERF_0017,performance,pg,sqlglot,sqlglot_transpile_same_dialect_noop,neutral,1.0048860392648316,12,12,0,-0.001,0.1,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;aggregate:aggregate;join:join;other:other;scan:scan;sort:sort,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0017__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0017__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0035__pg,PERF_0035,performance,pg,sqlglot,sqlglot_transpile_same_dialect_noop,regression,0.9481751884491643,21,21,0,0.083,-0.055,0,0,0,no_change,no_change,no_change,no_change,buffer_or_runtime_delta_without_operator_change,root:root;aggregate:aggregate;join:join;materialize:materialize;other:other;scan:scan;sort:sort,1.000,low,Operator families are similar but runtime or buffer counters differ; this is weak attribution evidence.,Do not claim denominator-wide node alignment or global causal attribution from this selected 24-row PG packet.,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0035__pg/source_plan.json|reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0035__pg/rewrite_plan.json|reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/timing_event_long.csv,selected_pg_explain_analyze_buffers_packet
