claim_id,claim_text,support_level,supporting_tables,supporting_artifacts,paper_safe_wording,forbidden_overclaim,remaining_gap,notes
claim_01,Common-core v0 denominator is fixed at 16/9/9/6 = 40 with a Track A same-engine expansion to 120 rows.,strong,Table 1; Table 3,table1_common_core_composition_v1.csv|table3_same_engine_method_evidence_v3.csv,The paper uses a fixed Common-core v0 denominator of 40 cases and a same-engine Track A expansion to 120 rows.,Do not describe the denominator as ad hoc or route-specific.,none,Governance claim only.
claim_02,The paper evaluates emitted statement-level SQL rather than internal AST-only transformations.,strong,Table 3; Table 8; Table 11,table3_same_engine_method_evidence_v3.csv|table8_port_cross_engine_translation_v1.csv|table11_bounded_pilot_evidence_reuse_v3.csv,Retained evidence is organized around emitted SQL routes and executed statement-level artifacts.,Do not imply internal AST rewrites were benchmarked directly as outputs.,none,Consistent with route/result-card framing.
claim_03,Correctness must gate performance.,strong,Table 4; Table 6,table4_correctness_guardrail_evidence_v1.csv|table6_performance_on_exact_timed_rows_v4.csv,"Performance is reported only after correctness gating, and timing is reported on exact timed subsets.",Do not compare speedup without first checking correctness scope.,none,Core paper rule.
claim_04,Full-denominator correctness differs from generated or executed subset correctness.,strong,Table 3; Table 4; Table 7,table3_same_engine_method_evidence_v3.csv|table4_correctness_guardrail_evidence_v1.csv|table7_failure_accounting_matrix_v3.csv,"Generated, executed, and exact-match subsets differ, so denominator-aware correctness must be reported separately from executed-subset summaries.",Do not report executed-subset exactness as if it were full-denominator correctness.,none,Important for Track A interpretation.
claim_05,"Direct LLM + Execute-and-Repair-1 recovers 2 additional exact rows over original Direct LLM, from 94/120 to 96/120, but it is a separately versioned feedback-aware route.",strong,Table 3; Table 6; Table 7,table3_same_engine_method_evidence_v3.csv|table6_performance_on_exact_timed_rows_v4.csv|table7_failure_accounting_matrix_v3.csv,"Direct LLM + Execute-and-Repair-1 improves exact rows from 94/120 to 96/120 on the retained 21-row repair-ready frontier, but it should be treated as a separately versioned feedback-aware route rather than a direct replacement for the original baseline.",Do not claim that the repair route is the same protocol as original Direct LLM or that it repaired the 5 blocked rows.,Broader repair policies would require separate governed route packets.,Newly supported by the repair run packet.
claim_06,SQLGlot routes must remain route-separated.,strong,Table 3; Table 6; Table 7; Table 11,table3_same_engine_method_evidence_v3.csv|table6_performance_on_exact_timed_rows_v4.csv|table7_failure_accounting_matrix_v3.csv|table11_bounded_pilot_evidence_reuse_v3.csv|sqlglot_result_check_backfill_summary_v1.csv|sqlglot_full_per_case_timing_result_card_v1.csv,"SQLGlot optimize and SQLGlot same-dialect transpile/no-op remain separate routes, and both now have route-separated row-level checker-backed timing denominators.",Do not collapse SQLGlot into one main row or reuse sqlglot_combined_same_engine_240 as if it were the main method denominator.,None for the two main route-separated timing rows; the combined 240 row remains appendix-only by design.,No-op uses exact72; optimize uses revised exact63 after excluding two checker_failed rows.
claim_07,"Calcite HEP has a 93/120 fail-closed correctness ledger and now has 93 exact-row correctness-gated timing, but not full 120 timing.",strong,Table 3; Table 6; Table 7,table3_same_engine_method_evidence_v3.csv|table6_performance_on_exact_timed_rows_v4.csv|table7_failure_accounting_matrix_v3.csv|calcite_hep_93_exact_timing_result_card_v1.csv,Calcite HEP retains 93/120 fail-closed correctness and now has a 93 exact-row correctness-gated timing packet.,Do not claim Calcite HEP full 120 timing or a global winner position.,A full 120 timing packet is still not retained and is not required for the current paper-safe claim.,This is stronger than the old PG-only appendix timing context.
claim_08,"R-Bot, LLM-R2, and LearnedRewrite remain bounded appendix prior-method evidence.",appendix_only,Table 11; Table 7,table11_bounded_pilot_evidence_reuse_v3.csv|table7_failure_accounting_matrix_v3.csv,"R-Bot, LLM-R2, and LearnedRewrite are retained as bounded prior-method evidence with explicit scope labels.",Do not promote bounded prior-method evidence into the main same-engine table.,Would need new denominator-complete route packets.,Bounded is intentional here.
claim_09,Hard-negative controls support a tested-denominator negative guardrail view.,strong,Table 4,table4_correctness_guardrail_evidence_v3.csv|package_hard_negative_closure_summary_v1.csv|package_hard_negative_false_accept_audit_v1.csv,"Package-level hard-negative closure now supports a runnable-denominator negative-rejection view: 111/111 = 1.0000 with 0/111 = 0.0000 false accepts on the runnable denominator, while blocked and not-applicable rows remain visible.",Do not reinterpret package-level hard-negative closure as method-generated candidate false-accept auditing or as a final ranked leaderboard signal.,Method-level hard-negative generation for rewrite methods remains open.,This strengthens the control/closure layer beyond the old aggregate-only summary.
claim_09b,Package-level hard-negative closure demonstrates the value of case-package negative rewrites while keeping blocked and not-applicable portability cells visible.,strong,Table 4,package_hard_negative_denominator_v1.csv|package_hard_negative_closure_event_long_v1.csv|package_hard_negative_closure_summary_v1.csv,"The paper now retains package-level hard-negative closure with explicit runnable rows, rejected rows, blocked portability reference cells, and false-accept auditing at the known-negative control layer.",Do not generalize this package-level closure into method-level accepted-candidate false-accept claims.,Accepted generated candidate false-accept audit remains separate future work.,"This is about case-package negative examples, not method-generated negatives."
claim_10,Performance is reported on exact timed subsets only.,strong,Table 6,table6_performance_on_exact_timed_rows_v4.csv,Speedup is reported only on exact timed subsets with explicit timing denominators.,Do not state full-denominator speedup where only exact timed subsets are retained.,"None for Direct LLM, Direct LLM repair, SQLGlot route-separated rows, and Calcite exact-row timing; appendix rows remain scope-labeled.",SQLGlot route-separated exact timed subsets are now retained at per-case granularity.
claim_11,"Some correctness-valid rows regress, including retained Direct LLM and Calcite HEP rows.",strong,Table 6; Table 10,table6_performance_on_exact_timed_rows_v4.csv|table10_plan_observability_case_study_v2.csv,"Even correctness-valid retained rows can regress, so timing evidence should include both gains and slowdowns.",Do not imply correctness-valid rewrites are uniformly faster.,none for this bounded statement.,Regression remains visible after the refresh.
claim_12,Case-level failure export supports concrete failure accounting and a concrete Table 10 failure exemplar.,strong,Table 7; Table 10,case_level_failure_export_v1.csv|table10_failure_exemplar_selection_v1.csv|table10_plan_observability_case_study_v2.csv,Case-level failure export now supports concrete failure accounting and a concrete failure exemplar for Table 10.,Do not claim that case-level failure export alone provides plan attribution.,Method-specific plan extraction is still missing.,Newly strengthened by the 198-row export.
claim_13,"Table 10 v2 supports selected-case qualitative observability only; plan extraction, node alignment, and attribution remain unresolved.",strong,Table 5; Table 10,table5_observability_plan_artifact_v1.csv|table10_plan_observability_case_study_v2.csv|plan_observability_case_study_gap_matrix_v2.csv,"Current observability evidence is support-layer or selected case-study only, not denominator-complete plan attribution.","Do not claim full PlanParseRate, NodeAlignmentCoverage, or AttributionCoverage.","Method-specific plan extraction, node alignment, and attribution remain missing.","The failure exemplar is now concrete, but observability remains bounded."
claim_14,"PORT evidence is bounded PORT6, not full PORT9.",strong,Table 8; Table 11,table8_port_cross_engine_translation_v1.csv|table11_bounded_pilot_evidence_reuse_v3.csv,Current Track C evidence is bounded PORT6 portability evidence rather than full PORT9 closure.,Do not claim full PORT9 completion.,Would need explicit PORT9 or selected frozen subset packet.,Track C only.
claim_15,SpeedupTransferRate is not computed.,strong,Table 8; Claim matrix,table8_port_cross_engine_translation_v1.csv|portability_translation_artifact_audit_v1.csv,SpeedupTransferRate is not computed in the retained Track C evidence.,Do not report SpeedupTransferRate.,Would need retained target-engine exact timed transfer evidence.,Intentional non-claim.
claim_16,"SQLSolver and VeriEQL are verifier support tools, not rewrite generators.",strong,Table 9; Table 11,table9_verifier_support_v1.csv|table11_bounded_pilot_evidence_reuse_v3.csv,SQLSolver and VeriEQL are support-layer tools for SQL-pair reasoning and must not be interpreted as rewrite generators.,Do not compare SQLSolver or VeriEQL to rewrite methods on speedup or same-engine correctness tables.,CONS9 verifier-complete packet not retained.,Track B only.
claim_17,No final ranked leaderboard or method winner is claimed.,strong,Claim matrix; Table 3; paper safe note,paper_results_table_index_v3.csv|paper_safe_claims_and_boundaries_v3.md|table3_same_engine_method_evidence_v3.csv,The freeze folder is a denominator-aware evidence ledger and not a final ranked leaderboard.,Do not name a global winner or rank methods by GM speedup.,Would require explicit ranking policy and stronger comparable evidence.,Global boundary claim.
claim_18,"SQLGlot no-op now has a 72-row checker-backed exact timing denominator, and SQLGlot optimize now has a revised 63-row checker-backed exact timing denominator after excluding two checker_failed rows.",strong,Table 3; Table 6; Table 7,table3_same_engine_method_evidence_v3.csv|table6_performance_on_exact_timed_rows_v4.csv|table7_failure_accounting_matrix_v3.csv|sqlglot_result_check_backfill_summary_v1.csv|sqlglot_full_per_case_timing_result_card_v1.csv,"SQLGlot route-separated timing is now backed by row-level checker evidence: no-op uses exact72, while optimize uses a revised exact63 denominator after excluding two checker_failed rows.","Do not continue to state SQLGlot optimize timing on aggregate 65 rows, and do not promote sqlglot_combined_same_engine_240 into the main table.",No combined main SQLGlot row is intended; that aggregate remains appendix-only.,This is a SQLGlot-only strengthening of the paper-facing timing surface.
