evidence_id,method_or_packet,old_or_bounded_denominator,retained_best_evidence,keep_as,use_in_main_text,why_not_main_leaderboard,paper_safe_claim,source_artifacts,notes
seed_common_core_9_validity_packet,seed_controls_sqlglotopt_directllm,seed_common_core_9,found,appendix_boundary_packet,yes,"historic 9-case denominator; must not be merged with common_core_v0_40 or treated as a 120-row same-engine method table","Historic seed_common_core_9 remains useful for narrative closure on early pipeline validity, but it is a distinct denominator and not a main paper method row.","reports/evaluation/common_core_v0/EXPERIMENT_RESULTS_LEDGER_CURRENT_v1.csv","Useful denominator history only."
expanded_pg_controls_baseline_46,dictionary_or_controls_packet,expanded_pg_evidence_46,found,appendix_boundary_packet,yes,"historic expanded PG denominator; mixed support and bounded method packets, not a single denominator-aware same-engine method row","Expanded PG evidence 46 can be cited only as older bounded denominator context, not as Common-core v0 same-engine leaderboard evidence.","reports/evaluation/common_core_v0/EXPERIMENT_RESULTS_LEDGER_CURRENT_v1.csv","Keep separate from current 40-case denominator."
direct_llm_historical_perf_packet,direct_llm,UNKNOWN_NOT_RECOVERED,not_found_in_current_report_dir,omit_or_note_not_found,no,"no retained historical direct-llm PERF packet was recovered in the current report directory and nothing should be invented","No separate historical Direct LLM PERF appendix packet was recovered in the current report directory beyond the current Common-core v0 same-engine route evidence.","NA_not_found","Omitted from any stronger appendix claim."
calcite_hep_pg40_timing_21,calcite_hep,common_core_v0_40_pg40_timing_success_21,found,appendix_pg_only_timing_row,yes,"PG-only 21-row exact timed subset; not tri-engine same-engine evidence and not a final leaderboard row","Calcite HEP retains a PG-only exact timed subset on 21 rows, which is useful as bounded appendix timing context but not as a full same-engine comparison row.","reports/evaluation/common_core_v0/calcite_hep_speedup_summary_v1.csv","Legacy PG-only timing row."
calcite_hep_fail_closed_93_of_120,calcite_hep,common_core_v0_40_same_engine_120,found,appendix_correctness_boundary,yes,"correctness-only fail-closed synthesis; timing not retained on the full denominator","Calcite HEP retains a tri-engine fail-closed correctness synthesis at 93 exact rows out of 120 planned, but that packet is not a full timing-bearing same-engine leaderboard row.","reports/evaluation/common_core_v0/calcite_hep_120_fail_closed_synthesis_v1.csv;reports/evaluation/common_core_v0/calcite_hep_120_fail_closed_synthesis_v1.md","Useful for main-text boundary language."
r_bot_formal120_pg40_pg15_bundle,r_bot,common_core_v0_40_same_engine_120_and_pg_scoped_subsets,found,appendix_mixed_scope_method_packet,yes,"formal 120 generation, PG40 generation expansion, and PG15 execution/timing are mixed scopes; no full tri-engine execution/timing row exists","R-Bot retains mixed-scope evidence across formal 120 generation and PG-only expansion packets, so it belongs in appendix discussion rather than the main same-engine method table.","reports/evaluation/common_core_v0/r_bot_common_core_120_evidence_reconciliation_v1.csv;reports/evaluation/common_core_v0/r_bot_pg_expansion_result_card_v2.csv","Bounded method reuse only."
learnedrewrite_prior_method_pg10,learnedrewrite,prior_method_pg10,found,appendix_bounded_prior_method_packet,yes,"PG-only bounded prior-method denominator; no current tri-engine same-engine route and dependency-blocked readiness","LearnedRewrite retains bounded PG-only prior-method evidence on prior_method_pg10, but it does not have current Common-core v0 same-engine 120 evidence.","reports/evaluation/common_core_v0/prior_methods_pg10_bounded_appendix_v1.md;reports/evaluation/common_core_v0/learnedrewrite_120_preflight_v1.md","Appendix-only."
llm_r2_original_pg9_bounded,llm_r2,common_core_v0_llm_r2_pg_supported_9,found,appendix_bounded_original_route_packet,yes,"PG-only bounded original-route evidence; 3 exact and 6 execution_failed, not tri-engine same-engine evidence","LLM-R2 original-route evidence remains useful as bounded PG-only diagnostic appendix evidence on 9 rows, not as a main-table method row.","reports/evaluation/common_core_v0/llm_r2_pg9_bounded_evidence_reconciliation_v1.csv","Must remain separate from recovered-route evidence."
llm_r2_recovered_pg6_bounded,llm_r2,common_core_v0_llm_r2_recovered_pg6,found,appendix_recovered_route_packet,yes,"recovered-extraction route is bounded and route-specific; recovered PG9 appendix was not achieved","LLM-R2 recovered-extraction evidence supports a bounded PG6 appendix packet with exact matches, but it does not justify a recovered PG9 main-table claim.","reports/evaluation/common_core_v0/llm_r2_recovered_extraction_pg6_bounded_evidence_review_v1.csv;reports/evaluation/common_core_v0/llm_r2_recovered_extraction_pg3_failed_rerun_review_v1.csv","Keep route label explicit."
port_bounded_6_cross_engine_closure_snapshot,bounded_cross_engine_closure_packet,port_bounded_6,found,appendix_portability_snapshot,yes,"PORT bounded closure packet is portability-track evidence, not Track A same-engine rewrite evidence","The bounded PORT closure snapshot documents 6-case cross-engine closure and is useful for Track C appendix context only.","reports/evaluation/common_core_v0/EXPERIMENT_RESULTS_LEDGER_CURRENT_v1.csv","Track C only."
sqlsolver_support_smoke_4,sqlsolver,support_pairs_4,found,appendix_verifier_support_smoke,yes,"support/verifier evidence only; not a rewrite generation or speedup row","SQLSolver support smoke evidence can be cited only in verifier-support context, not in the same-engine rewrite tables.","reports/evaluation/common_core_v0/EXPERIMENT_RESULTS_LEDGER_CURRENT_v1.csv","Belongs with support tables, not Track A."
verieql_support_canary_1,verieql,support_canary_1,found,appendix_verifier_support_canary,yes,"support/verifier evidence only; positive proof closure not complete","VeriEQL canary evidence is bounded support tooling evidence only and must not be treated as a rewrite method row.","reports/evaluation/common_core_v0/EXPERIMENT_RESULTS_LEDGER_CURRENT_v1.csv","Belongs with support tables, not Track A."
