claim_id,claim_text,support_level,supporting_tables,supporting_artifacts,paper_safe_wording,forbidden_overclaim,remaining_gap,notes
claim_01,Common-core v0 denominator is fixed at 16/9/9/6 = 40 with a Track A same-engine expansion to 120 rows.,strong,Table 1; Table 3,table1_common_core_composition_v1.csv|table3_same_engine_method_evidence_v3.csv,The paper uses a fixed Common-core v0 denominator of 40 cases and a same-engine Track A expansion to 120 rows.,Do not describe the denominator as ad hoc or route-specific.,none,Governance claim only.
claim_02,The paper evaluates emitted statement-level SQL rather than internal AST-only transformations.,strong,Table 3; Table 8; Table 11,table3_same_engine_method_evidence_v3.csv|table8_port_cross_engine_translation_v1.csv|table11_bounded_pilot_evidence_reuse_v3.csv,Retained evidence is organized around emitted SQL routes and executed statement-level artifacts.,Do not imply internal AST rewrites were benchmarked directly as outputs.,none,Consistent with route/result-card framing.
claim_03,Correctness must gate performance.,strong,Table 4; Table 6,table4_correctness_guardrail_evidence_v4.csv|table6_performance_on_exact_timed_rows_v4.csv,Performance is reported only after correctness gating and timing is reported on exact timed subsets.,Do not compare speedup without first checking correctness scope.,none,Core paper rule.
claim_04,Full-denominator correctness differs from generated or executed subset correctness.,strong,Table 3; Table 4; Table 7,table3_same_engine_method_evidence_v3.csv|table4_correctness_guardrail_evidence_v4.csv|table7_failure_accounting_matrix_v3.csv,Generated executed and exact-match subsets differ so denominator-aware correctness must be reported separately from executed-subset summaries.,Do not report executed-subset exactness as if it were full-denominator correctness.,none,Important for Track A interpretation.
claim_05,"Direct LLM + Execute-and-Repair-1 recovers 2 additional exact rows over original Direct LLM, from 94/120 to 96/120, but it is a separately versioned feedback-aware route.",strong,Table 3; Table 6; Table 7,table3_same_engine_method_evidence_v3.csv|table6_performance_on_exact_timed_rows_v4.csv|table7_failure_accounting_matrix_v3.csv,Direct LLM + Execute-and-Repair-1 improves exact rows from 94/120 to 96/120 but should be treated as a separately versioned feedback-aware route.,Do not claim that the repair route is the same protocol as original Direct LLM or that it repaired the 5 blocked rows.,Broader repair policies would require separate governed route packets.,Supported by the repair run packet.
claim_06,SQLGlot routes must remain route-separated.,strong,Table 3; Table 6; Table 7; Table 11,table3_same_engine_method_evidence_v3.csv|table6_performance_on_exact_timed_rows_v4.csv|table7_failure_accounting_matrix_v3.csv|table11_bounded_pilot_evidence_reuse_v3.csv|sqlglot_result_check_backfill_summary_v1.csv|sqlglot_full_per_case_timing_result_card_v1.csv,SQLGlot optimize and SQLGlot same-dialect transpile/no-op remain separate routes and both now have route-separated row-level checker-backed timing denominators.,Do not collapse SQLGlot into one main row or reuse sqlglot_combined_same_engine_240 as if it were the main denominator.,The combined 240 row remains appendix-only by design.,No-op uses exact72 and optimize uses revised exact63 after excluding two checker_failed rows.
claim_07,Calcite HEP has a 93/120 fail-closed correctness ledger and 93 exact-row correctness-gated timing but not full 120 timing.,strong,Table 3; Table 6; Table 7,table3_same_engine_method_evidence_v3.csv|table6_performance_on_exact_timed_rows_v4.csv|table7_failure_accounting_matrix_v3.csv|calcite_hep_93_exact_timing_result_card_v1.csv,Calcite HEP retains 93/120 fail-closed correctness and a 93 exact-row correctness-gated timing packet.,Do not claim Calcite HEP full 120 timing or a global winner position.,A full 120 timing packet is still not retained.,Stronger than the old appendix-only timing context.
claim_08,"R-Bot, LLM-R2, and LearnedRewrite remain bounded appendix prior-method evidence.",appendix_only,Table 11; Table 7,table11_bounded_pilot_evidence_reuse_v3.csv|table7_failure_accounting_matrix_v3.csv,R-Bot LLM-R2 and LearnedRewrite are retained as bounded prior-method evidence with explicit scope labels.,Do not promote bounded prior-method evidence into the main same-engine table.,Would need new denominator-complete route packets.,Bounded is intentional here.
claim_09,Package-level hard-negative closure supports a tested-denominator negative guardrail view.,strong,Table 4A; Table 4 v4,table4a_package_hard_negative_closure_v1.csv|table4_correctness_guardrail_evidence_v4.csv|package_hard_negative_closure_summary_v1.csv,Package-level hard-negative closure has its own panel so package known-negative rejection can be cited directly without mixing it with generated-method candidate accounting.,Do not reinterpret package-level hard-negative closure as method-generated candidate false-accept auditing.,Method-level hard-negative generation for rewrite methods remains open.,Presentation clarified in Table 4A/4B/4C split.
claim_10,Performance is reported on exact timed subsets only.,strong,Table 6,table6_performance_on_exact_timed_rows_v4.csv,Speedup is reported only on exact timed subsets with explicit timing denominators.,Do not state full-denominator speedup where only exact timed subsets are retained.,Appendix rows remain scope-labeled.,SQLGlot route-separated exact timed subsets are retained at per-case granularity.
claim_11,Some correctness-valid rows regress including retained Direct LLM and Calcite HEP rows.,strong,Table 6; Table 10A,table6_performance_on_exact_timed_rows_v4.csv|table10_plan_attribution_case_study_v5.csv,Even correctness-valid retained rows can regress so timing evidence should include both gains and slowdowns.,Do not imply correctness-valid rewrites are uniformly faster.,none for this bounded statement,Regression remains visible after the refresh.
claim_12,Case-level failure export supports concrete failure accounting and a concrete failure-side Table 10B exemplar.,strong,Table 7; Table 10B,case_level_failure_export_v1.csv|table10_failure_exemplar_selection_v1.csv,Case-level failure export supports concrete failure accounting and a concrete failure-side observability exemplar for Table 10B.,Do not claim that case-level failure export alone provides plan attribution.,Failure-side plan attribution remains separate and selected-case only.,The retained exemplar is CONS_0024 / pg / Direct LLM / mismatch.
claim_13,Table 5 v5 supports route-level observability coverage beyond scalar labels while keeping denominator-wide attribution out of scope.,strong,Table 5,table5_observability_coverage_matrix_v5.csv|observability_coverage_source_audit_v1.csv,Main same-engine routes retain candidate SQL row-level ledgers checker or failure artifacts and timing traces while selected PG attribution coverage is tracked separately.,Do not read Table 5 as denominator-wide plan coverage or global causal attribution.,Denominator-wide PlanParseRate NodeAlignmentCoverage and global causal attribution remain open.,Use selected_pg_attribution_rows rather than legacy selected_plan_rows when citing the reviewed PG packet.
claim_14,Table 10A is selected PG plan attribution only rather than denominator-wide causal attribution.,strong,Table 10A,table10_plan_attribution_case_study_v5.csv|pg_plan_attribution_24_summary_v1.csv|pg_plan_attribution_24_delta_class_drilldown_v1.csv,Table 10A should be described as a selected PostgreSQL plan-attribution packet on reviewed exact-timed rows only.,Do not claim denominator-wide causal attribution full PlanParseRate or full NodeAlignmentCoverage.,Denominator-wide attribution remains open.,This is the main framing update in the new index layer.
claim_15,The selected PG attribution packet has 24/24 parsed source and rewrite plans.,strong,Table 10A,pg_plan_attribution_24_summary_v1.csv|pg_plan_attribution_24_event_long_v1.csv,The reviewed 24-row PostgreSQL attribution packet has complete source and rewrite plan parse success for the selected rows.,Do not generalize 24/24 parse success into denominator-wide PlanParseRate.,Denominator-wide plan extraction remains open.,Selected packet only.
claim_16,Most selected PG attribution rows show buffer or runtime deltas without major operator-family change.,strong,Table 10A,pg_plan_attribution_24_summary_v1.csv|pg_plan_attribution_24_node_delta_v1.csv|pg_plan_attribution_24_delta_class_drilldown_v1.csv,In the reviewed 24-row PostgreSQL packet 21 of 24 rows are classified as buffer or runtime delta without major operator change so scalar timing alone is insufficient to inspect why performance changed.,Do not claim that the packet provides global causal attribution or that operator-level causes are known for most rows.,Most rows remain low-confidence selected-case evidence.,This is a benchmark insight rather than a weakness to hide.
claim_17,Attribution confidence in the selected PG packet is mostly low with only 2 medium-confidence rows.,strong,Table 10A,pg_plan_attribution_24_summary_v1.csv|pg_plan_attribution_24_delta_class_drilldown_v1.csv,The selected PG packet should be described honestly as 22 low-confidence rows and 2 medium-confidence rows.,Do not overstate selected-case attribution confidence or claim high-confidence global explanations.,Higher confidence would require broader node alignment and stronger causal evidence.,This keeps the narrative conservative.
claim_18,Failure-side observability remains separate from the exact-timed PG attribution denominator.,strong,Table 10A; Table 10B,table10_plan_attribution_case_study_v5.csv|table10_failure_exemplar_selection_v1.csv|table10_observability_two_panel_guidance_v1.md,The paper should treat selected exact-timed PG attribution and failure-side observability as separate panels with different evidence goals.,Do not merge the failure exemplar into the 24-row exact-timed attribution denominator.,Failure-side plan attribution remains future work if deeper analysis is desired.,Two-panel guidance keeps this boundary explicit.
claim_19,PORT evidence is bounded PORT6 not full PORT9.,strong,Table 8; Table 11,table8_port_cross_engine_translation_v1.csv|table11_bounded_pilot_evidence_reuse_v3.csv,Current Track C evidence is bounded PORT6 portability evidence rather than full PORT9 closure.,Do not claim full PORT9 completion.,Would need explicit PORT9 or selected frozen subset packet.,Track C only.
claim_20,SpeedupTransferRate is not computed.,strong,Table 8; Claim matrix,table8_port_cross_engine_translation_v1.csv|portability_translation_artifact_audit_v1.csv,SpeedupTransferRate is not computed in the retained Track C evidence.,Do not report SpeedupTransferRate.,Would need retained target-engine exact timed transfer evidence.,Intentional non-claim.
claim_21,"SQLSolver and VeriEQL are verifier support tools, not rewrite generators.",strong,Table 9; Table 11,table9_verifier_support_v1.csv|table11_bounded_pilot_evidence_reuse_v3.csv,SQLSolver and VeriEQL are support-layer tools for SQL-pair reasoning and must not be interpreted as rewrite generators.,Do not compare SQLSolver or VeriEQL to rewrite methods on speedup or same-engine correctness tables.,CONS9 verifier-complete packet not retained.,Track B only.
claim_22,No final ranked leaderboard or method winner is claimed.,strong,Claim matrix; Table 3,paper_results_table_index_v4.csv|table3_same_engine_method_evidence_v3.csv|paper_safe_claims_and_boundaries_v3.md,The freeze folder is a denominator-aware evidence ledger and not a final ranked leaderboard.,Do not name a global winner or rank methods by GM speedup.,Would require explicit ranking policy and stronger comparable evidence.,Global boundary claim.
