gap_id,affected_table,gap_type,current_status,required_next_artifact_or_experiment,priority,can_be_done_by_aggregation_only,requires_new_execution,paper_risk_if_not_done,notes
gap_01,Table 4,method_level_negative_rejection_non_control_rows,partially_resolved_package_level_hard_negative_closure_available,method_specific_hard_negative_generation_packet_only_if_future_claim_needs_it,high,no,yes,medium,Package-level hard-negative closure is retained but method-level hard-negative rejection for generated methods remains open.
gap_01b,Table 4,package_level_hard_negative_closure,resolved_by_package_hard_negative_closure_run,none_for_current_package_level_negative_closure,resolved,no,no,low,The paper has retained package-level NegativeRejectionRate and FalseAcceptRate evidence with blocked not-applicable rows kept visible.
gap_01c,Table 4C,accepted_generated_candidate_false_accept_audit,still_open_must_do_before_method_false_accept_rate_claim,accepted_candidate_false_accept_audit_with_independent_oracle_for_each_method_route_that_reports_accepted_rows,high,no,yes,high,Method false_accept rates should remain status-only or NA until this independent audit exists.
gap_02,Table 7,case_level_failure_export,resolved_by_case_level_failure_export,none_for_current_table_refresh,resolved,yes,no,low,198 case-level failure rows are exported and support Table 7 plus the failure-side exemplar.
gap_03,Table 10B,failure_side_observability_identity,resolved_by_retained_failure_exemplar,none_for_case_identity,resolved,yes,no,low,Failure-side observability remains separate but retained through CONS_0024 / pg / Direct LLM / mismatch.
gap_04,Table 6,sqlglot_full_per_case_timing_export,resolved_by_sqlglot_result_check_backfill_and_route_separated_timing,none_for_main_sqlglot_route_rows,resolved,yes,no,low,SQLGlot no-op exact72 timing and SQLGlot optimize revised exact63 timing are retained at per-case granularity.
gap_05,Table 3_and_Table 6,calcite_hep_full120_timing,lowered_after_exact93_timing_packet,only_needed_if_future_work_demands_full120_timing_packet,medium,no,yes,low,The exact93 timing gap is resolved for current paper-safe use but this is not full 120 timing.
gap_06,Future_repair_route_expansion,direct_llm_execute_repair_route,resolved_for_1shot_route,new_governed_route_packet_only_if_future_expansion_is_desired,resolved,no,yes,low,Direct LLM execute-and-repair 1-shot route now exists and broader repair policies remain optional future work.
gap_07,Table 8,port_denominator_completion,bounded_port6_only,explicit_port9_packet_or_explicitly_frozen_selected_port_subset,high,no,yes,high,Current Track C remains bounded PORT6 only.
gap_08,Table 8,SpeedupTransferRate,NA_not_computed,target_engine_exact_timed_transfer_packet,medium,no,yes,medium,No retained target-engine exact timed transfer evidence.
gap_09,Table 9,CONS9_verifier_support,canary_or_smoke_only,verifier_compatible_cons9_or_selected_pair_matrix,high,no,yes,medium,Current verifier support is SQLSolver smoke and VeriEQL canary only.
gap_10,Table 5_and_Table 10A,selected_pg_plan_attribution_packet,resolved_by_pg_plan_attribution_24_packet,none_for_selected_pg_packet,resolved,yes,no,low,The reviewed 24-row PG attribution packet is retained and supports selected-case PG node-delta evidence.
gap_11,Table 10A,denominator_wide_PlanParseRate,unresolved_selected_pg_only,full_denominator_plan_extraction_packet_or_explicitly_scoped_exact_subset_packet,high,no,yes,medium,24/24 parse success applies only to the reviewed PG packet and not to the denominator as a whole.
gap_12,Table 10A,denominator_wide_NodeAlignmentCoverage,unresolved_selected_pg_only,full_denominator_node_alignment_outputs_with_reviewable_pairing_logic,high,no,yes,high,Current retained packet does not support denominator-wide node alignment coverage claims.
gap_13,Table 10A,global_causal_attribution,unresolved_selected_pg_only,broader attribution packet_with_stronger_alignment_and_counterfactual_review,high,no,yes,high,Selected PG attribution exists but global causal attribution does not.
gap_14,Table 5,legacy_selected_plan_rows_wording,lowered_by_v5_wording_needs_index_discipline,use_selected_pg_attribution_rows_in_manuscript_and_index_layer,resolved,yes,no,low,Readers should use selected_pg_attribution_rows for the reviewed PG packet and treat selected_plan_rows as legacy selected-plan context.
gap_15,Appendix_methods,r_bot_and_learnedrewrite_full_failure_frontier,summary_only_or_bounded,full_row_level_failure_frontier_if_future_appendix_deepening_is_desired,low,no,yes,low,R-Bot and LearnedRewrite remain appendix-only and do not block current main-paper claims.
gap_16,Table 6,sqlglot_optimize_excluded_checker_failed_rows,paper_safe_exact63_retained_checker_failed_rows_visible,optional_future_row_repair_only_if_expand_sqlglot_optimize_denominator_is_desired,low,no,yes,low,PORT_0003/pg and PORT_0004/mysql remain excluded from optimize timing by design and do not block the current paper-safe route-separated exact63 row.
