repair_row_id,case_id,engine,prompt_input_json,has_engine,has_schema,has_source_sql,has_first_candidate_sql,has_failure_feedback,has_checker_or_execution_context,ready_for_llm_call,blocked_reason,notes
direct_llm_repair_001,CONS_0024,mysql,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_001.json,true,true,true,true,true,true,true,NA_not_applicable,exact_match=false; sorted_match=false
direct_llm_repair_002,CONS_0024,pg,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_002.json,true,true,true,true,true,true,true,NA_not_applicable,exact_match=false; sorted_match=false
direct_llm_repair_003,CONS_0024,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_003.json,true,true,true,true,true,true,true,NA_not_applicable,exact_match=false; sorted_match=false
direct_llm_repair_004,PERF_0007,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_004.json,true,true,true,true,true,true,true,NA_not_applicable,exact_match=false; sorted_match=false
direct_llm_repair_005,PORT_0024,mysql,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_005.json,true,true,true,true,true,true,true,NA_not_applicable,exact_match=false; sorted_match=false; portability stress row
direct_llm_repair_006,LONGTAIL_0023,pg,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_006.json,true,true,true,true,true,true,true,NA_not_applicable,alias total_links referenced in WHERE
direct_llm_repair_007,LONGTAIL_0023,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_007.json,true,true,true,true,true,true,true,NA_not_applicable,unresolved alias total_links
direct_llm_repair_008,PERF_0019,pg,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_008.json,true,true,true,true,true,true,true,NA_not_applicable,column alias c_count missing in subquery output
direct_llm_repair_009,PERF_0077,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_009.json,true,true,true,true,true,true,true,NA_not_applicable,Spark schema file was draft or comment-only
direct_llm_repair_010,PORT_0004,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_010.json,true,true,true,true,true,true,true,NA_not_applicable,Spark schema file was draft or comment-only; portability stress row
direct_llm_repair_011,PORT_0008,mysql,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_011.json,true,true,true,true,true,true,true,NA_not_applicable,PostgreSQL-style quoting and casts sent to MySQL; portability stress row
direct_llm_repair_012,PORT_0008,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_012.json,true,true,true,true,true,true,true,NA_not_applicable,Spark ParseException; portability stress row
direct_llm_repair_013,PORT_0012,mysql,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_013.json,true,true,true,true,true,true,true,NA_not_applicable,PostgreSQL-style quoting and casts sent to MySQL; portability stress row
direct_llm_repair_014,PORT_0012,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_014.json,true,true,true,true,true,true,true,NA_not_applicable,Spark ParseException; portability stress row
direct_llm_repair_015,PORT_0013,pg,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_015.json,true,true,true,true,true,true,true,NA_not_applicable,MySQL-style backticks and DATE_FORMAT or DATETIME usage in PostgreSQL; portability stress row
direct_llm_repair_016,PORT_0013,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_016.json,true,true,true,true,true,true,true,NA_not_applicable,Spark ParseException; generation watchlist row; portability stress row
direct_llm_repair_017,PORT_0022,pg,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_017.json,true,true,true,true,true,true,true,NA_not_applicable,MySQL-style backticks and DATE_FORMAT or DATETIME usage in PostgreSQL; portability stress row
direct_llm_repair_018,PORT_0022,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_018.json,true,true,true,true,true,true,true,NA_not_applicable,Spark ParseException; portability stress row
direct_llm_repair_019,PORT_0024,pg,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_019.json,true,true,true,true,true,true,true,NA_not_applicable,MySQL-style backticks in PostgreSQL; portability stress row
direct_llm_repair_020,PORT_0025,pg,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_020.json,true,true,true,true,true,true,true,NA_not_applicable,dialect-incompatible syntax in PostgreSQL; portability stress row
direct_llm_repair_021,PORT_0025,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_preflight_01/prompt_inputs/direct_llm_repair_021.json,true,true,true,true,true,true,true,NA_not_applicable,unsupported Spark datatype DATETIME; portability stress row
direct_llm_repair_022,PORT_0003,mysql,NA_not_created,true,true,true,true,false,false,false,retained row was preflight-blocked by missing witness-data artifact; no execution or checker feedback retained,missing witness data
direct_llm_repair_023,PORT_0003,spark,NA_not_created,true,true,true,true,false,false,false,retained row was preflight-blocked by missing witness-data artifact; no execution or checker feedback retained,missing witness data
direct_llm_repair_024,PORT_0004,pg,NA_not_created,true,true,true,true,false,false,false,retained row was preflight-blocked by missing witness-data artifact; no execution or checker feedback retained,missing witness data
direct_llm_repair_025,PORT_0005,mysql,NA_not_created,true,true,true,true,false,false,false,retained row was preflight-blocked by missing witness-data artifact; no execution or checker feedback retained,missing witness data
direct_llm_repair_026,PORT_0005,spark,NA_not_created,true,true,true,true,false,false,false,retained row was preflight-blocked by missing witness-data artifact; no execution or checker feedback retained,missing witness data
