scope_type,scope_name,selected_rows,medium_confidence_rows,low_confidence_rows,buffer_or_runtime_only_rows,scan_strategy_change_rows,join_strategy_change_rows,node_count_change_rows,representative_candidates,interpretation,notes
overall,reviewed_24_pg_packet,24,2,22,21,1,1,1,direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg|direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg|direct_llm__direct_llm_same_engine_rewrite__PERF_0008__pg,"Most rows are buffer/runtime-only, so scalar timing alone would under-describe why rewrites changed performance.",22_of_24_rows_are_low_confidence
route,Direct LLM,6,0,6,6,0,0,0,direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg|direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg|direct_llm__direct_llm_same_engine_rewrite__PERF_0008__pg,Route-level delta mix for selected PG attribution rows only.,buffer_or_runtime_delta_without_operator_change:6
route,Direct LLM + Execute-and-Repair-1,2,0,2,2,0,0,0,direct_llm__direct_llm_execute_repair_1shot__LONGTAIL_0023__pg|direct_llm__direct_llm_execute_repair_1shot__PERF_0019__pg,Route-level delta mix for selected PG attribution rows only.,buffer_or_runtime_delta_without_operator_change:2
route,SQLGlot no-op / same-dialect,5,0,5,5,0,0,0,sqlglot__sqlglot_transpile_same_dialect_noop__CONS_0005__pg|sqlglot__sqlglot_transpile_same_dialect_noop__LONGTAIL_0011__pg|sqlglot__sqlglot_transpile_same_dialect_noop__PERF_0082__pg,Route-level delta mix for selected PG attribution rows only.,buffer_or_runtime_delta_without_operator_change:5
route,SQLGlot optimize,5,1,4,3,1,1,0,sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0011__pg|sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0022__pg|sqlglot__sqlglot_optimize_same_dialect__PERF_0082__pg,Route-level delta mix for selected PG attribution rows only.,buffer_or_runtime_delta_without_operator_change:3|join_strategy_change:1|scan_strategy_change:1
route,Calcite HEP,6,1,5,5,0,0,1,calcite_hep__calcite_hep_fail_closed_120__PERF_0007__pg|calcite_hep__calcite_hep_fail_closed_120__CONS_0011__pg|calcite_hep__calcite_hep_fail_closed_120__LONGTAIL_0013__pg,Route-level delta mix for selected PG attribution rows only.,buffer_or_runtime_delta_without_operator_change:5|node_count_change:1
delta_class,buffer_or_runtime_delta_without_operator_change,21,0,21,21,0,0,0,direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg|direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg|direct_llm__direct_llm_same_engine_rewrite__PERF_0008__pg,"This class is packet-local evidence, not denominator-wide causal proof.",buffer_or_runtime_delta_without_operator_change:21
delta_class,scan_strategy_change,1,0,1,0,1,0,0,sqlglot__sqlglot_optimize_same_dialect__LONGTAIL_0011__pg,"This class is packet-local evidence, not denominator-wide causal proof.",scan_strategy_change:1
delta_class,join_strategy_change,1,1,0,0,0,1,0,sqlglot__sqlglot_optimize_same_dialect__PERF_0082__pg,"This class is packet-local evidence, not denominator-wide causal proof.",join_strategy_change:1
delta_class,node_count_change,1,1,0,0,0,0,1,calcite_hep__calcite_hep_fail_closed_120__LONGTAIL_0013__pg,"This class is packet-local evidence, not denominator-wide causal proof.",node_count_change:1
