method_or_control,route_id,denominator,positive_consistency,candidate_rejection_accounting,negative_rejection,false_accept,support_level,paper_safe_wording,forbidden_overclaim,source_artifacts,notes
Human positive control,human_positive,common_core_v0_40_controls_human_positive_120,111/120 = 0.9250,NA_not_applicable_control,NA_not_applicable_positive_control,NA_not_applicable_positive_control,strong,Human-positive control supports retained positive-consistency framing on the control denominator only.,Do not present this control row as a rewrite-method ranking row.,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table4_correctness_guardrail_evidence_v1.csv,This row is unchanged in meaning; it remains a control support row rather than a method comparison row.
Hard negative control,hard_negative,common_core_v0_40_controls_hard_negative_120_planned,NA_not_applicable_hard_negative_control,NA_not_applicable_control,111/111 = 1.0000 tested denominator,0/111 = 0.0000 tested denominator,strong,Hard-negative controls support a tested-denominator negative-rejection view with no retained false accepts on the 111 tested rows.,Do not turn this control result into method-level hard-negative rejection for generated rewrite methods.,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/hard_negative_guardrail_summary_v1.csv,An additional 9 planned hard-negative portability cells remain skipped_unsupported outside the tested denominator.
Package hard-negative closure,package_hard_negative_closure,common_core_v0_40_same_engine_120_hard_negative_rows,NA_not_applicable_hard_negative_control,NA_not_applicable_control,111/111 = 1.0000,0/111 = 0.0000,retained_aggregate,"Package-level hard-negative closure now reports runnable hard-negative rows, rejected rows, blocked rows, and false accepts separately from method candidate rejection accounting.",Do not reinterpret this package-level hard-negative closure as method-generated candidate false-accept auditing or a final leaderboard signal.,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_summary_v1.csv|/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_event_long_v1.csv|/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_false_accept_audit_v1.csv,This row is package-level known-negative closure only. It is not method-level hard-negative generation and not accepted-candidate false-accept auditing.
Direct LLM,direct_llm_same_engine_rewrite,common_core_v0_40_same_engine_120,94/120 = 0.7833,26/26 = 1.0000,NA_not_applicable_method_generated_candidates,NA_not_audited_from_retained_artifacts,retained_aggregate,"Direct LLM retains full-denominator candidate-rejection accounting for its 26 non-exact rows, but this is not the same as hard-negative rejection.",Do not rename method_candidate_rejection_accounting as hard-negative rejection and do not claim false_accept=0.,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/method_candidate_rejection_accounting_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/candidate_false_accept_audit_v1.csv,The retained route keeps both 94 exact rows and 26 explicit non-exact rows visible.
Direct LLM + Execute-and-Repair-1,direct_llm_execute_repair_1shot,common_core_v0_40_same_engine_120,96/120 = 0.8000,24/24 = 1.0000,NA_not_applicable_method_generated_candidates,NA_not_audited_from_retained_artifacts,retained_aggregate,The feedback-aware Direct LLM repair route preserves full-denominator candidate-rejection accounting on the 24 final non-exact rows while remaining separately versioned.,Do not present this as hard-negative rejection and do not claim the repair route replaces the original Direct LLM baseline.,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/method_candidate_rejection_accounting_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/candidate_false_accept_audit_v1.csv,This row includes the 2 exact-row gain but still leaves 24 explicit final non-exact rows and 5 blocked rows visible.
SQLGlot no-op / same-dialect,sqlglot_transpile_same_dialect_noop,common_core_v0_40_same_engine_120,72/120 = 0.6000,48/48 = 1.0000,NA_not_applicable_method_generated_candidates,NA_not_audited_from_retained_artifacts,retained_aggregate,Route-separated SQLGlot no-op evidence now supports exact-row confirmation plus explicit candidate-rejection accounting for the remaining 48 rows.,Do not collapse this route into sqlglot_combined_same_engine_240 and do not rename candidate accounting as hard-negative rejection.,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/method_candidate_rejection_accounting_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/sqlglot_result_check_backfill_summary_v1.csv,Source-like/no-op rows remain explicit and are not silently treated as accepted rewrites.
SQLGlot optimize,sqlglot_optimize_same_dialect,common_core_v0_40_same_engine_120,63/120 = 0.5250,57/57 = 1.0000,NA_not_applicable_method_generated_candidates,NA_not_audited_from_retained_artifacts,retained_aggregate,Route-separated SQLGlot optimize now supports a revised exact63 denominator plus explicit candidate-rejection accounting on the remaining 57 rows.,Do not reuse the old aggregate exact65 denominator and do not convert this row into a hard-negative claim.,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/method_candidate_rejection_accounting_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/sqlglot_result_check_backfill_summary_v1.csv,Two checker_failed rows remain visible and excluded from the timing denominator.
Calcite HEP,calcite_hep_same_engine_rewrite,common_core_v0_40_same_engine_120,93/120 = 0.7750,27/27 = 1.0000,NA_not_applicable_method_generated_candidates,NA_not_audited_from_retained_artifacts,retained_aggregate,"Calcite HEP supports fail-closed candidate-rejection accounting over the retained 27-row non-exact frontier, separate from hard-negative controls.",Do not claim method-level hard-negative rejection or false_accept=0 from the fail-closed ledger alone.,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/method_candidate_rejection_accounting_v1.csv|reports/evaluation/common_core_v0/calcite_hep_120_fail_closed_synthesis_v1.csv,"The paper-facing route label is normalized, but the retained evidence remains the fail-closed 120 ledger plus its explicit 27-row non-exact frontier."
LLM-R2 original PG9 bounded,llm_r2_original_route_bounded_pg9,common_core_v0_llm_r2_pg_supported_9,3/9 = 0.3333,6/6 = 1.0000,NA_not_applicable_method_generated_candidates,NA_not_audited_from_retained_artifacts,bounded,LLM-R2 original-route appendix evidence supports bounded PG9 candidate-rejection accounting only.,Do not promote this bounded PG-only row into the main same-engine denominator.,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/method_candidate_rejection_accounting_v1.csv,This is appendix-only bounded evidence.
LLM-R2 recovered route bounded,llm_r2_recovered_extraction_route_v1,common_core_v0_llm_r2_recovered_pg9_attempted_appendix,6/9 = 0.6667,3/3 = 1.0000,NA_not_applicable_method_generated_candidates,NA_not_audited_from_retained_artifacts,bounded,The recovered LLM-R2 route supports a bounded appendix candidate-rejection view only.,Do not treat this recovered bounded route as denominator-complete same-engine evidence.,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/method_candidate_rejection_accounting_v1.csv,Recovered-route appendix only.
