run_id,event_id,method_id,method_version,case_id,pool,source_family,task_track,route_id,engine,engine_source,engine_target,git_commit,denominator_id,rewrite_id,rewrite_role,attempt_index,execution_phase,status,failure_bucket,is_denominator_case,is_valid_result,is_speedup_eligible,speedup_exclusion_reason,result_match_status,normalization_policy,baseline_runtime_ms,rewrite_runtime_ms,speedup_ratio,plan_artifact_status,verifier_mode,artifact_path,artifact_reuse_mode,negative_available,negative_rejected,notes
controls_v0_manual_spark_canary_04cases_01,PERF_0006__native_source__spark,controls,manual_spark_canary_04cases_01_materialized,PERF_0006,performance,TPC-H,control,native_source,spark,,spark,917c466faeb191f90ba98f644af5a096a3e9d68b,common_core_v0_40,source,source,1,aggregate,skipped,unsupported,true,false,false,control_evidence_unavailable,not_checked,none,,,,not_applicable,engine_local_witness,reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/perf_0006_spark_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/perf_0006_spark_validation.stderr.log,manual_case_validation_materialized,yes,,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=perf_0006_spark_validation; Spark validation script was missing for this case in the manual canary; route rows remain explicit as unsupported
controls_v0_manual_spark_canary_04cases_01,PERF_0006__human_positive__spark,controls,manual_spark_canary_04cases_01_materialized,PERF_0006,performance,TPC-H,control,human_positive,spark,,spark,917c466faeb191f90ba98f644af5a096a3e9d68b,common_core_v0_40,rewrite_pos_01,positive,1,aggregate,skipped,unsupported,true,false,false,control_evidence_unavailable,not_checked,none,,,,not_applicable,engine_local_witness,reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/perf_0006_spark_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/perf_0006_spark_validation.stderr.log,manual_case_validation_materialized,yes,,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=perf_0006_spark_validation; Spark validation script was missing for this case in the manual canary; route rows remain explicit as unsupported
controls_v0_manual_spark_canary_04cases_01,PERF_0006__hard_negative__spark,controls,manual_spark_canary_04cases_01_materialized,PERF_0006,performance,TPC-H,control,hard_negative,spark,,spark,917c466faeb191f90ba98f644af5a096a3e9d68b,common_core_v0_40,rewrite_neg_01,negative,1,aggregate,skipped,unsupported,true,false,false,control_evidence_unavailable,not_checked,none,,,,not_applicable,engine_local_witness,reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/perf_0006_spark_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/perf_0006_spark_validation.stderr.log,manual_case_validation_materialized,yes,no,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=perf_0006_spark_validation; Spark validation script was missing for this case in the manual canary; route rows remain explicit as unsupported
controls_v0_manual_spark_canary_04cases_01,CONS_0007__native_source__spark,controls,manual_spark_canary_04cases_01_materialized,CONS_0007,consistency,Calcite,control,native_source,spark,,spark,917c466faeb191f90ba98f644af5a096a3e9d68b,common_core_v0_40,source,source,1,aggregate,success,,true,true,false,controls_not_speedup_metric,match,none,,,,not_applicable,engine_local_witness,cases/CONS/CONS_0007/runs/spark/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/cons_0007_spark_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/cons_0007_spark_validation.stderr.log|cases/CONS/CONS_0007/runs/spark/source.tsv,manual_case_validation_materialized,yes,,"manual_case_validation_materialized; common_core_v0 consistency candidate; human review required before freeze; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=cons_0007_spark_validation; Spark-only witness validation for CONS_0007.; No PostgreSQL or MySQL validation is implied.; No admission, promotion, common-core, extended, or tri-engine-closure claim is made."
controls_v0_manual_spark_canary_04cases_01,CONS_0007__human_positive__spark,controls,manual_spark_canary_04cases_01_materialized,CONS_0007,consistency,Calcite,control,human_positive,spark,,spark,917c466faeb191f90ba98f644af5a096a3e9d68b,common_core_v0_40,rewrite_pos_01,positive,1,aggregate,success,,true,true,false,controls_not_speedup_metric,match,none,,,,not_applicable,engine_local_witness,cases/CONS/CONS_0007/runs/spark/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/cons_0007_spark_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/cons_0007_spark_validation.stderr.log|cases/CONS/CONS_0007/runs/spark/rewrite_pos_01.tsv,manual_case_validation_materialized,yes,,"manual_case_validation_materialized; common_core_v0 consistency candidate; human review required before freeze; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=cons_0007_spark_validation; Spark-only witness validation for CONS_0007.; No PostgreSQL or MySQL validation is implied.; No admission, promotion, common-core, extended, or tri-engine-closure claim is made."
controls_v0_manual_spark_canary_04cases_01,CONS_0007__hard_negative__spark,controls,manual_spark_canary_04cases_01_materialized,CONS_0007,consistency,Calcite,control,hard_negative,spark,,spark,917c466faeb191f90ba98f644af5a096a3e9d68b,common_core_v0_40,rewrite_neg_01,negative,1,aggregate,success,,true,true,false,controls_not_speedup_metric,mismatch,none,,,,not_applicable,engine_local_witness,cases/CONS/CONS_0007/runs/spark/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/cons_0007_spark_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/cons_0007_spark_validation.stderr.log|cases/CONS/CONS_0007/runs/spark/rewrite_neg_01.tsv,manual_case_validation_materialized,yes,yes,"manual_case_validation_materialized; common_core_v0 consistency candidate; human review required before freeze; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=cons_0007_spark_validation; Spark-only witness validation for CONS_0007.; No PostgreSQL or MySQL validation is implied.; No admission, promotion, common-core, extended, or tri-engine-closure claim is made."
controls_v0_manual_spark_canary_04cases_01,LONGTAIL_0011__native_source__spark,controls,manual_spark_canary_04cases_01_materialized,LONGTAIL_0011,longtail,SQLStorm,control,native_source,spark,,spark,917c466faeb191f90ba98f644af5a096a3e9d68b,common_core_v0_40,source,source,1,aggregate,success,,true,true,false,controls_not_speedup_metric,match,none,,,,not_applicable,engine_local_witness,cases/LONGTAIL/LONGTAIL_0011/runs/spark/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/longtail_0011_spark_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/longtail_0011_spark_validation.stderr.log|cases/LONGTAIL/LONGTAIL_0011/runs/spark/source.tsv,manual_case_validation_materialized,yes,,"manual_case_validation_materialized; SQLStorm review-ready candidate; registry not_assessed; registry alignment required before final freeze; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=longtail_0011_spark_validation; Spark-only witness validation for LONGTAIL_0011.; No PostgreSQL or MySQL validation is implied.; No admission, promotion, common-core, extended, or tri-engine-closure claim is made."
controls_v0_manual_spark_canary_04cases_01,LONGTAIL_0011__human_positive__spark,controls,manual_spark_canary_04cases_01_materialized,LONGTAIL_0011,longtail,SQLStorm,control,human_positive,spark,,spark,917c466faeb191f90ba98f644af5a096a3e9d68b,common_core_v0_40,rewrite_pos_01,positive,1,aggregate,success,,true,true,false,controls_not_speedup_metric,match,none,,,,not_applicable,engine_local_witness,cases/LONGTAIL/LONGTAIL_0011/runs/spark/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/longtail_0011_spark_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/longtail_0011_spark_validation.stderr.log|cases/LONGTAIL/LONGTAIL_0011/runs/spark/rewrite_pos_01.tsv,manual_case_validation_materialized,yes,,"manual_case_validation_materialized; SQLStorm review-ready candidate; registry not_assessed; registry alignment required before final freeze; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=longtail_0011_spark_validation; Spark-only witness validation for LONGTAIL_0011.; No PostgreSQL or MySQL validation is implied.; No admission, promotion, common-core, extended, or tri-engine-closure claim is made."
controls_v0_manual_spark_canary_04cases_01,LONGTAIL_0011__hard_negative__spark,controls,manual_spark_canary_04cases_01_materialized,LONGTAIL_0011,longtail,SQLStorm,control,hard_negative,spark,,spark,917c466faeb191f90ba98f644af5a096a3e9d68b,common_core_v0_40,rewrite_neg_01,negative,1,aggregate,success,,true,true,false,controls_not_speedup_metric,mismatch,none,,,,not_applicable,engine_local_witness,cases/LONGTAIL/LONGTAIL_0011/runs/spark/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/longtail_0011_spark_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/longtail_0011_spark_validation.stderr.log|cases/LONGTAIL/LONGTAIL_0011/runs/spark/rewrite_neg_01.tsv,manual_case_validation_materialized,yes,yes,"manual_case_validation_materialized; SQLStorm review-ready candidate; registry not_assessed; registry alignment required before final freeze; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=longtail_0011_spark_validation; Spark-only witness validation for LONGTAIL_0011.; No PostgreSQL or MySQL validation is implied.; No admission, promotion, common-core, extended, or tri-engine-closure claim is made."
controls_v0_manual_spark_canary_04cases_01,PORT_0012__native_source__spark,controls,manual_spark_canary_04cases_01_materialized,PORT_0012,portability,PARROT,control,native_source,spark,,spark,917c466faeb191f90ba98f644af5a096a3e9d68b,common_core_v0_40,source,source,1,aggregate,skipped,unsupported,true,false,false,control_evidence_unavailable,not_checked,portability_stress,,,,not_applicable,external,cases/PORT/PORT_0012/runs/spark/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/port_0012_spark_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_canary_04cases_01/logs/port_0012_spark_validation.stderr.log,manual_case_validation_materialized,yes,,"manual_case_validation_materialized; portability stress candidate; normalization caveat; human approved for review slate only; do not overclaim SpeedupTransferRate; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=port_0012_spark_validation; Draft cross-dialect checker logic only.; PostgreSQL source output is treated as the semantic reference.; Scalar results are normalized numerically before comparison.; The checker will fail if any required TSV file is missing.; This checker compares existing PostgreSQL, MySQL, and Spark TSV outputs only.; No registry validation or admission claim is implied.; PORT_0012 Spark route evidence is derived from the cross-dialect reference checker, not a spark-local source baseline; No supported spark native-source evidence exists in the cross-dialect checker; unsupported rows remain explicit"
