paper_table,metric_or_value,source_artifact,source_column_or_field,script_or_code_path,aggregation_level,denominator_id,track,route_id,trace_status,claim_boundary,notes
Table 8 denominator composition,total cases and pool split,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.csv,pool;case_count;TOTAL row,No dedicated generator retained; section8_existing_values_patch_v1.csv maps source,case denominator,common_core_v0_40,governance,all,traceable_to_artifact_only,fixed denominator only; not method metric,Pool split PERF16/CONS9/PORT9/LONGTAIL6 retained.
Table 8 denominator composition,same-engine Track A rows,reports/evaluation/common_core_v0/common_core_v0_40_same_engine_120_rerun_manifest_v1.csv,case_id;engine rows,No dedicated generator retained,case-engine denominator,common_core_v0_40_same_engine_120,Track A,all same-engine,traceable_to_artifact_only,40 x 3 same-engine cells,"Use manifest for denominator, not prose."
Table 8a experimental metadata / reproducibility fields,route metadata and command availability,reports/evaluation/common_core_v0/14_REPRODUCIBILITY_MANIFEST_V1/route_metadata_manifest_v1.csv; table_regeneration_commands_v1.md,command_or_script;config_or_prompt;timing_policy;status,reports/evaluation/common_core_v0/14_REPRODUCIBILITY_MANIFEST_V1/*,route metadata,mixed,reproducibility,all paper-facing routes,traceable_to_artifact_only,"metadata, not benchmark score",Identifies missing exact final render and artifact-only aggregations.
Table 9 taxonomy coverage,distinct tags/cases covered/primary-secondary/confirmed-suspected,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_taxonomy_coverage_v1.csv,distinct_tags_covered;cases_with_at_least_one_tag;primary_tag_count;secondary_tag_count;confirmed_portability_tag_count;suspected_portability_tag_count,No dedicated regeneration command retained,axis over 40 cases,common_core_v0_40,taxonomy,all cases,traceable_to_artifact_only,benchmark characterization only,Round 15B can recompute from tag matrix.
Table 10 pool taxonomy coverage,pool by axis coverage,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_taxonomy_by_pool_v1.csv,pool;axis;cases_with_axis_tag;distinct_tags_covered,No dedicated regeneration command retained,pool-axis,common_core_v0_40,taxonomy,all cases,traceable_to_artifact_only,pool-local characterization only,"Uses retained tag matrix, not source registry changes."
Table 11 baseline roles,controls vs same-engine vs bounded prior vs PORT vs verifier roles,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table11_bounded_pilot_evidence_reuse_v3.csv; route_metadata_manifest_v1.csv,method_or_packet;keep_as;why_not_main_leaderboard;paper_safe_claim,artifact-only role ledger,method/packet role,mixed,method role governance,mixed,traceable_to_artifact_only,not a ranked leaderboard; appendix rows stay bounded,R-Bot/LearnedRewrite/LLM-R2 bounded evidence retained as non-main-leaderboard context.
Table 12 method evidence ledger,planned/generated/ready/executed/exact/timing/gm/regression,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv; table6_performance_on_exact_timed_rows_v4.csv,planned_rows;generated_rows;ready_rows;executed_rows;exact_match_rows;timing_success_rows;gm_speedup;regression_rate_20pct,run_direct_llm_execute_repair_1shot.py for repair; timing runner summaries; artifact-only final table aggregation,route row,common_core_v0_40_same_engine_120 plus route timing denominators,Track A,direct_llm;sqlglot;calcite_hep;bounded appendix,fully_traceable_to_code_and_artifact,denominator-aware evidence ledger only; no ranked leaderboard,Core formulas traceable; some row assembly is artifact-only.
Table 13 hard-negative validation,planned/tested/not_applicable/rejected/false_accept,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/hard_negative_guardrail_ledger_v1.csv; package_hard_negative_closure_summary_v1.csv,negative_applicable;negative_executed;rejected_by_checker;false_accept;tested_negative_rows,reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/run_package_hard_negative_closure.py,package hard-negative case-engine row,common_core_v0_40_same_engine_120_hard_negative_rows,guardrail,package_hard_negative_closure,fully_traceable_to_code_and_artifact,package known-negative guardrail only; not method-generated candidate audit,Ready for independent arithmetic recompute from event_long.
Table 14 candidate failure accounting,failure bucket matrix,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,generation_failed;parse_failed;preflight_blocked;unsupported;execution_failed;mismatch;noop_or_source_like;timing_missing;non_exact_frontier,No dedicated regeneration command retained; source artifacts listed per row,route failure buckets,mixed route denominators,failure accounting,all method routes,traceable_to_artifact_only,"method-generated candidate accounting, not hard-negative guardrail",Needs Round 15B recompute from source event artifacts.
Table 15 speedup slices,timing denominator/gm/median/W-T-L/regression@20,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv; method_timing_case_level_v1.csv,timing_denominator;gm_speedup;median_speedup;win_count;tie_count;loss_count;regression_rate_20pct,run_direct_llm_execute_repair_1shot.py; scripts/cli.py timing functions; timing_summary.csv artifacts,route timing slice,timing_success_*,timing,direct_llm;sqlglot;calcite_hep;r_bot bounded,fully_traceable_to_code_and_artifact,exact timed subset only; not full-denominator speedup,Per-case arrays available for main rows; route-summary-only rows need caution.
