table_id,metric_group,can_recompute_from_retained_artifacts,requires_db_run,requires_llm_call,requires_verifier_run,requires_manual_review,required_inputs,available_inputs,missing_inputs,recommended_recompute_check,status,notes
Table 8,denominator composition,yes,no,no,no,no,table1_common_core_composition_v1.csv; common_core_v0_40_same_engine_120_rerun_manifest_v1.csv,yes,dedicated generator not retained,Count TOTAL=40 and pool rows; count manifest rows=120; verify case-engine uniqueness.,ready_for_independent_recompute,Artifact-only recompute sufficient.
Table 8a,experimental metadata / reproducibility,partial,no,no,no,yes,route_metadata_manifest_v1.csv; table_regeneration_commands_v1.md; reproducibility_missing_items_v1.csv,yes,some exact commands/runtime hashes marked missing by manifest,Cross-check every route_metadata command_or_script exists or is explicitly NA_not_retained.,human_review_needed,"Metadata is traceable, but completeness requires human review."
Table 9,taxonomy coverage,yes,no,no,no,no,common_core_v0_case_tag_matrix_v1.csv; tag_coverage_common_core40_v1.csv; taxonomy/*.yaml for vocabulary check,yes,dedicated aggregation script not retained,"Recompute axis distinct tags, cases covered, primary/secondary, confirmed/suspected counts from tag matrix.",ready_for_independent_recompute,No experiment required.
Table 10,pool taxonomy coverage,yes,no,no,no,no,common_core_v0_case_tag_matrix_v1.csv; common_core_v0_taxonomy_by_pool_v1.csv,yes,dedicated aggregation script not retained,Group by pool and axis; compare cases_with_axis_tag and distinct_tags_covered.,ready_for_independent_recompute,Static artifact arithmetic.
Table 11,baseline roles / bounded reuse,partial,no,no,no,yes,table11_bounded_pilot_evidence_reuse_v3.csv; route_metadata_manifest_v1.csv; prior_methods_pg10_bounded_appendix_v1.md,yes,some prior-method runnable route commands and timing arrays,Check role labels and denominator caveats; do not recompute unavailable bounded metrics as main rows.,human_review_needed,"Role classification is policy/artifact review, not pure arithmetic."
Table 12,method evidence ledger,partial,no,no,no,yes,table3_same_engine_method_evidence_v3.csv; run_event_long/timing summaries per route; route result cards,most main route summaries and many event_long files retained,unified aggregation script; some bounded prior route event arrays,Recompute planned/generated/ready/executed/exact/timing for main routes and flag bounded rows as artifact-only.,human_review_needed,Executed vs ready semantics require careful review.
Table 13,hard-negative validation,yes,no,no,no,no,package_hard_negative_closure_event_long_v1.csv; package_hard_negative_closure_summary_v1.csv; hard_negative_guardrail_ledger_v1.csv,yes,none for arithmetic recompute,Recount planned/tested/not_applicable/rejected/false_accept and false_accept_rate from event_long/ledger.,ready_for_independent_recompute,Do not run DB; recompute from retained event_long only.
Table 14,candidate failure accounting,partial,no,no,no,yes,candidate_failure_accounting_v1.csv; table7_failure_accounting_matrix_v3.csv; method_candidate_rejection_accounting_v1.csv; source event_long files,summary tables and some event_long files,dedicated generator and complete unified per-route event source for every bounded row,Verify non_exact_frontier = planned - exact where compatible; sum failure buckets; confirm no hard-negative rows are mixed in.,ready_for_independent_recompute,"Arithmetic ready for main artifact rows, but bounded/mixed rows need flags."
Table 15,speedup slices,partial,no,no,no,yes,method_timing_case_level_v1.csv; route timing_event_long.csv; timing_summary.csv; table6_performance_on_exact_timed_rows_v4.csv,main route timing arrays retained; some bounded summaries retained,paired arrays for some route-summary-only appendix rows,"Recompute speedup_ratio-derived GM, median, W/T/L, Regression@20 for rows with per-case arrays; mark summary-only rows artifact_only.",ready_for_independent_recompute,No new timing collection.
Table 16,selected observability frontier,partial,no,no,no,yes,selected_plan_observability_frontier_v1.csv; table10_plan_attribution_case_study_v6.csv; pg_plan_attribution_113_event_long_v1.csv,selected frontier artifacts retained,full-denominator node alignment artifact,Verify selected rows have source/rewrite plan paths and delta_class/confidence; do not compute full NodeAlignmentCoverage.,human_review_needed,Selected frontier ready; full coverage blocked.
Table 17,PORT closure / SpeedupTransfer readiness,partial,yes_for_PORT9_or_transfer_timing,no_for_recompute; yes_only_if new translation experiment is requested,no,yes,port_bounded_route_closure_v1.csv; speedup_transfer_readiness_v1.csv; table8_port_cross_engine_translation_v1.csv,bounded PORT6 artifacts retained,full PORT9 closure; paired target-engine timing arrays,Recompute bounded 1/6 or 6/6 closure fields from retained CSV; keep SpeedupTransferRate not_computed.,blocked_requires_experiment,No PORT9 or transfer-timing run in this audit.
Table 18,verifier support,partial,no,no,yes_for_new_or_full_support; no_for_retained_ledger_check,yes,verifier_support_pair_ledger_v1.csv; table9_verifier_support_v1.csv; verifier_support_artifact_audit_v1.csv,bounded support ledger retained,SQLSolver clean prove/refute/unknown/timeout split; complete verifier denominator,Check support statuses from ledger; do not treat verifier rows as rewrite baseline.,human_review_needed,Retained ledger check only; full support rate would require verifier work.
Table 19,conclusion-evidence mapping,yes,no,no,no,yes,paper_claim_matrix_v7.csv; table/source artifacts cited by claim rows,yes,"none for mapping, but human claim review required",Verify every supporting artifact path exists and every forbidden_overclaim is respected.,artifact_only_no_recompute_needed,No scientific claim decision in this audit.
Table 20,artifact map,yes,no,no,no,no,ARTIFACT_INDEX.csv; paper_artifact_index_v1.csv; section8_artifact_source_map_v1.csv,yes,none for path existence check,Verify indexed paths exist and statuses/caveats are present.,ready_for_independent_recompute,Static file existence and status check.
