metric_name,metric_family,formula_or_logic,denominator,numerator,eligibility_filter,computed_in_code_path,computed_in_function_or_section,input_artifacts,output_artifacts,paper_tables_supported,track,route_scope,status,notes
planned_rows,denominator/accounting,Count retained denominator rows for the route/table. For Track A same-engine: 40 cases x 3 engines = 120. For SQLGlot combined diagnostic: 120 optimize + 120 no-op = 240. For hard negatives: expected negative rows = 120.,route-specific denominator_id,all planned rows in retained manifest/table,none; planned denominator includes failed/blocked/unsupported rows,scripts/common_core_v0_validation.py; run_package_hard_negative_closure.py; artifact-only for several paper tables,EXPECTED_DENOMINATOR_ID checks; load_rows(); retained CSV TOTAL rows,common_core_v0_40_same_engine_120_rerun_manifest_v1.csv; table1_common_core_composition_v1.csv; package_hard_negative_denominator_v1.csv,table3_same_engine_method_evidence_v3.csv; candidate_failure_accounting_v1.csv; package_hard_negative_closure_summary_v1.csv,"Tables 8, 12, 13, 14",governance;Track A;guardrail,all,retained_partial,Denominator files are retained; not every table has a dedicated generator.
generated_or_ready_rows,candidate accounting,"Count rows with generated candidate SQL or retained ready route output, depending on route semantics. Direct LLM uses generated rows; SQLGlot/Calcite artifact rows often use ready/generated route outputs.",planned_rows for route,rows classified generated or ready,route output exists or preflight ready; semantics vary by route,run_direct_llm_generation.py; candidate_failure_accounting_v1.csv artifact aggregation,summarize_counts(); retained generated_or_ready column,generation_event_long.csv; run_results.json; candidate_failure_accounting_v1.csv,table3_same_engine_method_evidence_v3.csv; candidate_failure_accounting_v1.csv,"Tables 12, 14",Track A,direct_llm;sqlglot;calcite_hep;r_bot;llm_r2;learnedrewrite,retained_partial,Need preserve route-specific distinction between generated and ready-after-preflight.
generated_rows,candidate accounting,Count rows where the generation step emitted an accepted SQL candidate or route output.,planned generation rows,status == success or generated_sql_written true or retained generated count,generation step rows only,run_direct_llm_generation.py; scripts/cli.py SQLGlot/Calcite/R-Bot route command families; artifact-only summaries,classify_output(); summarize_counts(); retained generated_rows columns,run_results.json; generation_event_long.csv; table3_same_engine_method_evidence_v3.csv,direct_llm_same_engine_result_card_v1.csv; table3_same_engine_method_evidence_v3.csv,Table 12,Track A,generation routes,retained_partial,Direct LLM code retained exactly; prior-method generated rows often retained as summary artifacts.
ready_rows,candidate accounting,Count rows ready after preflight or with route output ready for execution; distinct from executed rows.,planned route rows,ready_after_preflight rows or retained ready_rows value,not preflight-blocked and has required artifacts for execution,run_direct_llm_execute_repair_1shot.py preflight/candidate loading; artifact-only for main table rows,ManifestRow.ready_for_llm_call; table3 ready_rows,direct_llm_execute_repair_prompt_input_manifest_v1.csv; table3_same_engine_method_evidence_v3.csv,table3_same_engine_method_evidence_v3.csv; candidate_failure_accounting_v1.csv,"Tables 12, 14",Track A,direct_llm repair and preflighted routes,retained_partial,Executed semantics and ready_after_preflight semantics diverge; keep separate.
executed_rows,candidate accounting,"Count rows where candidate execution succeeded under retained semantics. In candidate_failure_accounting_v1, repair route executed uses exact + mismatch = 97, not ready_after_preflight 115.",planned_rows or generated/ready denominator depending table,rows with successful candidate execution; sometimes exact + mismatch rows,candidate execution completed; excludes preflight blocked and execution_failed,scripts/common_core_v0_validation.py row status checks; run_* execution artifacts; candidate_failure_accounting_v1 artifact,_is_invalid_or_inconsistent(); retained executed column,run_event_long.csv; execution run_results.json; candidate_failure_accounting_v1.csv,table3_same_engine_method_evidence_v3.csv; candidate_failure_accounting_v1.csv,"Tables 12, 14",Track A,same-engine routes,retained_partial,Requires Round 15B audit because some paper rows use artifact summaries with different executed/ready semantics.
exact_match_rows,correctness,Count rows whose retained checker/result comparison reports exact/checker-consistent match.,planned_rows for exact_on_planned; executed_rows for exact_among_executed; timing rows for speedup eligibility,exact == true or exact_match_rows column,successful execution and retained checker/result comparison,scripts/common_core_v0_validation.py; execution/checker artifacts; run_direct_llm_execute_repair_1shot.py final outcome,_is_invalid_or_inconsistent(); final_exact rows; retained exact columns,run_event_long.csv; checker_event_long.csv; table3_same_engine_method_evidence_v3.csv; candidate_failure_accounting_v1.csv,table3_same_engine_method_evidence_v3.csv; candidate_failure_accounting_v1.csv; table6_performance_on_exact_timed_rows_v4.csv,"Tables 12, 14, 15",Track A,same-engine routes,retained_partial,Directly gates timing metrics.
non_exact_frontier,failure accounting,planned - exact where denominator-compatible; candidate_failure_accounting_v1 retains explicit non_exact_frontier per route.,planned route rows,planned_rows - exact_match_rows,only when planned and exact share same denominator,artifact-only aggregation,candidate_failure_accounting_v1 non_exact_frontier column,candidate_failure_accounting_v1.csv; table3_same_engine_method_evidence_v3.csv,candidate_failure_accounting_v1.csv; table7_failure_accounting_matrix_v3.csv,Table 14,failure accounting,Track A and bounded prior rows,retained_partial,Do not compute across mixed denominators such as SQLGlot combined 240 vs route 120.
fail_closed_exact_rate / exact_on_planned,correctness,exact_match_rows / planned_rows with all failed/blocked/unsupported rows retained in denominator.,planned_rows,exact_match_rows,route denominator-compatible,artifact-only table values; scripts/common_core_v0_validation.py enforces denominator visibility,table3 exact_match_rate; validation denominator checks,table3_same_engine_method_evidence_v3.csv; candidate_failure_accounting_v1.csv,table3_same_engine_method_evidence_v3.csv,Table 12,Track A,same-engine routes,retained_partial,"Paper-facing exact rate is denominator-aware, not executed-subset rate."
exact_among_executed,correctness,"exact_match_rows / executed_rows, only where executed semantics are retained and compatible.",executed_rows,exact_match_rows,executed rows have retained result semantics; do not use ready_after_preflight as executed,candidate_failure_accounting_v1 artifact-only; not consistently implemented as code formula,derived from exact and executed columns,candidate_failure_accounting_v1.csv; table3_same_engine_method_evidence_v3.csv,candidate_failure_accounting_v1.csv,"Tables 12, 14",Track A,same-engine routes,retained_partial,Needs Round 15B recompute due executed vs ready semantic risk.
timing_success_rows,timing,Count timing rows with timing_success true and correctness/exact eligibility satisfied.,timing_denominator_id or exact rows attempted for timing,rows with timing_success true,exact/checker-consistent + timing_success; invalid/mismatch rows excluded with reason,run_direct_llm_execute_repair_1shot.py summarize_speedups; scripts/cli.py timing runners; timing_summary.csv artifacts,summarize_speedups(); valid_speedup_values filters; timing_summary timing_success_rows,method_timing_case_level_v1.csv; timing_event_long.csv; final_timing_summary.csv; timing_summary.csv,table6_performance_on_exact_timed_rows_v4.csv; speedup_slice_summary_v1.csv,"Tables 12, 15",timing,exact timed routes,retained_exact,Fully traceable for rows with retained per-case timing arrays; summary-only bounded rows need caution.
timing_denominator,timing,"The exact-timed slice denominator label and count; e.g., timing_success_94_on_common_core_v0_40_same_engine_120, exact63, exact72, exact93.",exact/checker-consistent rows attempted for timing,timing_success rows or speedup_denominator,exact + timing-success; route-specific,timing runner summaries; artifact-only table6/speedup_slice_summary,timing_denominator_id and speedup_denominator columns,table6_performance_on_exact_timed_rows_v4.csv; timing_summary.csv; final_timing_summary.csv,speedup_slice_summary_v1.csv; table6_performance_on_exact_timed_rows_v4.csv,Table 15,timing,all timed routes,retained_exact,Must not be read as full planned denominator.
gm_speedup,timing,GM speedup = exp(mean(log(speedup_ratio))) over positive speedup_ratio rows where speedup_ratio = source_median_runtime / rewrite_median_runtime and row is exact + timing_success.,timing_success_rows,product/log sum of speedup ratios,timing_success true; exact/checker-consistent; speedup_ratio > 0,run_direct_llm_execute_repair_1shot.py; scripts/cli.py timing functions; timing_summary.csv artifacts,geometric_mean(values); summarize_speedups(); route_summary[gm_speedup],method_timing_case_level_v1.csv; timing_event_long.csv; final_timing_summary.csv; timing_summary.csv,table6_performance_on_exact_timed_rows_v4.csv; speedup_slice_summary_v1.csv,"Tables 12, 15",timing,exact timed routes,retained_exact,Formula retained in code for direct repair and CLI timing runners; verify arithmetic in Round 15B.
median_speedup,timing,Median of speedup_ratio over exact + timing_success rows.,timing_success_rows,median(speedup_ratio values),timing_success true; exact/checker-consistent,run_direct_llm_execute_repair_1shot.py; scripts/cli.py timing functions; timing_summary.csv artifacts,statistics.median(speeds); timing_summary median_speedup,method_timing_case_level_v1.csv; timing_event_long.csv,table6_performance_on_exact_timed_rows_v4.csv; speedup_slice_summary_v1.csv,Table 15,timing,exact timed routes,retained_exact,Ready for independent recompute where timing_event_long exists.
win_count,timing,Count speedup_ratio > 1.05 among timing-success rows in retained code paths.,timing_success_rows,rows with speedup_ratio > 1.05,exact + timing_success,run_direct_llm_execute_repair_1shot.py; scripts/cli.py timing functions,summarize_speedups(); win_tie_loss thresholds,timing_event_long.csv; method_timing_case_level_v1.csv,table6_performance_on_exact_timed_rows_v4.csv; speedup_slice_summary_v1.csv,Table 15,timing,exact timed routes,retained_exact,Threshold is retained in code as 5 percent tie band.
tie_count,timing,Count 0.95 <= speedup_ratio <= 1.05 among timing-success rows.,timing_success_rows,rows within 5 percent tie band,exact + timing_success,run_direct_llm_execute_repair_1shot.py; scripts/cli.py timing functions,summarize_speedups(); tie_threshold=0.05,timing_event_long.csv; method_timing_case_level_v1.csv,table6_performance_on_exact_timed_rows_v4.csv; speedup_slice_summary_v1.csv,Table 15,timing,exact timed routes,retained_exact,Direct repair code uses inclusive tie range; CLI code uses > and < outside threshold.
loss_count,timing,Count speedup_ratio < 0.95 among timing-success rows.,timing_success_rows,rows below 5 percent tie band,exact + timing_success,run_direct_llm_execute_repair_1shot.py; scripts/cli.py timing functions,summarize_speedups(); win_tie_loss thresholds,timing_event_long.csv; method_timing_case_level_v1.csv,table6_performance_on_exact_timed_rows_v4.csv; speedup_slice_summary_v1.csv,Table 15,timing,exact timed routes,retained_exact,Ready for recompute where per-case speedup rows retained.
regression_rate_20pct,timing,Regression@20 = count(speedup_ratio < 0.8) / timing_denominator; equivalent to candidate_median_runtime >= 1.20 * source_median_runtime in runner code.,timing_success_rows,regression_20pct_count,exact + timing_success rows,run_direct_llm_execute_repair_1shot.py; scripts/cli.py timing functions; timing_summary.csv artifacts,summarize_speedups() reg20 = sum(s < 0.8); CLI regression_20pct = candidate_median >= 1.2 * source_median,timing_event_long.csv; method_timing_case_level_v1.csv; timing_summary.csv,table6_performance_on_exact_timed_rows_v4.csv; speedup_slice_summary_v1.csv,"Tables 12, 15",timing,exact timed routes,retained_exact,Formula is code-retained and should be recomputed in Round 15B.
source_like / noop count,failure accounting,Count candidate outputs explicitly classified as source-like/no-op; retained as method behavior not hidden failures.,planned_rows or bounded prior denominator,noop_or_source_like/source_like_or_noop rows,route-specific output classification,artifact-only for paper-facing tables; LearnedRewrite appendix artifact,candidate_failure_accounting_v1 noop_or_source_like column; prior_methods_pg10 appendix,candidate_failure_accounting_v1.csv; table7_failure_accounting_matrix_v3.csv; prior_methods_pg10_bounded_appendix_v1.md,candidate_failure_accounting_v1.csv; Table 14/11 appendix rows,"Tables 11, 14",failure accounting;bounded prior methods,SQLGlot no-op; LearnedRewrite; bounded methods,retained_partial,SQLGlot no-op rows explicit as 24; LearnedRewrite 8/10 source-like is artifact-only.
generation_failed,failure accounting,Count rows where generation emitted no accepted candidate or route generation failed.,planned_rows,generation_failed bucket,generation attempted or route generation classified,run_direct_llm_generation.py classify_output; candidate_failure_accounting artifact,status == generation_failed; generation_failed column,run_results.json; generation_event_long.csv; candidate_failure_accounting_v1.csv,table7_failure_accounting_matrix_v3.csv; candidate_failure_accounting_v1.csv,Table 14,Track A,generation routes,retained_partial,Direct LLM code retained; other routes often artifact-only.
parse_failed,failure accounting,Count rows classified as parse failure before execution/checking.,planned_rows,parse_failed bucket,route parser/preflight stage,scripts/cli.py route functions; artifact-only table rows,parse_failed column in retained failure tables,table7_failure_accounting_matrix_v3.csv; candidate_failure_accounting_v1.csv; SQLGlot/Calcite run artifacts,candidate_failure_accounting_v1.csv,Table 14,Track A,SQLGlot;Calcite;bounded prior methods,retained_partial,Need arithmetic recompute from event_long where available.
preflight_blocked,failure accounting,Count rows blocked before execution due missing artifacts/readiness conditions.,planned_rows,preflight_blocked bucket,preflight stage rows,run_direct_llm_execute_repair_1shot.py blockers; scripts/cli.py preflight functions; artifact tables,blockers lists; preflight_blocked column,direct_llm_execute_repair_preflight_summary_v1.csv; candidate_failure_accounting_v1.csv,candidate_failure_accounting_v1.csv; table7_failure_accounting_matrix_v3.csv,Table 14,Track A,preflighted routes,retained_partial,"For original Direct LLM, 5 blocked rows are preserved as non-exact denominator rows."
unsupported,failure accounting,Count rows explicitly unsupported by route/tool/policy.,planned_rows,unsupported bucket,unsupported classification retained,artifact-only table rows; scripts/cli.py readiness functions classify support,unsupported column,candidate_failure_accounting_v1.csv; table7_failure_accounting_matrix_v3.csv,candidate_failure_accounting_v1.csv,Table 14,Track A,SQLGlot;Calcite;prior methods,retained_partial,Keep unsupported rows in planned denominator.
execution_failed,failure accounting,Count rows with candidate/source execution failure after candidate is available.,planned_rows,execution_failed bucket,execution attempted and failed,execution runners; hard-negative runner for control layer; artifact aggregation,execution_status == failed; execution_failed columns,run_event_long.csv; execution_command_matrix.csv; candidate_failure_accounting_v1.csv,candidate_failure_accounting_v1.csv; table7_failure_accounting_matrix_v3.csv,Table 14,Track A;guardrail,all execution routes,retained_partial,Do not conflate package negative execution failure rejection with method candidate execution failure.
mismatch,failure accounting,Count executed rows where retained checker/result comparison reports non-match.,planned_rows or executed rows depending table,mismatch bucket,execution succeeded and checker/result comparison ran,execution/checker runners; artifact aggregation,result_match_status == mismatch; mismatch column,run_event_long.csv; checker_event_long.csv; candidate_failure_accounting_v1.csv,candidate_failure_accounting_v1.csv; table7_failure_accounting_matrix_v3.csv,Table 14,Track A,all checked routes,retained_partial,"Mismatch is method candidate failure, separate from hard-negative rejection."
timing_missing,failure accounting,"Count exact rows lacking retained timing where timing denominator expects them, or summary-specific timing missing bucket.",planned/exact/timing denominator depending route,timing_missing or timing_failed bucket,exact rows considered for timing,timing runner summaries; artifact-only candidate failure table,timing_failed_rows/timing_missing columns,timing_summary.csv; candidate_failure_accounting_v1.csv,candidate_failure_accounting_v1.csv; speedup_slice_summary_v1.csv,"Tables 14, 15",timing,timed routes,retained_partial,"Current main route timing rows show zero timing_failed in retained summaries, but bounded/summary rows need audit."
methodology_boundary,claim boundary,"Textual retained boundary explaining whether a row is full 120, feedback route, bounded PG-only, appendix, support-only, or not comparable.",not numeric,not numeric,all paper-facing method rows,artifact-only,methodology_boundary/claim_boundary columns,candidate_failure_accounting_v1.csv; table3_same_engine_method_evidence_v3.csv; route_metadata_manifest_v1.csv,candidate_failure_accounting_v1.csv; table6; Table 11; Section 8 artifacts,"Tables 11, 12, 14, 15, 17, 18, 19",all,all,retained_partial,"Boundary is retained as artifact fields, not code formula."
hard_negative_planned,guardrail,Count all expected package hard-negative cells: 40 cases x 3 same-engine cells = 120.,common_core_v0_40_same_engine_120_hard_negative_rows,all denominator manifest rows,none; includes not_applicable rows,run_package_hard_negative_closure.py,load_rows(); manifest_rows; expected_negative_rows,common_core_v0_40_same_engine_120_rerun_manifest_v1.csv; package_hard_negative_denominator_v1.csv,package_hard_negative_closure_summary_v1.csv; hard_negative_guardrail_ledger_v1.csv,Table 13,guardrail,package hard negatives,retained_exact,Ready for recompute from retained denominator/event artifacts.
