case_id,case_path,current_provenance_style,provenance_fix,taxonomy_fix,rewrite_schema_fix,spark_manifest_fix,checker_fix,files_to_edit_later,files_to_archive_later,risk_level,recommended_batch
CONS_0005,cases/CONS/CONS_0005,implicit_source_fields_only,Add top-level provenance block to manifest.yaml derived from existing source/source_* fields; add explicit release provenance notes if source record remains implicit.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/CONS/CONS_0005/manifest.yaml,,low,batch_3_provenance_normalization
CONS_0007,cases/CONS/CONS_0007,implicit_source_fields_only,Add top-level provenance block to manifest.yaml derived from existing source/source_* fields; add explicit release provenance notes if source record remains implicit.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/CONS/CONS_0007/manifest.yaml,,low,batch_3_provenance_normalization
CONS_0009,cases/CONS/CONS_0009,implicit_source_fields_only,Add top-level provenance block to manifest.yaml derived from existing source/source_* fields; add explicit release provenance notes if source record remains implicit.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/CONS/CONS_0009/manifest.yaml,,low,batch_3_provenance_normalization
CONS_0010,cases/CONS/CONS_0010,implicit_source_fields_only,Add top-level provenance block to manifest.yaml derived from existing source/source_* fields; add explicit release provenance notes if source record remains implicit.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/CONS/CONS_0010/manifest.yaml,,low,batch_3_provenance_normalization
CONS_0011,cases/CONS/CONS_0011,implicit_source_fields_only,Add top-level provenance block to manifest.yaml derived from existing source/source_* fields; add explicit release provenance notes if source record remains implicit.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/CONS/CONS_0011/manifest.yaml,,low,batch_3_provenance_normalization
CONS_0012,cases/CONS/CONS_0012,implicit_source_fields_only,Add top-level provenance block to manifest.yaml derived from existing source/source_* fields; add explicit release provenance notes if source record remains implicit.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/CONS/CONS_0012/manifest.yaml,,low,batch_3_provenance_normalization
CONS_0024,cases/CONS/CONS_0024,implicit_source_fields_only,Add top-level provenance block to manifest.yaml derived from existing source/source_* fields; add explicit release provenance notes if source record remains implicit.,Confirm/migrate standalone taxonomy trial contents into manifest tags; archive taxonomy trial file later after review; do not delete in this pass.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/CONS/CONS_0024/manifest.yaml,cases/CONS/CONS_0024/taxonomy_trial_v0.3.yaml,low,batch_3_provenance_normalization
CONS_0036,cases/CONS/CONS_0036,implicit_source_fields_only,Add top-level provenance block to manifest.yaml derived from existing source/source_* fields; add explicit release provenance notes if source record remains implicit.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/CONS/CONS_0036/manifest.yaml,,low,batch_3_provenance_normalization
CONS_0037,cases/CONS/CONS_0037,implicit_source_fields_only,Add top-level provenance block to manifest.yaml derived from existing source/source_* fields; add explicit release provenance notes if source record remains implicit.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Normalize existing checker/result comparison evidence under the checkers block.,cases/CONS/CONS_0037/manifest.yaml,,low,batch_3_provenance_normalization
LONGTAIL_0011,cases/LONGTAIL/LONGTAIL_0011,implicit_source_fields_only,Add top-level provenance block to manifest.yaml derived from existing source/source_* fields; add explicit release provenance notes if source record remains implicit.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Add release-facing checker policy or checker artifact reference; preserve benchmark-controlled equality semantics.,cases/LONGTAIL/LONGTAIL_0011/manifest.yaml;cases/LONGTAIL/LONGTAIL_0011/validation/checker_policy_or_checker_artifact,,high,batch_1_checker_contract_gaps
LONGTAIL_0012,cases/LONGTAIL/LONGTAIL_0012,implicit_source_fields_only,Add top-level provenance block to manifest.yaml derived from existing source/source_* fields; add explicit release provenance notes if source record remains implicit.,Retain existing manifest tags; no standalone taxonomy archival action from audit.,Normalize single rewrite_pos_01.sql and rewrite_neg_01.sql into one-entry positive_rewrites[] and hard_negatives[] arrays with role metadata.,"Ensure validation and plans blocks declare current Spark validation scripts, witness data, plan artifacts, and collection script where present.",Add release-facing checker policy or checker artifact reference; preserve benchmark-controlled equality semantics.,cases/LONGTAIL/LONGTAIL_0012/manifest.yaml;cases/LONGTAIL/LONGTAIL_0012/validation/checker_policy_or_checker_artifact,,high,batch_1_checker_contract_gaps
