row_id,case_id,engine,result_check_artifact,checker_status,notes
PERF_0006__pg__rewrite_neg_01,PERF_0006,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0006__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0006__mysql__rewrite_neg_01,PERF_0006,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0006__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0006__spark__rewrite_neg_01,PERF_0006,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0006__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0007__pg__rewrite_neg_01,PERF_0007,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0007__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0007__mysql__rewrite_neg_01,PERF_0007,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0007__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0007__spark__rewrite_neg_01,PERF_0007,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0007__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0008__pg__rewrite_neg_01,PERF_0008,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0008__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0008__mysql__rewrite_neg_01,PERF_0008,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0008__mysql__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0008__spark__rewrite_neg_01,PERF_0008,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0008__spark__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
PERF_0013__pg__rewrite_neg_01,PERF_0013,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0013__pg__rewrite_neg_01/result_check.json,mismatch_rejected,negative rewrite differs from source under retained checker policy
