method_id,route_id,case_id,pool,engine,source_runtime_ms,rewrite_runtime_ms,speedup_ratio,timing_success,exact_match,timing_row_type,source_artifact,notes
direct_llm,direct_llm_same_engine_rewrite,CONS_0005,CONS,mysql,134.72597498912364,136.36937399860471,0.987948914325163,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0005,CONS,pg,400.2830960089341,299.9543258920312,1.3344801573324077,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0005,CONS,spark,209.2272659065202,214.92869302164763,0.9734729363726545,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0007,CONS,mysql,116.4318110095337,116.65510002058,0.998085904422465,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0007,CONS,pg,395.79129207413644,293.37660304736346,1.3490894909920232,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0007,CONS,spark,175.614898907952,172.24563704803586,1.0195607965325504,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0009,CONS,mysql,151.60864708013833,152.11009595077485,0.9967033820634839,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0009,CONS,pg,400.7300300290808,410.23533104453236,0.9768296382682365,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0009,CONS,spark,392.8798190318048,360.99076399113983,1.0883375925968224,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0010,CONS,mysql,137.03142199665308,135.23461192380637,1.0132866138874201,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0010,CONS,pg,299.19123998843133,296.3594290195033,1.0095553260387125,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0010,CONS,spark,262.49541610013694,252.70477205049247,1.0387434078517845,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0011,CONS,mysql,154.89827503915876,158.0552679952234,0.9800260187711045,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0011,CONS,pg,399.43992102053016,403.8681980455294,0.9890353411176483,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0011,CONS,spark,337.54556404892355,331.6002709325403,1.0179290960760183,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0012,CONS,mysql,139.677532017231,134.57055506296456,1.0379501812404424,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0012,CONS,pg,503.05691093672067,294.61073398124427,1.707530829371433,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0012,CONS,spark,290.752531029284,278.1715659657493,1.045227358230725,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0036,CONS,mysql,116.72216793522239,118.03961102850735,0.9888389746305857,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0036,CONS,pg,292.89009189233184,293.6771069653332,0.9973201347523003,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
direct_llm,direct_llm_same_engine_rewrite,CONS_0036,CONS,spark,175.53194297943264,171.88523104414344,1.0212159701746142,true,true,route_exact_timed_row,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,original full timing success retained from direct_llm_same_engine_timing_01
