row_id,method_id,route_id,case_id,engine,backfill_scope,source_sql_artifact,candidate_sql_artifact,schema_artifact,witness_artifact,workspace,notes
sqlglot_optimize_same_dialect__CONS_0010__mysql,sqlglot,sqlglot_optimize_same_dialect,CONS_0010,mysql,optimize_reconstructed_56,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/mysql/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/mysql/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/mysql/sqlglot_optimize_same_dialect/ddl_mysql.sql,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0010/validation/mysql_witness_data.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0010/mysql/sqlglot_optimize_same_dialect/optimize_reconstructed_56,checker/result comparison only; no SQLGlot regeneration; no timing
sqlglot_optimize_same_dialect__CONS_0010__pg,sqlglot,sqlglot_optimize_same_dialect,CONS_0010,pg,optimize_reconstructed_56,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/pg/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/pg/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/pg/sqlglot_optimize_same_dialect/ddl_pg.sql,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0010/validation/pg_witness_data.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0010/pg/sqlglot_optimize_same_dialect/optimize_reconstructed_56,checker/result comparison only; no SQLGlot regeneration; no timing
sqlglot_optimize_same_dialect__CONS_0010__spark,sqlglot,sqlglot_optimize_same_dialect,CONS_0010,spark,optimize_reconstructed_56,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/spark/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/spark/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/spark/sqlglot_optimize_same_dialect/ddl_spark.sql,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0010/validation/spark_witness_data.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0010/spark/sqlglot_optimize_same_dialect/optimize_reconstructed_56,checker/result comparison only; no SQLGlot regeneration; no timing
sqlglot_optimize_same_dialect__CONS_0011__mysql,sqlglot,sqlglot_optimize_same_dialect,CONS_0011,mysql,optimize_reconstructed_56,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/mysql/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/mysql/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/mysql/sqlglot_optimize_same_dialect/ddl_mysql.sql,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0011/validation/mysql_witness_data.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0011/mysql/sqlglot_optimize_same_dialect/optimize_reconstructed_56,checker/result comparison only; no SQLGlot regeneration; no timing
sqlglot_optimize_same_dialect__CONS_0011__pg,sqlglot,sqlglot_optimize_same_dialect,CONS_0011,pg,optimize_reconstructed_56,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/pg/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/pg/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/pg/sqlglot_optimize_same_dialect/ddl_pg.sql,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0011/validation/pg_witness_data.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0011/pg/sqlglot_optimize_same_dialect/optimize_reconstructed_56,checker/result comparison only; no SQLGlot regeneration; no timing
sqlglot_optimize_same_dialect__CONS_0011__spark,sqlglot,sqlglot_optimize_same_dialect,CONS_0011,spark,optimize_reconstructed_56,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/spark/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/spark/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/spark/sqlglot_optimize_same_dialect/ddl_spark.sql,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0011/validation/spark_witness_data.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0011/spark/sqlglot_optimize_same_dialect/optimize_reconstructed_56,checker/result comparison only; no SQLGlot regeneration; no timing
sqlglot_optimize_same_dialect__CONS_0012__mysql,sqlglot,sqlglot_optimize_same_dialect,CONS_0012,mysql,optimize_reconstructed_56,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/mysql/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/mysql/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/mysql/sqlglot_optimize_same_dialect/ddl_mysql.sql,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0012/validation/mysql_witness_data.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0012/mysql/sqlglot_optimize_same_dialect/optimize_reconstructed_56,checker/result comparison only; no SQLGlot regeneration; no timing
sqlglot_optimize_same_dialect__CONS_0012__pg,sqlglot,sqlglot_optimize_same_dialect,CONS_0012,pg,optimize_reconstructed_56,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/pg/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/pg/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/pg/sqlglot_optimize_same_dialect/ddl_pg.sql,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0012/validation/pg_witness_data.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0012/pg/sqlglot_optimize_same_dialect/optimize_reconstructed_56,checker/result comparison only; no SQLGlot regeneration; no timing
sqlglot_optimize_same_dialect__CONS_0012__spark,sqlglot,sqlglot_optimize_same_dialect,CONS_0012,spark,optimize_reconstructed_56,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/spark/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/spark/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/spark/sqlglot_optimize_same_dialect/ddl_spark.sql,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0012/validation/spark_witness_data.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0012/spark/sqlglot_optimize_same_dialect/optimize_reconstructed_56,checker/result comparison only; no SQLGlot regeneration; no timing
sqlglot_optimize_same_dialect__CONS_0036__mysql,sqlglot,sqlglot_optimize_same_dialect,CONS_0036,mysql,optimize_reconstructed_56,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0036/mysql/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0036/mysql/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0036/mysql/sqlglot_optimize_same_dialect/ddl_mysql.sql,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0036/validation/mysql_witness_data.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0036/mysql/sqlglot_optimize_same_dialect/optimize_reconstructed_56,checker/result comparison only; no SQLGlot regeneration; no timing
sqlglot_optimize_same_dialect__CONS_0036__pg,sqlglot,sqlglot_optimize_same_dialect,CONS_0036,pg,optimize_reconstructed_56,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0036/pg/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0036/pg/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0036/pg/sqlglot_optimize_same_dialect/ddl_pg.sql,/home/tianci_gao/code/sql-rewrite-bench/cases/CONS/CONS_0036/validation/pg_witness_data.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0036/pg/sqlglot_optimize_same_dialect/optimize_reconstructed_56,checker/result comparison only; no SQLGlot regeneration; no timing
