run_id,method_id,control_group,pool_scope,denominator_cases,control_events,control_valid_cases,control_failure_cases,control_expected_behavior,control_observed_behavior,notes
controls_v0_manual_spark_ready36_resolved_01,controls,native_source,all,36,36,27,9,must_match,skipped=9; success=27,Derived from run_event_long; spark ready36 resolved subset; original failure and retry provenance preserved for PORT_0003 and PORT_0005
controls_v0_manual_spark_ready36_resolved_01,controls,native_source,performance,12,12,12,0,must_match,success=12,Derived from run_event_long; spark ready36 resolved subset; original failure and retry provenance preserved for PORT_0003 and PORT_0005
controls_v0_manual_spark_ready36_resolved_01,controls,native_source,consistency,9,9,9,0,must_match,success=9,Derived from run_event_long; spark ready36 resolved subset; original failure and retry provenance preserved for PORT_0003 and PORT_0005
controls_v0_manual_spark_ready36_resolved_01,controls,native_source,portability,9,9,0,9,must_match,skipped=9,Derived from run_event_long; spark ready36 resolved subset; original failure and retry provenance preserved for PORT_0003 and PORT_0005
controls_v0_manual_spark_ready36_resolved_01,controls,native_source,longtail,6,6,6,0,must_match,success=6,Derived from run_event_long; spark ready36 resolved subset; original failure and retry provenance preserved for PORT_0003 and PORT_0005
controls_v0_manual_spark_ready36_resolved_01,controls,human_positive,all,36,36,36,0,must_match,success=36,Derived from run_event_long; spark ready36 resolved subset; original failure and retry provenance preserved for PORT_0003 and PORT_0005
controls_v0_manual_spark_ready36_resolved_01,controls,human_positive,performance,12,12,12,0,must_match,success=12,Derived from run_event_long; spark ready36 resolved subset; original failure and retry provenance preserved for PORT_0003 and PORT_0005
controls_v0_manual_spark_ready36_resolved_01,controls,human_positive,consistency,9,9,9,0,must_match,success=9,Derived from run_event_long; spark ready36 resolved subset; original failure and retry provenance preserved for PORT_0003 and PORT_0005
controls_v0_manual_spark_ready36_resolved_01,controls,human_positive,portability,9,9,9,0,must_match,success=9,Derived from run_event_long; spark ready36 resolved subset; original failure and retry provenance preserved for PORT_0003 and PORT_0005
controls_v0_manual_spark_ready36_resolved_01,controls,human_positive,longtail,6,6,6,0,must_match,success=6,Derived from run_event_long; spark ready36 resolved subset; original failure and retry provenance preserved for PORT_0003 and PORT_0005
controls_v0_manual_spark_ready36_resolved_01,controls,hard_negative,all,36,36,36,0,must_fail,success=36,Derived from run_event_long; spark ready36 resolved subset; original failure and retry provenance preserved for PORT_0003 and PORT_0005
controls_v0_manual_spark_ready36_resolved_01,controls,hard_negative,performance,12,12,12,0,must_fail,success=12,Derived from run_event_long; spark ready36 resolved subset; original failure and retry provenance preserved for PORT_0003 and PORT_0005
controls_v0_manual_spark_ready36_resolved_01,controls,hard_negative,consistency,9,9,9,0,must_fail,success=9,Derived from run_event_long; spark ready36 resolved subset; original failure and retry provenance preserved for PORT_0003 and PORT_0005
controls_v0_manual_spark_ready36_resolved_01,controls,hard_negative,portability,9,9,9,0,must_fail,success=9,Derived from run_event_long; spark ready36 resolved subset; original failure and retry provenance preserved for PORT_0003 and PORT_0005
controls_v0_manual_spark_ready36_resolved_01,controls,hard_negative,longtail,6,6,6,0,must_fail,success=6,Derived from run_event_long; spark ready36 resolved subset; original failure and retry provenance preserved for PORT_0003 and PORT_0005
