table_id,metric_name,route_or_scope,denominator_id,source_artifact,recompute_input_level,formula_used,recomputed_value,retained_value,comparison_status,difference,tolerance,notes
Table 8,total cases,common_core_v0,common_core_v0_40,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.csv,pool summary,sum pool case_count,40,40,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 8,pool count PERF,PERF,common_core_v0_40,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.csv,pool summary,case_count by pool,16,16,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 8,pool count CONS,CONS,common_core_v0_40,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.csv,pool summary,case_count by pool,9,9,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 8,pool count PORT,PORT,common_core_v0_40,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.csv,pool summary,case_count by pool,9,9,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 8,pool count LONGTAIL,LONGTAIL,common_core_v0_40,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.csv,pool summary,case_count by pool,6,6,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 8,same-engine rows,Track A same_engine,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/common_core_v0_40_same_engine_120_rerun_manifest_v1.csv,row manifest,count planned case-engine rows,120,120,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 8,unique case count,Track A same_engine,common_core_v0_40,reports/evaluation/common_core_v0/common_core_v0_40_same_engine_120_rerun_manifest_v1.csv,row manifest,count distinct case_id,40,40,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 8,unique case-engine row count,Track A same_engine,common_core_v0_40_same_engine_120,reports/evaluation/common_core_v0/common_core_v0_40_same_engine_120_rerun_manifest_v1.csv,row manifest,count distinct row_id,120,120,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,distinct tags by axis,sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct normalized tags with axis prefix,11,11,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,cases covered by axis,sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count cases with at least one axis tag,32,32,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,top tags by axis,sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 tags by case coverage,sql_feature:primary:date_time_function:11|sql_feature:primary:correlated_subquery:10|sql_feature:primary:cte:8|sql_feature:primary:outer_join:6|sql_feature:secondary:expression_complexity:6,sql_feature:primary:date_time_function:11|sql_feature:primary:correlated_subquery:10|sql_feature:primary:cte:8|sql_feature:primary:outer_join:6|sql_feature:secondary:expression_complexity:6,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,primary tag count,sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct pipe-split sql_feature_primary values,8,8,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,secondary tag count,sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct secondary tags where applicable,3,3,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,confirmed portability count,sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct confirmed portability tags for portability axis only,NA_not_applicable,NA_not_applicable,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,suspected portability count,sql_feature,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct suspected portability tags for portability axis only,NA_not_applicable,NA_not_applicable,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,distinct tags by axis,rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count distinct normalized tags with axis prefix,18,18,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,cases covered by axis,rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,count cases with at least one axis tag,40,40,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,top tags by axis,rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,top 5 tags by case coverage,rewrite_opportunity:primary:dialect_adaptation:9|rewrite_opportunity:primary:subquery_decorrelation:9|rewrite_opportunity:secondary:predicate_pushdown:8|rewrite_opportunity:primary:predicate_pushdown:7|rewrite_opportunity:secondary:aggregation_rewrite:7,rewrite_opportunity:primary:dialect_adaptation:9|rewrite_opportunity:primary:subquery_decorrelation:9|rewrite_opportunity:secondary:predicate_pushdown:8|rewrite_opportunity:primary:predicate_pushdown:7|rewrite_opportunity:secondary:aggregation_rewrite:7,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,primary tag count,rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct primary tags where applicable,9,9,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
Table 9,secondary tag count,rewrite_opportunity,common_core_v0_40,reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1/common_core_v0_case_tag_matrix_v1.csv,case tag matrix,distinct secondary tags where applicable,9,9,exact_match,0,integer exact or decimal <1e-9 / retained 4dp,
