table_id,metric_group,previous_status,updated_status,reason,next_action,notes
Table 8,denominator composition,ready_for_independent_recompute,recomputed_exact,manifest and composition counts matched retained denominator values exactly,use in final Section 8 render,40 cases and 120 same-engine rows confirmed
Table 9,taxonomy coverage,ready_for_independent_recompute,recomputed_exact,axis distinct/case/top/tag-role counts matched retained summary,use retained taxonomy tables,computed from normalized case tag matrix
Table 10,pool taxonomy coverage,ready_for_independent_recompute,recomputed_exact,pool-axis coverage and top tags matched retained summary,use retained pool taxonomy table,computed from normalized case tag matrix
Table 13,hard-negative guardrail,ready_for_independent_recompute,recomputed_exact,planned/tested/not-applicable/rejection/false-accept counts matched retained artifacts,use hard-negative guardrail evidence,false accepts confirmed zero
Table 14,candidate failure accounting,ready_for_independent_recompute,recomputed_exact,identity checks and retained bucket counts matched,keep executed vs ready semantics explicit,Direct LLM repair ready_after_preflight differs from executed
Table 15,speedup slices,ready_for_independent_recompute_for_per_case_rows,recomputed_with_rounding,four per-case routes matched exactly or within float rounding; summary-only rows artifact-only,use per-case recompute rows and keep summary rows artifact-only,GM and Regression@20 reproduced
Table 16,selected observability frontier,ready_for_independent_recompute_for_selected_frontier,recomputed_exact,selected frontier counts matched,do not generalize to full NodeAlignmentCoverage,full NodeAlignmentCoverage remains expected NA/future work
Table 17,PORT readiness,ready_for_independent_recompute_for_bounded_closure,expected_NA_confirmed,bounded closure matched and SpeedupTransferRate blocker confirmed,retain SpeedupTransferRate as expected NA,bounded PORT6 is not PORT9
Table 18,verifier support,artifact_only_or_ready_for_static_count,expected_NA_confirmed,support counts/scope matched and SQLSolver verdict split remains not retained,state verifier denominator separately from common-core 120,verifier support is not a rewrite baseline
Table 20,artifact map,ready_for_independent_recompute,recomputed_exact,"Section, appendix, and status counts reproduced",use artifact index for reproducibility package,artifact index is retained source for status counts
