case_id,pool,source_family,sql_feature_primary,sql_feature_secondary,rewrite_opportunity_primary,rewrite_opportunity_secondary,plan_operator_present,plan_operator_delta_relevant,workload_realism_source_inherited,workload_realism_case_specific,portability_confirmed,portability_suspected,all_normalized_tags,tag_source_artifact,notes
CONS_0005,CONS,Calcite,correlated_subquery,,subquery_decorrelation,,join|scan|sort|subquery,,,,null_semantics_gap,,plan_operator:present:join|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|portability:confirmed:null_semantics_gap|rewrite_opportunity:primary:subquery_decorrelation|sql_feature:primary:correlated_subquery,cases/CONS/CONS_0005/manifest.yaml,Values come from retained normalized tags only; empty field means no retained tag in that namespace for this case.
CONS_0007,CONS,Calcite,correlated_subquery|subquery_in_from,,subquery_decorrelation,materialization_strategy,aggregate|join|scan|subquery,,,,,,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:subquery|rewrite_opportunity:primary:subquery_decorrelation|rewrite_opportunity:secondary:materialization_strategy|sql_feature:primary:correlated_subquery|sql_feature:primary:subquery_in_from,cases/CONS/CONS_0007/manifest.yaml,Values come from retained normalized tags only; empty field means no retained tag in that namespace for this case.
CONS_0009,CONS,Calcite,correlated_subquery|set_operation,subquery_in_from,subquery_decorrelation,aggregation_rewrite,aggregate|join|scan|set_op|subquery,,,long_tail_structure,,null_semantics_gap,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:set_op|plan_operator:present:subquery|portability:suspected:null_semantics_gap|rewrite_opportunity:primary:subquery_decorrelation|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:correlated_subquery|sql_feature:primary:set_operation|sql_feature:secondary:subquery_in_from|workload_realism:case_specific:long_tail_structure,cases/CONS/CONS_0009/manifest.yaml,Values come from retained normalized tags only; empty field means no retained tag in that namespace for this case.
CONS_0010,CONS,Calcite,correlated_subquery,,subquery_decorrelation,,join|materialize|scan|subquery,,,,,,plan_operator:present:join|plan_operator:present:materialize|plan_operator:present:scan|plan_operator:present:subquery|rewrite_opportunity:primary:subquery_decorrelation|sql_feature:primary:correlated_subquery,cases/CONS/CONS_0010/manifest.yaml,Values come from retained normalized tags only; empty field means no retained tag in that namespace for this case.
CONS_0011,CONS,Calcite,correlated_subquery|outer_join,,subquery_decorrelation,aggregation_rewrite,aggregate|join|materialize|scan|subquery,,,,null_semantics_gap,,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:materialize|plan_operator:present:scan|plan_operator:present:subquery|portability:confirmed:null_semantics_gap|rewrite_opportunity:primary:subquery_decorrelation|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:correlated_subquery|sql_feature:primary:outer_join,cases/CONS/CONS_0011/manifest.yaml,Values come from retained normalized tags only; empty field means no retained tag in that namespace for this case.
CONS_0012,CONS,Calcite,correlated_subquery,,order_limit_simplification,subquery_decorrelation,aggregate|join|limit|scan|subquery,,,,limit_fetch_gap,,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:limit|plan_operator:present:scan|plan_operator:present:subquery|portability:confirmed:limit_fetch_gap|rewrite_opportunity:primary:order_limit_simplification|rewrite_opportunity:secondary:subquery_decorrelation|sql_feature:primary:correlated_subquery,cases/CONS/CONS_0012/manifest.yaml,Values come from retained normalized tags only; empty field means no retained tag in that namespace for this case.
CONS_0024,CONS,Calcite,correlated_subquery|outer_join,,subquery_decorrelation,,aggregate|join|scan|subquery,,,,,,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:subquery|rewrite_opportunity:primary:subquery_decorrelation|sql_feature:primary:correlated_subquery|sql_feature:primary:outer_join,cases/CONS/CONS_0024/manifest.yaml,Values come from retained normalized tags only; empty field means no retained tag in that namespace for this case.
CONS_0036,CONS,VeriEQL,,,aggregation_rewrite,predicate_pushdown,aggregate|scan,,,,,,plan_operator:present:aggregate|plan_operator:present:scan|rewrite_opportunity:primary:aggregation_rewrite|rewrite_opportunity:secondary:predicate_pushdown,cases/CONS/CONS_0036/manifest.yaml,Values come from retained normalized tags only; empty field means no retained tag in that namespace for this case.
CONS_0037,CONS,VeriEQL,outer_join,,aggregation_rewrite,,aggregate|join|scan|sort,,,,,,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:sort|rewrite_opportunity:primary:aggregation_rewrite|sql_feature:primary:outer_join,cases/CONS/CONS_0037/manifest.yaml,Values come from retained normalized tags only; empty field means no retained tag in that namespace for this case.
LONGTAIL_0011,LONGTAIL,SQLStorm,cte|window_function,,expression_simplification,cte_strategy,aggregate|join|scan|sort|subquery|window,,realistic_query_style,long_tail_structure,,,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|plan_operator:present:window|rewrite_opportunity:primary:expression_simplification|rewrite_opportunity:secondary:cte_strategy|sql_feature:primary:cte|sql_feature:primary:window_function|workload_realism:case_specific:long_tail_structure|workload_realism:source_inherited:realistic_query_style,cases/LONGTAIL/LONGTAIL_0011/manifest.yaml,Values come from retained normalized tags only; empty field means no retained tag in that namespace for this case.
