pool,axis,cases_in_pool,cases_with_axis_tag,distinct_tags_covered,top_tags,primary_tags,secondary_tags,confirmed_portability_tags,suspected_portability_tags,source_artifact,notes
PERF,sql_feature,16,11,8,sql_feature:primary:date_time_function:6|sql_feature:primary:correlated_subquery:3|sql_feature:primary:cte:3|sql_feature:secondary:expression_complexity:2|sql_feature:secondary:subquery_in_from:2,6,2,NA_not_applicable,NA_not_applicable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
PERF,rewrite_opportunity,16,16,9,rewrite_opportunity:primary:predicate_pushdown:7|rewrite_opportunity:secondary:predicate_pushdown:7|rewrite_opportunity:secondary:join_reorder:4|rewrite_opportunity:primary:join_reorder:3|rewrite_opportunity:primary:subquery_decorrelation:3,5,4,NA_not_applicable,NA_not_applicable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
PERF,plan_operator,16,16,10,plan_operator:present:aggregate:16|plan_operator:present:scan:16|plan_operator:present:join:14|plan_operator:present:sort:12|plan_operator:present:limit:8,0,0,NA_not_applicable,NA_not_applicable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
PERF,workload_realism,16,16,4,workload_realism:source_inherited:classic_analytical_baseline:16|workload_realism:source_inherited:real_data_correlation:2|workload_realism:case_specific:complex_expression_density:1|workload_realism:case_specific:long_tail_structure:1,0,0,NA_not_applicable,NA_not_applicable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
PERF,portability,16,9,3,portability:suspected:datetime_semantics_gap:6|portability:suspected:type_semantics_gap:3|portability:confirmed:limit_fetch_gap:2,0,0,1,2,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
CONS,sql_feature,9,8,5,sql_feature:primary:correlated_subquery:7|sql_feature:primary:outer_join:3|sql_feature:primary:set_operation:1|sql_feature:primary:subquery_in_from:1|sql_feature:secondary:subquery_in_from:1,4,1,NA_not_applicable,NA_not_applicable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
CONS,rewrite_opportunity,9,9,7,rewrite_opportunity:primary:subquery_decorrelation:6|rewrite_opportunity:primary:aggregation_rewrite:2|rewrite_opportunity:secondary:aggregation_rewrite:2|rewrite_opportunity:primary:order_limit_simplification:1|rewrite_opportunity:secondary:materialization_strategy:1,3,4,NA_not_applicable,NA_not_applicable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
CONS,plan_operator,9,9,8,plan_operator:present:scan:9|plan_operator:present:join:8|plan_operator:present:aggregate:7|plan_operator:present:subquery:7|plan_operator:present:materialize:2,0,0,NA_not_applicable,NA_not_applicable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
CONS,workload_realism,9,1,1,workload_realism:case_specific:long_tail_structure:1,0,0,NA_not_applicable,NA_not_applicable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
CONS,portability,9,4,3,portability:confirmed:null_semantics_gap:2|portability:confirmed:limit_fetch_gap:1|portability:suspected:null_semantics_gap:1,0,0,2,1,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
PORT,sql_feature,9,7,3,sql_feature:primary:date_time_function:5|sql_feature:primary:expression_complexity:4|sql_feature:secondary:expression_complexity:1,2,1,NA_not_applicable,NA_not_applicable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
PORT,rewrite_opportunity,9,9,4,rewrite_opportunity:primary:dialect_adaptation:9|rewrite_opportunity:secondary:function_normalization:5|rewrite_opportunity:secondary:expression_simplification:4|rewrite_opportunity:secondary:order_limit_simplification:3,1,3,NA_not_applicable,NA_not_applicable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
PORT,plan_operator,9,9,6,plan_operator:present:scan:9|plan_operator:present:filter:7|plan_operator:present:aggregate:5|plan_operator:present:join:4|plan_operator:present:limit:3,0,0,NA_not_applicable,NA_not_applicable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
PORT,workload_realism,9,9,3,workload_realism:source_inherited:realistic_query_style:9|workload_realism:case_specific:complex_expression_density:4|workload_realism:case_specific:result_size_sensitivity:3,0,0,NA_not_applicable,NA_not_applicable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
PORT,portability,9,9,7,portability:confirmed:identifier_quoting:9|portability:confirmed:type_semantics_gap:6|portability:confirmed:datetime_semantics_gap:5|portability:confirmed:limit_fetch_gap:3|portability:confirmed:boolean_semantics_gap:2,0,0,6,1,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
LONGTAIL,sql_feature,6,6,6,sql_feature:primary:cte:5|sql_feature:primary:window_function:3|sql_feature:secondary:expression_complexity:3|sql_feature:primary:outer_join:2|sql_feature:secondary:outer_join:2,4,2,NA_not_applicable,NA_not_applicable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
LONGTAIL,rewrite_opportunity,6,6,5,rewrite_opportunity:secondary:aggregation_rewrite:5|rewrite_opportunity:primary:cte_strategy:4|rewrite_opportunity:primary:expression_simplification:1|rewrite_opportunity:primary:materialization_strategy:1|rewrite_opportunity:secondary:cte_strategy:1,3,2,NA_not_applicable,NA_not_applicable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
LONGTAIL,plan_operator,6,6,8,plan_operator:present:aggregate:6|plan_operator:present:join:6|plan_operator:present:scan:6|plan_operator:present:sort:6|plan_operator:present:subquery:6,0,0,NA_not_applicable,NA_not_applicable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
LONGTAIL,workload_realism,6,6,6,workload_realism:source_inherited:realistic_query_style:6|workload_realism:case_specific:long_tail_structure:4|workload_realism:source_inherited:manual_gap_fill_realism:3|workload_realism:case_specific:complex_expression_density:2|workload_realism:case_specific:high_join_count:1,0,0,NA_not_applicable,NA_not_applicable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
LONGTAIL,portability,6,2,2,portability:suspected:datetime_semantics_gap:1|portability:suspected:null_semantics_gap:1,0,0,0,2,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,Pool-local coverage surface only; not workload-frequency sampling.
