case_id,pool,engine,generation_status,is_noop,generated_sql_exists,successful_output_sql_only,blocker_stage,blocker_message,blocker_reason,generated_sql_path,stdout_log_path,stderr_log_path,triage_note
PERF_0006,performance,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0006/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0006_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0006_pg.stderr.log,success_sql_present
PERF_0007,performance,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0007/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0007_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0007_pg.stderr.log,success_sql_present
PERF_0008,performance,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0008/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0008_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0008_pg.stderr.log,success_sql_present
PERF_0013,performance,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0013/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0013_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0013_pg.stderr.log,success_sql_present
PERF_0017,performance,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0017/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0017_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0017_pg.stderr.log,success_sql_present
PERF_0019,performance,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0019/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0019_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0019_pg.stderr.log,success_sql_present
PERF_0024,performance,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0024/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0024_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0024_pg.stderr.log,success_sql_present
PERF_0033,performance,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0033/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0033_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0033_pg.stderr.log,success_sql_present
PERF_0034,performance,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0034/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0034_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0034_pg.stderr.log,success_sql_present
PERF_0035,performance,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0035/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0035_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0035_pg.stderr.log,success_sql_present
PERF_0052,performance,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0052/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0052_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0052_pg.stderr.log,success_sql_present
PERF_0054,performance,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0054/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0054_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0054_pg.stderr.log,success_sql_present
PERF_0056,performance,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0056/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0056_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0056_pg.stderr.log,success_sql_present
PERF_0062,performance,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0062/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0062_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0062_pg.stderr.log,success_sql_present
PERF_0077,performance,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0077/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0077_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0077_pg.stderr.log,success_sql_present
PERF_0082,performance,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0082/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0082_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/PERF_0082_pg.stderr.log,success_sql_present
CONS_0005,consistency,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0005/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0005_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0005_pg.stderr.log,success_sql_present
CONS_0007,consistency,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0007/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0007_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0007_pg.stderr.log,success_sql_present
CONS_0009,consistency,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0009/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0009_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0009_pg.stderr.log,success_sql_present
CONS_0010,consistency,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0010/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0010_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0010_pg.stderr.log,success_sql_present
CONS_0011,consistency,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0011/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0011_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0011_pg.stderr.log,success_sql_present
CONS_0012,consistency,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0012/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0012_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0012_pg.stderr.log,success_sql_present
CONS_0024,consistency,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0024/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0024_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0024_pg.stderr.log,success_sql_present
CONS_0036,consistency,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0036/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0036_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0036_pg.stderr.log,success_sql_present
CONS_0037,consistency,pg,generation_success,no,yes,yes,,,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0037/pg/calcite_hep_pg_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0037_pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/logs/CONS_0037_pg.stderr.log,success_sql_present
