case_id,pool,engine,route_id,source_sql_path,schema_path,prompt_path,raw_response_path,generated_sql_path,denominator_id,method_id,temperature,top_p,max_tokens
CONS_0005,consistency,mysql,direct_llm_same_engine_rewrite,cases/CONS/CONS_0005/source.sql,cases/CONS/CONS_0005/schema/ddl_mysql.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/prompts/CONS_0005/mysql/prompt.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/raw_responses/CONS_0005/mysql/response.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0005/mysql/direct_llm_same_engine_rewrite.sql,common_core_v0_40,direct_llm,0,1,2048
CONS_0005,consistency,pg,direct_llm_same_engine_rewrite,cases/CONS/CONS_0005/source.sql,cases/CONS/CONS_0005/schema/ddl_pg.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/prompts/CONS_0005/pg/prompt.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/raw_responses/CONS_0005/pg/response.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0005/pg/direct_llm_same_engine_rewrite.sql,common_core_v0_40,direct_llm,0,1,2048
CONS_0005,consistency,spark,direct_llm_same_engine_rewrite,cases/CONS/CONS_0005/source.sql,cases/CONS/CONS_0005/schema/ddl_spark.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/prompts/CONS_0005/spark/prompt.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/raw_responses/CONS_0005/spark/response.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0005/spark/direct_llm_same_engine_rewrite.sql,common_core_v0_40,direct_llm,0,1,2048
CONS_0007,consistency,mysql,direct_llm_same_engine_rewrite,cases/CONS/CONS_0007/source.sql,cases/CONS/CONS_0007/schema/ddl_mysql.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/prompts/CONS_0007/mysql/prompt.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/raw_responses/CONS_0007/mysql/response.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0007/mysql/direct_llm_same_engine_rewrite.sql,common_core_v0_40,direct_llm,0,1,2048
CONS_0007,consistency,pg,direct_llm_same_engine_rewrite,cases/CONS/CONS_0007/source.sql,cases/CONS/CONS_0007/schema/ddl_pg.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/prompts/CONS_0007/pg/prompt.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/raw_responses/CONS_0007/pg/response.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0007/pg/direct_llm_same_engine_rewrite.sql,common_core_v0_40,direct_llm,0,1,2048
CONS_0007,consistency,spark,direct_llm_same_engine_rewrite,cases/CONS/CONS_0007/source.sql,cases/CONS/CONS_0007/schema/ddl_spark.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/prompts/CONS_0007/spark/prompt.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/raw_responses/CONS_0007/spark/response.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0007/spark/direct_llm_same_engine_rewrite.sql,common_core_v0_40,direct_llm,0,1,2048
CONS_0009,consistency,mysql,direct_llm_same_engine_rewrite,cases/CONS/CONS_0009/source.sql,cases/CONS/CONS_0009/schema/ddl_mysql.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/prompts/CONS_0009/mysql/prompt.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/raw_responses/CONS_0009/mysql/response.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0009/mysql/direct_llm_same_engine_rewrite.sql,common_core_v0_40,direct_llm,0,1,2048
CONS_0009,consistency,pg,direct_llm_same_engine_rewrite,cases/CONS/CONS_0009/source.sql,cases/CONS/CONS_0009/schema/ddl_pg.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/prompts/CONS_0009/pg/prompt.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/raw_responses/CONS_0009/pg/response.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0009/pg/direct_llm_same_engine_rewrite.sql,common_core_v0_40,direct_llm,0,1,2048
CONS_0009,consistency,spark,direct_llm_same_engine_rewrite,cases/CONS/CONS_0009/source.sql,cases/CONS/CONS_0009/schema/ddl_spark.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/prompts/CONS_0009/spark/prompt.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/raw_responses/CONS_0009/spark/response.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0009/spark/direct_llm_same_engine_rewrite.sql,common_core_v0_40,direct_llm,0,1,2048
CONS_0010,consistency,mysql,direct_llm_same_engine_rewrite,cases/CONS/CONS_0010/source.sql,cases/CONS/CONS_0010/schema/ddl_mysql.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/prompts/CONS_0010/mysql/prompt.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/raw_responses/CONS_0010/mysql/response.txt,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0010/mysql/direct_llm_same_engine_rewrite.sql,common_core_v0_40,direct_llm,0,1,2048
