row_type,case_id,pool,source_family,engine,route_id,status,is_noop_output,failure_bucket,failure_message,preflight_status,known_caveat
failed,PERF_0008,performance,TPC-H,pg,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'l_orderkey' could not be resolved. Line: 12, Col: 11",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0008,performance,TPC-H,mysql,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'l_orderkey' could not be resolved. Line: 12, Col: 11",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0008,performance,TPC-H,spark,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'l_orderkey' could not be resolved. Line: 12, Col: 11",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0013,performance,TPC-H,pg,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'n_name' could not be resolved. Line: 12, Col: 7",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0013,performance,TPC-H,mysql,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'n_name' could not be resolved. Line: 12, Col: 7",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0013,performance,TPC-H,spark,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'n_name' could not be resolved. Line: 12, Col: 7",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0017,performance,TPC-H,pg,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'c_custkey' could not be resolved. Line: 12, Col: 13",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0017,performance,TPC-H,mysql,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'c_custkey' could not be resolved. Line: 12, Col: 13",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0017,performance,TPC-H,spark,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'c_custkey' could not be resolved. Line: 12, Col: 13",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0019,performance,TPC-H,pg,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'c_custkey' could not be resolved. Line: 17, Col: 21",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0019,performance,TPC-H,mysql,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'c_custkey' could not be resolved. Line: 17, Col: 21",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0019,performance,TPC-H,spark,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'c_custkey' could not be resolved. Line: 17, Col: 21",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0024,performance,TPC-H,pg,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 's_name' could not be resolved. Line: 6, Col: 10",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0024,performance,TPC-H,mysql,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 's_name' could not be resolved. Line: 6, Col: 10",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0024,performance,TPC-H,spark,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 's_name' could not be resolved. Line: 6, Col: 10",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0052,performance,TPC-DS,pg,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'sr_customer_sk' could not be resolved. Line: 8, Col: 22",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0052,performance,TPC-DS,mysql,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'sr_customer_sk' could not be resolved. Line: 8, Col: 22",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0052,performance,TPC-DS,spark,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'sr_customer_sk' could not be resolved. Line: 8, Col: 22",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0054,performance,TPC-DS,pg,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'ss_ext_sales_price' could not be resolved. Line: 10, Col: 26",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0054,performance,TPC-DS,mysql,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'ss_ext_sales_price' could not be resolved. Line: 10, Col: 26",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0054,performance,TPC-DS,spark,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'ss_ext_sales_price' could not be resolved. Line: 10, Col: 26",ready_for_same_engine_sqlglot_preflight,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
failed,PERF_0062,performance,TPC-DS,pg,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'ss_quantity' could not be resolved. Line: 5, Col: 22",ready_for_same_engine_sqlglot_preflight,replacement for PERF_0002 in common_core_v0 slate; keep not yet admitted pending final freeze
failed,PERF_0062,performance,TPC-DS,mysql,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'ss_quantity' could not be resolved. Line: 5, Col: 22",ready_for_same_engine_sqlglot_preflight,replacement for PERF_0002 in common_core_v0 slate; keep not yet admitted pending final freeze
failed,PERF_0062,performance,TPC-DS,spark,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'ss_quantity' could not be resolved. Line: 5, Col: 22",ready_for_same_engine_sqlglot_preflight,replacement for PERF_0002 in common_core_v0 slate; keep not yet admitted pending final freeze
failed,CONS_0024,consistency,Calcite,pg,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'empno' could not be resolved. Line: 1, Col: 12",ready_for_same_engine_sqlglot_preflight,replacement for CONS_0001; human-reviewed consistency candidate; keep not yet admitted until final freeze
failed,CONS_0024,consistency,Calcite,mysql,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'empno' could not be resolved. Line: 1, Col: 12",ready_for_same_engine_sqlglot_preflight,replacement for CONS_0001; human-reviewed consistency candidate; keep not yet admitted until final freeze
failed,CONS_0024,consistency,Calcite,spark,sqlglot_optimize_same_dialect,generation_failed,,parse_or_generation_error,"OptimizeError: Column 'empno' could not be resolved. Line: 1, Col: 12",ready_for_same_engine_sqlglot_preflight,replacement for CONS_0001; human-reviewed consistency candidate; keep not yet admitted until final freeze
