candidate_id,case_id,method_id,route_id,schema_name,statement_timeout,setup_sql,source_explain_sql,rewrite_explain_sql
direct_llm__direct_llm_same_engine_rewrite__CONS_0005__pg,CONS_0005,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_cons_0005_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0005__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0005__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0005__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__CONS_0007__pg,CONS_0007,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_cons_0007_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0007__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0007__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0007__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__CONS_0009__pg,CONS_0009,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_cons_0009_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0009__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0009__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0009__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__CONS_0010__pg,CONS_0010,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_cons_0010_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0010__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0010__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0010__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__CONS_0011__pg,CONS_0011,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_cons_0011_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0011__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0011__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0011__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg,CONS_0012,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_cons_0012_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__CONS_0036__pg,CONS_0036,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_cons_0036_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0036__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0036__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0036__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__CONS_0037__pg,CONS_0037,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_cons_0037_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0037__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0037__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0037__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0011__pg,LONGTAIL_0011,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_longtail_0,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0011__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0011__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0011__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0012__pg,LONGTAIL_0012,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_longtail_0,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0012__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0012__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0012__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0013__pg,LONGTAIL_0013,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_longtail_0,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0013__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0013__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0013__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0022__pg,LONGTAIL_0022,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_longtail_0,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0022__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0022__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0022__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0024__pg,LONGTAIL_0024,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_longtail_0,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0024__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0024__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0024__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0006__pg,PERF_0006,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_perf_0006_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0006__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0006__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0006__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg,PERF_0007,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_perf_0007_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0008__pg,PERF_0008,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_perf_0008_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0008__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0008__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0008__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0013__pg,PERF_0013,direct_llm,direct_llm_same_engine_rewrite,attr113_direct_llm_direct_llm_same_engine_rewrite_perf_0013_,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0013__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0013__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0013__pg/rewrite_explain.sql
