case_id,pool,engine,route_id,timing_status,warmup_count,repeat_count,median_source_ms,median_generated_ms,speedup_ratio,source_runtime_ms,generated_runtime_ms,suspicion_flag,triage_note
PERF_0006,performance,pg,calcite_hep_pg_rewrite,timing_success,1,3,468.29846093896776,366.60631105769426,1.2773878867166306,"[560.5275710113347, 368.0439400486648, 468.29846093896776]","[487.0030110469088, 366.60631105769426, 365.99564005155116]",none,complete timing row
PERF_0007,performance,pg,calcite_hep_pg_rewrite,timing_success,1,3,468.5443659545854,367.05667001660913,1.2764905373695674,"[466.6856450494379, 468.5443659545854, 634.9543150281534]","[474.6636669151485, 366.725062020123, 367.05667001660913]",none,complete timing row
PERF_0008,performance,pg,calcite_hep_pg_rewrite,timing_success,1,3,368.2810220634565,480.2048879209906,0.7669247675880607,"[371.24158698134124, 368.2810220634565, 367.46605299413204]","[480.2048879209906, 371.4614830678329, 579.8434379976243]",slowdown_and_generated_variance_watch,slowest row and generated repeat spread > 200ms
PERF_0013,performance,pg,calcite_hep_pg_rewrite,timing_success,1,3,592.4217759165913,378.0108279315755,1.5672084822496852,"[735.7846408849582, 483.7494289968163, 592.4217759165913]","[485.3806559694931, 378.0108279315755, 377.42145301308483]",high_speedup_and_source_variance_watch,top-end speedup and source repeat spread > 200ms
PERF_0017,performance,pg,calcite_hep_pg_rewrite,timing_success,1,3,477.43754903785884,586.5773679688573,0.8139378965320174,"[593.944258056581, 375.2197950379923, 477.43754903785884]","[374.5891209691763, 776.5132000204176, 586.5773679688573]",variance_watch,wide spread in both source and generated repeats
PERF_0019,performance,pg,calcite_hep_pg_rewrite,timing_success,1,3,473.9783980185166,474.82666396535933,0.9982135250372026,"[473.9783980185166, 701.1466219555587, 398.3285609865561]","[371.2025140412152, 474.82666396535933, 581.1318618943915]",variance_watch,near-parity row with wide repeat spread
PERF_0024,performance,pg,calcite_hep_pg_rewrite,timing_success,1,3,479.46265200152993,373.4257840551436,1.2839570069182151,"[479.46265200152993, 473.6262490041554, 482.5789079768583]","[371.74630491063, 375.08273299317807, 373.4257840551436]",none,complete timing row
PERF_0033,performance,pg,calcite_hep_pg_rewrite,timing_success,1,3,373.0865749530494,374.95895801112056,0.9950050254957997,"[370.1723809354007, 676.606111926958, 373.0865749530494]","[372.6538809714839, 374.95895801112056, 477.65200096182525]",variance_watch,near-parity row with source spread > 300ms
PERF_0034,performance,pg,calcite_hep_pg_rewrite,timing_success,1,3,472.6868870202452,592.0528700808063,0.7983784202556978,"[472.6868870202452, 687.6312579261139, 478.06228091940284]","[605.0535090034828, 592.0528700808063, 581.1527469195426]",slowdown_watch,slowdown row just below 0.8
PERF_0052,performance,pg,calcite_hep_pg_rewrite,timing_success,1,3,368.58083808328956,464.3484940752387,0.7937450984844562,"[476.9571180222556, 365.1765180984512, 368.58083808328956]","[464.3484940752387, 576.6260189702734, 472.83389908261597]",slowdown_watch,slowdown row below 0.8
