method_id,case_id,pool,engine,source_sql_path,schema_path,existing_candidate_sql_path,adapter_available,generation_or_rewrite_available,execution_evidence_available,checker_evidence_available,timing_evidence_available,non_noop_status,current_denominator,proposed_denominator,feasibility_status,blocker_reason,required_next_action,claim_boundary
calcite_hep,PERF_0006,performance,pg,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_pg.sql,,yes_pg_only,yes_historical_pg_only,yes,yes,yes,nontrivial_rewrite_candidate,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,feasible_pg_overlap_subset_only,not_full_common_core_v0_40; no MySQL/Spark path; no non-PERF evidence,materialize common_core_v0_40_perf_pg9_overlap package; then decide whether to extend to remaining PERF PG cases,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0006,performance,mysql,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_mysql.sql,,no,no,no,no,no,not_run,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,unsupported_engine_no_mysql_or_spark_path,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",treat as unsupported unless a new engine adapter program is explicitly approved,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0006,performance,spark,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_spark.sql,,no,no,no,no,no,not_run,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,unsupported_engine_no_mysql_or_spark_path,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",treat as unsupported unless a new engine adapter program is explicitly approved,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0007,performance,pg,cases/PERF/PERF_0007/source.sql,cases/PERF/PERF_0007/schema/ddl_pg.sql,,yes_pg_only,no_current_case_artifact,no,no,no,not_run,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,outside_historic_subset_extension_required,case is in common_core_v0_40 PERF but outside the historical prior_method_pg10 subset,use Calcite HEP as first-wave extension method for remaining PERF PG cases after overlap materialization,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0007,performance,mysql,cases/PERF/PERF_0007/source.sql,cases/PERF/PERF_0007/schema/ddl_mysql.sql,,no,no,no,no,no,not_run,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,unsupported_engine_no_mysql_or_spark_path,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",treat as unsupported unless a new engine adapter program is explicitly approved,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0007,performance,spark,cases/PERF/PERF_0007/source.sql,cases/PERF/PERF_0007/schema/ddl_spark.sql,,no,no,no,no,no,not_run,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,unsupported_engine_no_mysql_or_spark_path,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",treat as unsupported unless a new engine adapter program is explicitly approved,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0008,performance,pg,cases/PERF/PERF_0008/source.sql,cases/PERF/PERF_0008/schema/ddl_pg.sql,,yes_pg_only,yes_historical_pg_only,yes,yes,yes,nontrivial_rewrite_candidate,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,feasible_pg_overlap_subset_only,not_full_common_core_v0_40; no MySQL/Spark path; no non-PERF evidence,materialize common_core_v0_40_perf_pg9_overlap package; then decide whether to extend to remaining PERF PG cases,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0008,performance,mysql,cases/PERF/PERF_0008/source.sql,cases/PERF/PERF_0008/schema/ddl_mysql.sql,,no,no,no,no,no,not_run,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,unsupported_engine_no_mysql_or_spark_path,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",treat as unsupported unless a new engine adapter program is explicitly approved,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0008,performance,spark,cases/PERF/PERF_0008/source.sql,cases/PERF/PERF_0008/schema/ddl_spark.sql,,no,no,no,no,no,not_run,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,unsupported_engine_no_mysql_or_spark_path,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",treat as unsupported unless a new engine adapter program is explicitly approved,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0013,performance,pg,cases/PERF/PERF_0013/source.sql,cases/PERF/PERF_0013/schema/ddl_pg.sql,,yes_pg_only,yes_historical_pg_only,yes,yes,yes,nontrivial_rewrite_candidate,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,feasible_pg_overlap_subset_only,not_full_common_core_v0_40; no MySQL/Spark path; no non-PERF evidence,materialize common_core_v0_40_perf_pg9_overlap package; then decide whether to extend to remaining PERF PG cases,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0013,performance,mysql,cases/PERF/PERF_0013/source.sql,cases/PERF/PERF_0013/schema/ddl_mysql.sql,,no,no,no,no,no,not_run,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,unsupported_engine_no_mysql_or_spark_path,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",treat as unsupported unless a new engine adapter program is explicitly approved,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0013,performance,spark,cases/PERF/PERF_0013/source.sql,cases/PERF/PERF_0013/schema/ddl_spark.sql,,no,no,no,no,no,not_run,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,unsupported_engine_no_mysql_or_spark_path,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",treat as unsupported unless a new engine adapter program is explicitly approved,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0017,performance,pg,cases/PERF/PERF_0017/source.sql,cases/PERF/PERF_0017/schema/ddl_pg.sql,,yes_pg_only,yes_historical_pg_only,yes,yes,yes,nontrivial_rewrite_candidate,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,feasible_pg_overlap_subset_only,not_full_common_core_v0_40; no MySQL/Spark path; no non-PERF evidence,materialize common_core_v0_40_perf_pg9_overlap package; then decide whether to extend to remaining PERF PG cases,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0017,performance,mysql,cases/PERF/PERF_0017/source.sql,cases/PERF/PERF_0017/schema/ddl_mysql.sql,,no,no,no,no,no,not_run,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,unsupported_engine_no_mysql_or_spark_path,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",treat as unsupported unless a new engine adapter program is explicitly approved,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0017,performance,spark,cases/PERF/PERF_0017/source.sql,cases/PERF/PERF_0017/schema/ddl_spark.sql,,no,no,no,no,no,not_run,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,unsupported_engine_no_mysql_or_spark_path,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",treat as unsupported unless a new engine adapter program is explicitly approved,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0019,performance,pg,cases/PERF/PERF_0019/source.sql,cases/PERF/PERF_0019/schema/ddl_pg.sql,,yes_pg_only,yes_historical_pg_only,yes,yes,yes,nontrivial_rewrite_candidate,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,feasible_pg_overlap_subset_only,not_full_common_core_v0_40; no MySQL/Spark path; no non-PERF evidence,materialize common_core_v0_40_perf_pg9_overlap package; then decide whether to extend to remaining PERF PG cases,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0019,performance,mysql,cases/PERF/PERF_0019/source.sql,cases/PERF/PERF_0019/schema/ddl_mysql.sql,,no,no,no,no,no,not_run,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,unsupported_engine_no_mysql_or_spark_path,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",treat as unsupported unless a new engine adapter program is explicitly approved,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
calcite_hep,PERF_0019,performance,spark,cases/PERF/PERF_0019/source.sql,cases/PERF/PERF_0019/schema/ddl_spark.sql,,no,no,no,no,no,not_run,prior_method_pg10,common_core_v0_40_perf_pg9_overlap,unsupported_engine_no_mysql_or_spark_path,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",treat as unsupported unless a new engine adapter program is explicitly approved,calcite_hep_pg_only_witness_scale_subset_only_not_leaderboard
