method_id,case_id,pool,engine,source_sql_path,schema_path,supported_by_method,old_script_available,old_result_available_but_not_reusable,runnable_now,blocker_reason,proposed_action,target_output_path,target_execution_status,target_timing_status,table_placement_recommendation
calcite_hep,PERF_0006,performance,pg,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_pg.sql,yes,yes_repo_local_templates,yes_historical_bounded_result,yes_first_wave,full_common_core_v0_40_not_supported; bounded pg overlap only,rerun_on_bounded_overlap_first,reports/evaluation/common_core_v0/runs/prior_methods_rerun/calcite_hep/PERF_0006/pg/run_event.json,planned_rerun_overlap,planned_rerun_overlap,bounded_baseline_table
calcite_hep,PERF_0006,performance,mysql,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_mysql.sql,no,yes_repo_local_templates,no_historical_result,no,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",report_unsupported_do_not_attempt,reports/evaluation/common_core_v0/runs/prior_methods_rerun/calcite_hep/PERF_0006/mysql/run_event.json,not_attempted_unsupported,not_attempted_unsupported,appendix_only
calcite_hep,PERF_0006,performance,spark,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_spark.sql,no,yes_repo_local_templates,no_historical_result,no,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",report_unsupported_do_not_attempt,reports/evaluation/common_core_v0/runs/prior_methods_rerun/calcite_hep/PERF_0006/spark/run_event.json,not_attempted_unsupported,not_attempted_unsupported,appendix_only
calcite_hep,PERF_0007,performance,pg,cases/PERF/PERF_0007/source.sql,cases/PERF/PERF_0007/schema/ddl_pg.sql,yes,yes_repo_local_templates,no_historical_result,yes_after_overlap_for_calcite,case is in common_core_v0_40 PERF but outside the historical prior_method_pg10 subset,extend_after_first_wave_overlap,reports/evaluation/common_core_v0/runs/prior_methods_rerun/calcite_hep/PERF_0007/pg/run_event.json,defer_until_overlap_policy_decision,defer_until_overlap_policy_decision,bounded_baseline_table
calcite_hep,PERF_0007,performance,mysql,cases/PERF/PERF_0007/source.sql,cases/PERF/PERF_0007/schema/ddl_mysql.sql,no,yes_repo_local_templates,no_historical_result,no,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",report_unsupported_do_not_attempt,reports/evaluation/common_core_v0/runs/prior_methods_rerun/calcite_hep/PERF_0007/mysql/run_event.json,not_attempted_unsupported,not_attempted_unsupported,appendix_only
calcite_hep,PERF_0007,performance,spark,cases/PERF/PERF_0007/source.sql,cases/PERF/PERF_0007/schema/ddl_spark.sql,no,yes_repo_local_templates,no_historical_result,no,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",report_unsupported_do_not_attempt,reports/evaluation/common_core_v0/runs/prior_methods_rerun/calcite_hep/PERF_0007/spark/run_event.json,not_attempted_unsupported,not_attempted_unsupported,appendix_only
calcite_hep,PERF_0008,performance,pg,cases/PERF/PERF_0008/source.sql,cases/PERF/PERF_0008/schema/ddl_pg.sql,yes,yes_repo_local_templates,yes_historical_bounded_result,yes_first_wave,full_common_core_v0_40_not_supported; bounded pg overlap only,rerun_on_bounded_overlap_first,reports/evaluation/common_core_v0/runs/prior_methods_rerun/calcite_hep/PERF_0008/pg/run_event.json,planned_rerun_overlap,planned_rerun_overlap,bounded_baseline_table
calcite_hep,PERF_0008,performance,mysql,cases/PERF/PERF_0008/source.sql,cases/PERF/PERF_0008/schema/ddl_mysql.sql,no,yes_repo_local_templates,no_historical_result,no,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",report_unsupported_do_not_attempt,reports/evaluation/common_core_v0/runs/prior_methods_rerun/calcite_hep/PERF_0008/mysql/run_event.json,not_attempted_unsupported,not_attempted_unsupported,appendix_only
calcite_hep,PERF_0008,performance,spark,cases/PERF/PERF_0008/source.sql,cases/PERF/PERF_0008/schema/ddl_spark.sql,no,yes_repo_local_templates,no_historical_result,no,"historical prior-method evidence is PG-only; no MySQL or Spark adapter, checker, or timing evidence exists",report_unsupported_do_not_attempt,reports/evaluation/common_core_v0/runs/prior_methods_rerun/calcite_hep/PERF_0008/spark/run_event.json,not_attempted_unsupported,not_attempted_unsupported,appendix_only
calcite_hep,PERF_0013,performance,pg,cases/PERF/PERF_0013/source.sql,cases/PERF/PERF_0013/schema/ddl_pg.sql,yes,yes_repo_local_templates,yes_historical_bounded_result,yes_first_wave,full_common_core_v0_40_not_supported; bounded pg overlap only,rerun_on_bounded_overlap_first,reports/evaluation/common_core_v0/runs/prior_methods_rerun/calcite_hep/PERF_0013/pg/run_event.json,planned_rerun_overlap,planned_rerun_overlap,bounded_baseline_table
