table_id,method_id,route_id,column_name,rendered_value,canonical_full_value,immediate_source_artifact,immediate_source_column_or_field,secondary_validation_artifact,upstream_artifacts,deepest_retained_source,generation_script_or_runner,generation_command,formula_or_extraction_logic,trace_status,generator_status,recompute_status,claim_boundary,notes
Table 12,direct_llm,direct_llm_same_engine_rewrite,method / route,Direct LLM original,Direct LLM original,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,method_id/route_id/evidence_role/claim_boundary,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/run_manual_direct_llm_execution.sh|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/run_manual_direct_llm_timing.sh,not executed; retained path/command only,retained row label/route_id; no metric formula,traceable_to_artifact_chain,local_aggregation_script_not_retained,not_recomputed,Original Direct LLM baseline only; denominator-aware same-engine evidence; not a winner claim and not a ranking table.,
Table 12,direct_llm,direct_llm_same_engine_rewrite,scope,tri-engine same-engine,tri-engine same-engine,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,method_id/route_id/evidence_role/claim_boundary,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/run_manual_direct_llm_execution.sh|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/run_manual_direct_llm_timing.sh,not executed; retained path/command only,retained engine_scope/track plus draft Table 12 scope label,traceable_to_artifact_chain,local_aggregation_script_not_retained,not_recomputed,Original Direct LLM baseline only; denominator-aware same-engine evidence; not a winner claim and not a ranking table.,
Table 12,direct_llm,direct_llm_same_engine_rewrite,planned,120,120,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,planned_rows,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/run_manual_direct_llm_execution.sh|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/run_manual_direct_llm_timing.sh,not executed; retained path/command only,planned rows in route denominator,fully_traceable_to_runner_and_artifact,upstream_runner_retained,recomputed_exact,Original Direct LLM baseline only; denominator-aware same-engine evidence; not a winner claim and not a ranking table.,
Table 12,direct_llm,direct_llm_same_engine_rewrite,generated_or_ready,120 generated; 115 ready,120 generated; 115 ready,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,generated_rows/ready_rows,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/run_manual_direct_llm_execution.sh|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/run_manual_direct_llm_timing.sh,not executed; retained path/command only,route-specific generated/ready wording; Direct LLM repair keeps preflight-blocked separate from executed,fully_traceable_to_runner_and_artifact,upstream_runner_retained,recomputed_exact,Original Direct LLM baseline only; denominator-aware same-engine evidence; not a winner claim and not a ranking table.,
Table 12,direct_llm,direct_llm_same_engine_rewrite,executed,99,99,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,executed_rows,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/run_manual_direct_llm_execution.sh|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/run_manual_direct_llm_timing.sh,not executed; retained path/command only,successful execution returning a result; not ready_after_preflight; Direct LLM repair executed = exact + mismatch = 97 / 96 + 1,fully_traceable_to_runner_and_artifact,upstream_runner_retained,recomputed_exact,Original Direct LLM baseline only; denominator-aware same-engine evidence; not a winner claim and not a ranking table.,
Table 12,direct_llm,direct_llm_same_engine_rewrite,exact,94,94,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,exact_match_rows,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/run_manual_direct_llm_execution.sh|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/run_manual_direct_llm_timing.sh,not executed; retained path/command only,exact/checker-consistent rows,fully_traceable_to_runner_and_artifact,upstream_runner_retained,recomputed_exact,Original Direct LLM baseline only; denominator-aware same-engine evidence; not a winner claim and not a ranking table.,
Table 12,direct_llm,direct_llm_same_engine_rewrite,timed,94,94,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,timing_denominator,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/method_timing_case_level_v1.csv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/run_manual_direct_llm_execution.sh|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/run_manual_direct_llm_timing.sh,not executed; retained path/command only,timing_success rows on exact + timing-success subset,fully_traceable_to_runner_and_artifact,upstream_runner_retained,recomputed_exact,Original Direct LLM baseline only; denominator-aware same-engine evidence; not a winner claim and not a ranking table.,
Table 12,direct_llm,direct_llm_same_engine_rewrite,gm_speedup,1.0436,1.043634242319266,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,gm_speedup,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/method_timing_case_level_v1.csv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/run_manual_direct_llm_execution.sh|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/run_manual_direct_llm_timing.sh,not executed; retained path/command only,GM speedup = exp(mean(log(speedup_ratio))) where speedup_ratio = source_median_runtime / rewrite_median_runtime,fully_traceable_to_runner_and_artifact,upstream_runner_retained,recomputed_rounded,Original Direct LLM baseline only; denominator-aware same-engine evidence; not a winner claim and not a ranking table.,
Table 12,direct_llm,direct_llm_same_engine_rewrite,regression_rate_20pct,3.19%,0.03191489361702127,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,regression_rate_20pct,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/method_timing_case_level_v1.csv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/run_manual_direct_llm_execution.sh|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/run_manual_direct_llm_timing.sh,not executed; retained path/command only,Regression@20 = count(speedup_ratio < 0.8) / timing_denominator,fully_traceable_to_runner_and_artifact,upstream_runner_retained,recomputed_rounded,Original Direct LLM baseline only; denominator-aware same-engine evidence; not a winner claim and not a ranking table.,
Table 12,direct_llm,direct_llm_same_engine_rewrite,placement,main same-engine evidence,main same-engine evidence,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,evidence_role/claim_boundary/placement policy,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/run_manual_direct_llm_execution.sh|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/run_manual_direct_llm_timing.sh,not executed; retained path/command only,paper placement/claim-boundary label from Table 11/table3/candidate_failure/draft target,traceable_to_static_policy,static_policy_no_generator_needed,not_recomputed,Original Direct LLM baseline only; denominator-aware same-engine evidence; not a winner claim and not a ranking table.,
