artifact_path,artifact_role,dedicated_generator_found,generator_script_path,generator_command,upstream_runner_found,upstream_runner_path,input_artifacts,output_artifacts,git_history_evidence,status,notes
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,main method evidence ledger immediate source,no,not_found,not_found,yes,route result cards; timing runners; candidate accounting artifacts,route result cards|table6|candidate_failure_accounting|source event artifacts,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,git log path shows commit bdf949c; -S search shows references but no generator script,artifact_only_no_generator_retained,Dedicated Table 3 generator not found; row assembly appears local/manual artifact aggregation.
reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,candidate failure accounting immediate/validation source,no,not_found,not_found,yes,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table7_failure_accounting_matrix_v3.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/method_candidate_rejection_accounting_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv|candidate_failure_accounting_v1.md,no path history; Round 15A inventory says no dedicated regeneration command retained,artifact_only_no_generator_retained,Important aggregation table; values statically recomputed in Round 16 but generator script is not retained.,
reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,speedup slice summary immediate source,no,not_found,not_found,yes,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv|method_timing_case_level_v1.csv|timing_event_long packets,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv|speedup_slice_summary_v1.md,no path history; -S search finds references and upstream timing runners only,upstream_runner_only,Local speedup slice summary generator not retained; upstream timing runners are retained for main rows.,
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv,paper-facing timing source,no,not_found,not_found,yes,timing_summary.csv and timing_event_long packets per route,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv,"committed artifact; generator not found for unified Table 6, upstream timing runners retained",upstream_runner_only,Unified table appears artifact aggregation from timing summaries.,
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/method_candidate_rejection_accounting_v1.csv,method candidate rejection accounting source,no,not_found,not_found,yes,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/case_level_failure_export_v1.csv|route result cards|reconciliation artifacts,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/method_candidate_rejection_accounting_v1.csv,no dedicated generator found by rg/git search,artifact_only_no_generator_retained,Supports non-exact frontier; not hard-negative rejection.,
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table7_failure_accounting_matrix_v3.csv,failure accounting matrix source,no,not_found,not_found,yes,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/case_level_failure_export_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/method_candidate_rejection_accounting_v1.csv|route cards,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table7_failure_accounting_matrix_v3.csv,no dedicated generator found by rg/git search,artifact_only_no_generator_retained,Failure bucket matrix retained as artifact.,
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/case_level_failure_export_v1.csv,case-level failure export source,no,not_found,not_found,yes,common_core_v0_run_event_long_v1.csv|route run events,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/case_level_failure_export_v1.csv,no dedicated generator found by rg/git search,artifact_only_no_generator_retained,Deep source for several failure buckets.,
reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv,Direct LLM route result card,no,not_found,not_found,yes,direct_llm generation/execution/timing runs,direct_llm_same_engine_result_card_v1.csv,Round 15A inventory lists execution runner output,upstream_runner_only,Execution shell runner retained; local card generation details partly artifact-only.,
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/direct_llm_execute_repair_1shot_result_card_v1.csv,Direct LLM repair result card,yes,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/run_direct_llm_execute_repair_1shot.py,python run_direct_llm_execute_repair_1shot.py (not executed here),yes,candidate_set; prompt_input_manifest; original timing/execution artifacts,repair result card; final_timing_summary.csv,rg found result card writes and summarize_speedups in retained runner,generator_retained,Dedicated repair runner retained but not run.,
reports/evaluation/common_core_v0/sqlglot_optimize_same_dialect_result_card_v1.csv,SQLGlot optimize older route card,no,not_found,not_found,yes,SQLGlot generation/execution/timing artifacts,SQLGlot route card,search found card references but no generator,upstream_runner_only,Older card says exact65; paper-safe exact63 comes from backfill/table3/table6.,
reports/evaluation/common_core_v0/sqlglot_transpile_same_dialect_noop_result_card_v1.csv,SQLGlot no-op route card,no,not_found,not_found,yes,SQLGlot generation/execution/timing artifacts,SQLGlot no-op route card,search found card references but no generator,upstream_runner_only,No-op/source-like rows stay explicit.,
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/calcite_hep_93_exact_timing_result_card_v1.csv,Calcite HEP timing result card,yes,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/run_manual_calcite_hep_93_exact_timing.sh,bash run_manual_calcite_hep_93_exact_timing.sh (not executed here),yes,timing_command_matrix; exact93 route outputs; case artifacts,timing_summary.csv; timing_event_long.csv; result card,rg found result-card fields and formulas in retained timing script,generator_retained,Timing runner retained; DB timing not run.,
reports/evaluation/common_core_v0/r_bot_formal_result_card_v1.csv,R-Bot formal result card,no,not_found,not_found,yes,r_bot generation/execution/timing run_results; reconciliation CSV,r_bot_formal_result_card_v1.csv,search found card references and upstream R-Bot runners,upstream_runner_only,Mixed-scope; no unified full-120 row-level generator.,
reports/evaluation/common_core_v0/llm_r2_pg9_bounded_evidence_reconciliation_v1.csv,LLM-R2 original PG9 reconciliation,no,not_found,not_found,yes,LLM-R2 retained run directories; table7; MCRA,LLM-R2 PG9 reconciliation,search found CLI/run references but no dedicated reconciliation generator,artifact_only_no_generator_retained,PG9 bounded artifact only.,
reports/evaluation/common_core_v0/llm_r2_recovered_extraction_pg6_bounded_evidence_review_v1.csv,LLM-R2 recovered PG6 review,no,not_found,not_found,yes,LLM-R2 recovered extraction generation/checker runs,LLM-R2 recovered PG6 review,search found retained run directories but no dedicated review generator,artifact_only_no_generator_retained,PG6 exact subset within PG9 recovery audit.,
reports/evaluation/common_core_v0/prior_methods_pg10_bounded_appendix_v1.md,LearnedRewrite bounded appendix source,no,not_found,not_found,no,not_retained,prior_methods_pg10_bounded_appendix_v1.md,no executable generator found,artifact_only_no_generator_retained,Source-like/no-op heavy bounded appendix artifact.,
