row_key,case_id,pool,engine,method_id,route_id,source_rewrite_run_id,execution_denominator_id,source_sql_path,schema_path,witness_data_path,generated_sql_path,expected_workspace_dir,expected_source_tsv_path,expected_generated_tsv_path,expected_result_check_path,expected_source_stdout_log,expected_source_stderr_log,expected_generated_stdout_log,expected_generated_stderr_log,expected_row_metadata_path,execution_status_planned,consistency_status_planned,blocker_or_caveat
PERF_0006:mysql,PERF_0006,performance,mysql,calcite_hep,calcite_hep_same_engine_rewrite,calcite_hep_mysql_spark_rewrite_expansion_80_01,calcite_hep_mysql_spark_execution_expansion_60_only,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_mysql.sql,cases/PERF/PERF_0006/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/PERF_0006/mysql/calcite_hep_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0006/mysql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0006/mysql/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0006/mysql/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0006/mysql/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0006/mysql/source.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0006/mysql/source.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0006/mysql/generated.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0006/mysql/generated.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/metadata/PERF_0006/mysql/row_metadata.json,ready_to_execute,not_applicable,validity_only_rewrite_success_row_from_calcite_hep_mysql_spark_rewrite_expansion_80_01
PERF_0006:spark,PERF_0006,performance,spark,calcite_hep,calcite_hep_same_engine_rewrite,calcite_hep_mysql_spark_rewrite_expansion_80_01,calcite_hep_mysql_spark_execution_expansion_60_only,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_spark.sql,cases/PERF/PERF_0006/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/PERF_0006/spark/calcite_hep_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0006/spark,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0006/spark/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0006/spark/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0006/spark/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0006/spark/source.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0006/spark/source.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0006/spark/generated.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0006/spark/generated.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/metadata/PERF_0006/spark/row_metadata.json,ready_to_execute,not_applicable,validity_only_rewrite_success_row_from_calcite_hep_mysql_spark_rewrite_expansion_80_01
PERF_0007:mysql,PERF_0007,performance,mysql,calcite_hep,calcite_hep_same_engine_rewrite,calcite_hep_mysql_spark_rewrite_expansion_80_01,calcite_hep_mysql_spark_execution_expansion_60_only,cases/PERF/PERF_0007/source.sql,cases/PERF/PERF_0007/schema/ddl_mysql.sql,cases/PERF/PERF_0007/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/PERF_0007/mysql/calcite_hep_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0007/mysql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0007/mysql/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0007/mysql/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0007/mysql/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0007/mysql/source.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0007/mysql/source.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0007/mysql/generated.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0007/mysql/generated.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/metadata/PERF_0007/mysql/row_metadata.json,ready_to_execute,not_applicable,validity_only_rewrite_success_row_from_calcite_hep_mysql_spark_rewrite_expansion_80_01
PERF_0007:spark,PERF_0007,performance,spark,calcite_hep,calcite_hep_same_engine_rewrite,calcite_hep_mysql_spark_rewrite_expansion_80_01,calcite_hep_mysql_spark_execution_expansion_60_only,cases/PERF/PERF_0007/source.sql,cases/PERF/PERF_0007/schema/ddl_spark.sql,cases/PERF/PERF_0007/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/PERF_0007/spark/calcite_hep_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0007/spark,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0007/spark/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0007/spark/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0007/spark/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0007/spark/source.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0007/spark/source.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0007/spark/generated.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0007/spark/generated.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/metadata/PERF_0007/spark/row_metadata.json,ready_to_execute,not_applicable,validity_only_rewrite_success_row_from_calcite_hep_mysql_spark_rewrite_expansion_80_01
PERF_0008:spark,PERF_0008,performance,spark,calcite_hep,calcite_hep_same_engine_rewrite,calcite_hep_mysql_spark_rewrite_expansion_80_01,calcite_hep_mysql_spark_execution_expansion_60_only,cases/PERF/PERF_0008/source.sql,cases/PERF/PERF_0008/schema/ddl_spark.sql,cases/PERF/PERF_0008/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/PERF_0008/spark/calcite_hep_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0008/spark,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0008/spark/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0008/spark/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0008/spark/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0008/spark/source.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0008/spark/source.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0008/spark/generated.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0008/spark/generated.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/metadata/PERF_0008/spark/row_metadata.json,ready_to_execute,not_applicable,validity_only_rewrite_success_row_from_calcite_hep_mysql_spark_rewrite_expansion_80_01
PERF_0013:spark,PERF_0013,performance,spark,calcite_hep,calcite_hep_same_engine_rewrite,calcite_hep_mysql_spark_rewrite_expansion_80_01,calcite_hep_mysql_spark_execution_expansion_60_only,cases/PERF/PERF_0013/source.sql,cases/PERF/PERF_0013/schema/ddl_spark.sql,cases/PERF/PERF_0013/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/PERF_0013/spark/calcite_hep_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0013/spark,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0013/spark/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0013/spark/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0013/spark/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0013/spark/source.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0013/spark/source.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0013/spark/generated.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0013/spark/generated.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/metadata/PERF_0013/spark/row_metadata.json,ready_to_execute,not_applicable,validity_only_rewrite_success_row_from_calcite_hep_mysql_spark_rewrite_expansion_80_01
PERF_0017:spark,PERF_0017,performance,spark,calcite_hep,calcite_hep_same_engine_rewrite,calcite_hep_mysql_spark_rewrite_expansion_80_01,calcite_hep_mysql_spark_execution_expansion_60_only,cases/PERF/PERF_0017/source.sql,cases/PERF/PERF_0017/schema/ddl_spark.sql,cases/PERF/PERF_0017/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/PERF_0017/spark/calcite_hep_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0017/spark,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0017/spark/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0017/spark/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0017/spark/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0017/spark/source.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0017/spark/source.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0017/spark/generated.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0017/spark/generated.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/metadata/PERF_0017/spark/row_metadata.json,ready_to_execute,not_applicable,validity_only_rewrite_success_row_from_calcite_hep_mysql_spark_rewrite_expansion_80_01
PERF_0019:spark,PERF_0019,performance,spark,calcite_hep,calcite_hep_same_engine_rewrite,calcite_hep_mysql_spark_rewrite_expansion_80_01,calcite_hep_mysql_spark_execution_expansion_60_only,cases/PERF/PERF_0019/source.sql,cases/PERF/PERF_0019/schema/ddl_spark.sql,cases/PERF/PERF_0019/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/PERF_0019/spark/calcite_hep_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0019/spark,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0019/spark/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0019/spark/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0019/spark/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0019/spark/source.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0019/spark/source.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0019/spark/generated.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0019/spark/generated.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/metadata/PERF_0019/spark/row_metadata.json,ready_to_execute,not_applicable,validity_only_rewrite_success_row_from_calcite_hep_mysql_spark_rewrite_expansion_80_01
PERF_0024:mysql,PERF_0024,performance,mysql,calcite_hep,calcite_hep_same_engine_rewrite,calcite_hep_mysql_spark_rewrite_expansion_80_01,calcite_hep_mysql_spark_execution_expansion_60_only,cases/PERF/PERF_0024/source.sql,cases/PERF/PERF_0024/schema/ddl_mysql.sql,cases/PERF/PERF_0024/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/PERF_0024/mysql/calcite_hep_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0024/mysql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0024/mysql/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0024/mysql/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0024/mysql/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0024/mysql/source.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0024/mysql/source.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0024/mysql/generated.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0024/mysql/generated.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/metadata/PERF_0024/mysql/row_metadata.json,ready_to_execute,not_applicable,validity_only_rewrite_success_row_from_calcite_hep_mysql_spark_rewrite_expansion_80_01
PERF_0024:spark,PERF_0024,performance,spark,calcite_hep,calcite_hep_same_engine_rewrite,calcite_hep_mysql_spark_rewrite_expansion_80_01,calcite_hep_mysql_spark_execution_expansion_60_only,cases/PERF/PERF_0024/source.sql,cases/PERF/PERF_0024/schema/ddl_spark.sql,cases/PERF/PERF_0024/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/PERF_0024/spark/calcite_hep_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0024/spark,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0024/spark/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0024/spark/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0024/spark/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0024/spark/source.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0024/spark/source.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0024/spark/generated.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/logs/PERF_0024/spark/generated.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/metadata/PERF_0024/spark/row_metadata.json,ready_to_execute,not_applicable,validity_only_rewrite_success_row_from_calcite_hep_mysql_spark_rewrite_expansion_80_01
