row_key,case_id,pool,engine,execution_status,consistency_status,root_cause_category,evidence_note,source_tsv_exists,generated_tsv_exists,result_check_exists,claim_boundary
PERF_0006:mysql,PERF_0006,performance,mysql,executed,mismatch,aggregate_rewrite_precision_decimal_scale_loss,"source has 15.000000,150.000000,0.075000 while generated has 15,150,0; 0.075000 vs 0 is semantic mismatch",true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0006:spark,PERF_0006,performance,spark,executed,mismatch,aggregate_rewrite_precision_decimal_scale_loss,"source has 15.000000,150.000000,0.075000 while generated has 15,150,0; 0.075000 vs 0 is semantic mismatch",true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0007:mysql,PERF_0007,performance,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0007:spark,PERF_0007,performance,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0008:spark,PERF_0008,performance,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0013:spark,PERF_0013,performance,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0017:spark,PERF_0017,performance,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0019:spark,PERF_0019,performance,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0024:mysql,PERF_0024,performance,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0024:spark,PERF_0024,performance,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0033:mysql,PERF_0033,performance,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0033:spark,PERF_0033,performance,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0034:mysql,PERF_0034,performance,mysql,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
PERF_0034:spark,PERF_0034,performance,spark,executed,match_exact,,,true,true,true,mysql_spark_execution_validity_expansion_60_only_not_timing_speedup_or_leaderboard_evidence
