case_id,pool,generation_status,execution_status_observed,consistency_check_status,failure_class,result_check_path,stderr_log_path,triage_note
PERF_0006,performance,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0006/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PERF_0006_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
PERF_0007,performance,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0007/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PERF_0007_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
PERF_0008,performance,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0008/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PERF_0008_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
PERF_0013,performance,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0013/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PERF_0013_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
PERF_0017,performance,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0017/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PERF_0017_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
PERF_0019,performance,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0019/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PERF_0019_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
PERF_0024,performance,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0024/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PERF_0024_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
PERF_0033,performance,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0033/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PERF_0033_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
PERF_0034,performance,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0034/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PERF_0034_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
PERF_0035,performance,generation_success,executed,mismatch,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0035/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PERF_0035_pg_calcite_hep_pg_rewrite.stderr.log,executed_but_result_mismatch_not_timing_eligible
PERF_0052,performance,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0052/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PERF_0052_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
PERF_0054,performance,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0054/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PERF_0054_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
PERF_0056,performance,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0056/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PERF_0056_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
PERF_0062,performance,generation_success,executed,mismatch,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0062/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PERF_0062_pg_calcite_hep_pg_rewrite.stderr.log,executed_but_result_mismatch_not_timing_eligible
PERF_0077,performance,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0077/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PERF_0077_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
PERF_0082,performance,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0082/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PERF_0082_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
CONS_0005,consistency,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/CONS_0005/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/CONS_0005_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
CONS_0007,consistency,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/CONS_0007/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/CONS_0007_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
CONS_0009,consistency,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/CONS_0009/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/CONS_0009_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
CONS_0010,consistency,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/CONS_0010/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/CONS_0010_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
CONS_0011,consistency,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/CONS_0011/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/CONS_0011_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
CONS_0012,consistency,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/CONS_0012/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/CONS_0012_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
CONS_0024,consistency,generation_success,executed,match_exact,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/CONS_0024/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/CONS_0024_pg_calcite_hep_pg_rewrite.stderr.log,executed_match_exact
CONS_0036,consistency,generation_success,execution_failed,not_checked_execution_failed,calcite_generated_identifier_casing_failure,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/CONS_0036/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/CONS_0036_pg_calcite_hep_pg_rewrite.stderr.log,execution_failed
CONS_0037,consistency,generation_success,execution_failed,not_checked_execution_failed,calcite_generated_identifier_casing_failure,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/CONS_0037/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/CONS_0037_pg_calcite_hep_pg_rewrite.stderr.log,execution_failed
PORT_0003,portability,generation_failed_parse,not_executed_generation_failed,not_checked_generation_failed,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PORT_0003/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PORT_0003_pg_calcite_hep_pg_rewrite.stderr.log,generation_failed_kept_in_denominator
PORT_0004,portability,generation_failed_parse,not_executed_generation_failed,not_checked_generation_failed,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PORT_0004/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PORT_0004_pg_calcite_hep_pg_rewrite.stderr.log,generation_failed_kept_in_denominator
PORT_0005,portability,generation_failed_parse,not_executed_generation_failed,not_checked_generation_failed,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PORT_0005/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PORT_0005_pg_calcite_hep_pg_rewrite.stderr.log,generation_failed_kept_in_denominator
PORT_0008,portability,generation_failed_parse,not_executed_generation_failed,not_checked_generation_failed,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PORT_0008/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PORT_0008_pg_calcite_hep_pg_rewrite.stderr.log,generation_failed_kept_in_denominator
PORT_0012,portability,generation_failed_parse,not_executed_generation_failed,not_checked_generation_failed,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PORT_0012/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PORT_0012_pg_calcite_hep_pg_rewrite.stderr.log,generation_failed_kept_in_denominator
PORT_0013,portability,generation_failed_unsupported_sql,not_executed_generation_failed,not_checked_generation_failed,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PORT_0013/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PORT_0013_pg_calcite_hep_pg_rewrite.stderr.log,generation_failed_kept_in_denominator
PORT_0022,portability,generation_failed_parse,not_executed_generation_failed,not_checked_generation_failed,,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PORT_0022/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/logs/PORT_0022_pg_calcite_hep_pg_rewrite.stderr.log,generation_failed_kept_in_denominator
