case_id,pool,engine,route_id,generation_status,source_sql_path,generated_sql_path,schema_path,witness_data_path,control_source_artifact,expected_source_output_path,expected_generated_output_path,expected_result_check_path,execution_status,consistency_check_status,exclusion_reason,caveat
PERF_0006,performance,pg,calcite_hep_pg_rewrite,generation_success,cases/PERF/PERF_0006/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0006/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0006/schema/ddl_pg.sql,cases/PERF/PERF_0006/validation/pg_witness_data.sql,cases/PERF/PERF_0006/runs/pg/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0006_pg_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0006_pg_validation.stderr.log|cases/PERF/PERF_0006/runs/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0006/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0006/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0006/pg/result_check.json,ready_to_execute,pending_result_comparison,,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=perf_0006_pg_validation; PostgreSQL-only witness validation.; No MySQL or Spark validation is implied.; No plans were collected.
PERF_0007,performance,pg,calcite_hep_pg_rewrite,generation_success,cases/PERF/PERF_0007/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0007/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0007/schema/ddl_pg.sql,cases/PERF/PERF_0007/validation/pg_witness_data.sql,cases/PERF/PERF_0007/runs/pg/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0007_pg_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0007_pg_validation.stderr.log|cases/PERF/PERF_0007/runs/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0007/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0007/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0007/pg/result_check.json,ready_to_execute,pending_result_comparison,,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=perf_0007_pg_validation; PostgreSQL-only witness validation.; No MySQL or Spark validation is implied.; No plans were collected.
PERF_0008,performance,pg,calcite_hep_pg_rewrite,generation_success,cases/PERF/PERF_0008/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0008/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0008/schema/ddl_pg.sql,cases/PERF/PERF_0008/validation/pg_witness_data.sql,cases/PERF/PERF_0008/runs/pg/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0008_pg_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0008_pg_validation.stderr.log|cases/PERF/PERF_0008/runs/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0008/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0008/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0008/pg/result_check.json,ready_to_execute,pending_result_comparison,,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=perf_0008_pg_validation; PostgreSQL-only witness validation.; No MySQL or Spark validation is implied.; No plans were collected.
PERF_0013,performance,pg,calcite_hep_pg_rewrite,generation_success,cases/PERF/PERF_0013/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0013/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0013/schema/ddl_pg.sql,cases/PERF/PERF_0013/validation/pg_witness_data.sql,cases/PERF/PERF_0013/runs/pg/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0013_pg_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0013_pg_validation.stderr.log|cases/PERF/PERF_0013/runs/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0013/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0013/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0013/pg/result_check.json,ready_to_execute,pending_result_comparison,,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=perf_0013_pg_validation; PostgreSQL-only witness validation.; No MySQL or Spark validation is implied.; No plans were collected.
PERF_0017,performance,pg,calcite_hep_pg_rewrite,generation_success,cases/PERF/PERF_0017/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0017/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0017/schema/ddl_pg.sql,cases/PERF/PERF_0017/validation/pg_witness_data.sql,cases/PERF/PERF_0017/runs/pg/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0017_pg_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0017_pg_validation.stderr.log|cases/PERF/PERF_0017/runs/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0017/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0017/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0017/pg/result_check.json,ready_to_execute,pending_result_comparison,,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=perf_0017_pg_validation; PostgreSQL-only witness validation.; No MySQL or Spark validation is implied.; No plans were collected.
PERF_0019,performance,pg,calcite_hep_pg_rewrite,generation_success,cases/PERF/PERF_0019/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0019/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0019/schema/ddl_pg.sql,cases/PERF/PERF_0019/validation/pg_witness_data.sql,cases/PERF/PERF_0019/runs/pg/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0019_pg_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0019_pg_validation.stderr.log|cases/PERF/PERF_0019/runs/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0019/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0019/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0019/pg/result_check.json,ready_to_execute,pending_result_comparison,,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=perf_0019_pg_validation; PostgreSQL-only witness validation.; No MySQL or Spark validation is implied.; No plans were collected.
PERF_0024,performance,pg,calcite_hep_pg_rewrite,generation_success,cases/PERF/PERF_0024/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0024/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0024/schema/ddl_pg.sql,cases/PERF/PERF_0024/validation/pg_witness_data.sql,cases/PERF/PERF_0024/runs/pg/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0024_pg_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0024_pg_validation.stderr.log|cases/PERF/PERF_0024/runs/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0024/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0024/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0024/pg/result_check.json,ready_to_execute,pending_result_comparison,,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=perf_0024_pg_validation; PostgreSQL-only witness validation.; No MySQL or Spark validation is implied.; No plans were collected.
PERF_0033,performance,pg,calcite_hep_pg_rewrite,generation_success,cases/PERF/PERF_0033/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0033/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0033/schema/ddl_pg.sql,cases/PERF/PERF_0033/validation/pg_witness_data.sql,cases/PERF/PERF_0033/runs/pg/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0033_pg_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0033_pg_validation.stderr.log|cases/PERF/PERF_0033/runs/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0033/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0033/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0033/pg/result_check.json,ready_to_execute,pending_result_comparison,,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=perf_0033_pg_validation; PostgreSQL-only witness validation.; No MySQL or Spark validation is implied.; No plans were collected.
PERF_0034,performance,pg,calcite_hep_pg_rewrite,generation_success,cases/PERF/PERF_0034/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0034/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0034/schema/ddl_pg.sql,cases/PERF/PERF_0034/validation/pg_witness_data.sql,cases/PERF/PERF_0034/runs/pg/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0034_pg_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0034_pg_validation.stderr.log|cases/PERF/PERF_0034/runs/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0034/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0034/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0034/pg/result_check.json,ready_to_execute,pending_result_comparison,,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=perf_0034_pg_validation; PostgreSQL-only witness validation.; No MySQL or Spark validation is implied.; No plans were collected.
PERF_0035,performance,pg,calcite_hep_pg_rewrite,generation_success,cases/PERF/PERF_0035/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0035/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0035/schema/ddl_pg.sql,cases/PERF/PERF_0035/validation/pg_witness_data.sql,cases/PERF/PERF_0035/runs/pg/result_check.json|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0035_pg_validation.stdout.log|reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/logs/perf_0035_pg_validation.stderr.log|cases/PERF/PERF_0035/runs/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0035/pg/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0035/pg/generated.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/PERF_0035/pg/result_check.json,ready_to_execute,pending_result_comparison,,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; notes_link=benchmark_spec/reviews/COMMON_CORE_V0_HUMAN_GATE_DECISIONS_DRAFT.md; validation_command=perf_0035_pg_validation; PostgreSQL-only witness validation.; No MySQL or Spark validation is implied.; No plans were collected.
