candidate_id,schema_name,statement_timeout,setup_sql,source_explain_sql,rewrite_explain_sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg,attr24_direct_llm__direct_llm_same_engine_rewrite__perf_0007,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0007__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg,attr24_direct_llm__direct_llm_same_engine_rewrite__cons_0012,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0008__pg,attr24_direct_llm__direct_llm_same_engine_rewrite__perf_0008,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0008__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0008__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0008__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PORT_0003__pg,attr24_direct_llm__direct_llm_same_engine_rewrite__port_0003,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0003__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0003__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PORT_0003__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__CONS_0037__pg,attr24_direct_llm__direct_llm_same_engine_rewrite__cons_0037,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0037__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0037__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0037__pg/rewrite_explain.sql
direct_llm__direct_llm_same_engine_rewrite__PERF_0034__pg,attr24_direct_llm__direct_llm_same_engine_rewrite__perf_0034,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0034__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0034__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__PERF_0034__pg/rewrite_explain.sql
direct_llm__direct_llm_execute_repair_1shot__LONGTAIL_0023__pg,attr24_direct_llm__direct_llm_execute_repair_1shot__longtail,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_execute_repair_1shot__LONGTAIL_0023__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_execute_repair_1shot__LONGTAIL_0023__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_execute_repair_1shot__LONGTAIL_0023__pg/rewrite_explain.sql
direct_llm__direct_llm_execute_repair_1shot__PERF_0019__pg,attr24_direct_llm__direct_llm_execute_repair_1shot__perf_001,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_execute_repair_1shot__PERF_0019__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_execute_repair_1shot__PERF_0019__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/direct_llm__direct_llm_execute_repair_1shot__PERF_0019__pg/rewrite_explain.sql
sqlglot__sqlglot_transpile_same_dialect_noop__CONS_0005__pg,attr24_sqlglot__sqlglot_transpile_same_dialect_noop__cons_00,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__CONS_0005__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__CONS_0005__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__CONS_0005__pg/rewrite_explain.sql
sqlglot__sqlglot_transpile_same_dialect_noop__LONGTAIL_0011__pg,attr24_sqlglot__sqlglot_transpile_same_dialect_noop__longtai,60s,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__LONGTAIL_0011__pg/setup.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__LONGTAIL_0011__pg/source_explain.sql,reports/evaluation/common_core_v0/runs/pg_plan_attribution_24_01/workspaces/sqlglot__sqlglot_transpile_same_dialect_noop__LONGTAIL_0011__pg/rewrite_explain.sql
