case_id,pool,source_family,engine,route_id,generation_status,execution_row_status,record_row_status,exit_code,status,failure_class,top_error,stdout_log,stderr_log,caveat
PORT_0003,portability,PARROT,mysql,sqlglot_optimize_same_dialect,success,skipped_unsupported,skipped_unsupported,,skipped_unsupported,expected_unsupported_outcome,PORT same-engine row unsupported on this engine,,,"controls_native_source_status=skipped; controls_native_source_evidence_mode=skipped_unsupported; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark; PORT same-engine row unsupported because controls native_source is unsupported on this engine"
PORT_0003,portability,PARROT,mysql,sqlglot_transpile_same_dialect_noop,success,skipped_unsupported,skipped_unsupported,,skipped_unsupported,expected_unsupported_outcome,PORT same-engine row unsupported on this engine,,,"controls_native_source_status=skipped; controls_native_source_evidence_mode=skipped_unsupported; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark; PORT same-engine row unsupported because controls native_source is unsupported on this engine"
PORT_0003,portability,PARROT,pg,sqlglot_optimize_same_dialect,success,ready_to_execute,executed,1,executed_failed,package_witness_gap,Missing cases/PORT/PORT_0003/validation/pg_witness_data.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_01/logs/port_0003__pg__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_01/logs/port_0003__pg__sqlglot_optimize_same_dialect.stderr.log,"controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark; PORT same-engine execution row is limited to the engine with native_source support"
PORT_0003,portability,PARROT,pg,sqlglot_transpile_same_dialect_noop,success,noop_generated,noop_generated,,noop_generated,expected_noop_outcome,Generated SQL was an explicit same-dialect no-op output,,,"controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark; same-dialect transpile/no-op output is explicit and not executed in this pass"
PORT_0003,portability,PARROT,spark,sqlglot_optimize_same_dialect,success,skipped_unsupported,skipped_unsupported,,skipped_unsupported,expected_unsupported_outcome,PORT same-engine row unsupported on this engine,,,"controls_native_source_status=skipped; controls_native_source_evidence_mode=skipped_unsupported; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark; PORT same-engine row unsupported because controls native_source is unsupported on this engine"
PORT_0003,portability,PARROT,spark,sqlglot_transpile_same_dialect_noop,success,skipped_unsupported,skipped_unsupported,,skipped_unsupported,expected_unsupported_outcome,PORT same-engine row unsupported on this engine,,,"controls_native_source_status=skipped; controls_native_source_evidence_mode=skipped_unsupported; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark; PORT same-engine row unsupported because controls native_source is unsupported on this engine"
PORT_0004,portability,PARROT,mysql,sqlglot_optimize_same_dialect,success,ready_to_execute,executed,0,executed_success,none,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_01/logs/port_0004__mysql__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_01/logs/port_0004__mysql__sqlglot_optimize_same_dialect.stderr.log,"controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on pg,spark; PORT same-engine execution row is limited to the engine with native_source support"
PORT_0004,portability,PARROT,mysql,sqlglot_transpile_same_dialect_noop,success,noop_generated,noop_generated,,noop_generated,expected_noop_outcome,Generated SQL was an explicit same-dialect no-op output,,,"controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on pg,spark; same-dialect transpile/no-op output is explicit and not executed in this pass"
PORT_0004,portability,PARROT,pg,sqlglot_optimize_same_dialect,skipped,skipped_unsupported,skipped_unsupported,,skipped_unsupported,expected_unsupported_outcome,PORT same-engine row unsupported on this engine,,,"controls_native_source_status=skipped; controls_native_source_evidence_mode=skipped_unsupported; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on pg,spark; PORT same-engine row unsupported because controls native_source is unsupported on this engine"
PORT_0004,portability,PARROT,pg,sqlglot_transpile_same_dialect_noop,skipped,skipped_unsupported,skipped_unsupported,,skipped_unsupported,expected_unsupported_outcome,PORT same-engine row unsupported on this engine,,,"controls_native_source_status=skipped; controls_native_source_evidence_mode=skipped_unsupported; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on pg,spark; PORT same-engine row unsupported because controls native_source is unsupported on this engine"
PORT_0004,portability,PARROT,spark,sqlglot_optimize_same_dialect,success,skipped_unsupported,skipped_unsupported,,skipped_unsupported,expected_unsupported_outcome,PORT same-engine row unsupported on this engine,,,"controls_native_source_status=skipped; controls_native_source_evidence_mode=skipped_unsupported; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on pg,spark; PORT same-engine row unsupported because controls native_source is unsupported on this engine"
PORT_0004,portability,PARROT,spark,sqlglot_transpile_same_dialect_noop,success,skipped_unsupported,skipped_unsupported,,skipped_unsupported,expected_unsupported_outcome,PORT same-engine row unsupported on this engine,,,"controls_native_source_status=skipped; controls_native_source_evidence_mode=skipped_unsupported; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on pg,spark; PORT same-engine row unsupported because controls native_source is unsupported on this engine"
PORT_0005,portability,PARROT,mysql,sqlglot_optimize_same_dialect,success,skipped_unsupported,skipped_unsupported,,skipped_unsupported,expected_unsupported_outcome,PORT same-engine row unsupported on this engine,,,"controls_native_source_status=skipped; controls_native_source_evidence_mode=skipped_unsupported; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark; PORT same-engine row unsupported because controls native_source is unsupported on this engine"
PORT_0005,portability,PARROT,mysql,sqlglot_transpile_same_dialect_noop,success,skipped_unsupported,skipped_unsupported,,skipped_unsupported,expected_unsupported_outcome,PORT same-engine row unsupported on this engine,,,"controls_native_source_status=skipped; controls_native_source_evidence_mode=skipped_unsupported; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark; PORT same-engine row unsupported because controls native_source is unsupported on this engine"
