case_id,pool,source_family,engine,route_id,generation_status,is_noop_output,generated_sql_path,controls_native_source_status,controls_native_source_evidence_mode,execution_row_status,source_sql_path,schema_path,witness_data_path,run_local_workspace,execution_command_kind,caveat
PORT_0003,portability,PARROT,mysql,sqlglot_optimize_same_dialect,success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/PORT_0003/mysql/sqlglot_optimize_same_dialect.sql,skipped,skipped_unsupported,skipped_unsupported,cases/PORT/PORT_0003/source.sql,cases/PORT/PORT_0003/schema/ddl_mysql.sql,cases/PORT/PORT_0003/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_01/workspaces/PORT_0003/mysql/sqlglot_optimize_same_dialect,,"controls_native_source_status=skipped; controls_native_source_evidence_mode=skipped_unsupported; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark; PORT same-engine row unsupported because controls native_source is unsupported on this engine"
PORT_0003,portability,PARROT,mysql,sqlglot_transpile_same_dialect_noop,success,yes,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/PORT_0003/mysql/sqlglot_transpile_same_dialect_noop.sql,skipped,skipped_unsupported,skipped_unsupported,cases/PORT/PORT_0003/source.sql,cases/PORT/PORT_0003/schema/ddl_mysql.sql,cases/PORT/PORT_0003/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_01/workspaces/PORT_0003/mysql/sqlglot_transpile_same_dialect_noop,,"controls_native_source_status=skipped; controls_native_source_evidence_mode=skipped_unsupported; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark; PORT same-engine row unsupported because controls native_source is unsupported on this engine"
PORT_0003,portability,PARROT,pg,sqlglot_optimize_same_dialect,success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/PORT_0003/pg/sqlglot_optimize_same_dialect.sql,success,fresh_manual_validation,ready_to_execute,cases/PORT/PORT_0003/source.sql,cases/PORT/PORT_0003/schema/ddl_pg.sql,cases/PORT/PORT_0003/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_01/workspaces/PORT_0003/pg/sqlglot_optimize_same_dialect,postgres_inline_cli,"controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark; PORT same-engine execution row is limited to the engine with native_source support"
PORT_0003,portability,PARROT,pg,sqlglot_transpile_same_dialect_noop,success,yes,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/PORT_0003/pg/sqlglot_transpile_same_dialect_noop.sql,success,fresh_manual_validation,noop_generated,cases/PORT/PORT_0003/source.sql,cases/PORT/PORT_0003/schema/ddl_pg.sql,cases/PORT/PORT_0003/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_01/workspaces/PORT_0003/pg/sqlglot_transpile_same_dialect_noop,,"controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark; same-dialect transpile/no-op output is explicit and not executed in this pass"
PORT_0003,portability,PARROT,spark,sqlglot_optimize_same_dialect,success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/PORT_0003/spark/sqlglot_optimize_same_dialect.sql,skipped,skipped_unsupported,skipped_unsupported,cases/PORT/PORT_0003/source.sql,cases/PORT/PORT_0003/schema/ddl_spark.sql,cases/PORT/PORT_0003/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_01/workspaces/PORT_0003/spark/sqlglot_optimize_same_dialect,,"controls_native_source_status=skipped; controls_native_source_evidence_mode=skipped_unsupported; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark; PORT same-engine row unsupported because controls native_source is unsupported on this engine"
PORT_0003,portability,PARROT,spark,sqlglot_transpile_same_dialect_noop,success,yes,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/PORT_0003/spark/sqlglot_transpile_same_dialect_noop.sql,skipped,skipped_unsupported,skipped_unsupported,cases/PORT/PORT_0003/source.sql,cases/PORT/PORT_0003/schema/ddl_spark.sql,cases/PORT/PORT_0003/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_01/workspaces/PORT_0003/spark/sqlglot_transpile_same_dialect_noop,,"controls_native_source_status=skipped; controls_native_source_evidence_mode=skipped_unsupported; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark; PORT same-engine row unsupported because controls native_source is unsupported on this engine"
PORT_0004,portability,PARROT,mysql,sqlglot_optimize_same_dialect,success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/PORT_0004/mysql/sqlglot_optimize_same_dialect.sql,success,fresh_manual_validation,ready_to_execute,cases/PORT/PORT_0004/source.sql,cases/PORT/PORT_0004/schema/ddl_mysql.sql,cases/PORT/PORT_0004/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_01/workspaces/PORT_0004/mysql/sqlglot_optimize_same_dialect,mysql_inline_cli,"controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on pg,spark; PORT same-engine execution row is limited to the engine with native_source support"
PORT_0004,portability,PARROT,mysql,sqlglot_transpile_same_dialect_noop,success,yes,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/PORT_0004/mysql/sqlglot_transpile_same_dialect_noop.sql,success,fresh_manual_validation,noop_generated,cases/PORT/PORT_0004/source.sql,cases/PORT/PORT_0004/schema/ddl_mysql.sql,cases/PORT/PORT_0004/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_01/workspaces/PORT_0004/mysql/sqlglot_transpile_same_dialect_noop,,"controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on pg,spark; same-dialect transpile/no-op output is explicit and not executed in this pass"
PORT_0004,portability,PARROT,pg,sqlglot_optimize_same_dialect,skipped,no,,skipped,skipped_unsupported,skipped_unsupported,cases/PORT/PORT_0004/source.sql,cases/PORT/PORT_0004/schema/ddl_pg.sql,cases/PORT/PORT_0004/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_01/workspaces/PORT_0004/pg/sqlglot_optimize_same_dialect,,"controls_native_source_status=skipped; controls_native_source_evidence_mode=skipped_unsupported; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on pg,spark; PORT same-engine row unsupported because controls native_source is unsupported on this engine"
PORT_0004,portability,PARROT,pg,sqlglot_transpile_same_dialect_noop,skipped,no,,skipped,skipped_unsupported,skipped_unsupported,cases/PORT/PORT_0004/source.sql,cases/PORT/PORT_0004/schema/ddl_pg.sql,cases/PORT/PORT_0004/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_port_execution_01/workspaces/PORT_0004/pg/sqlglot_transpile_same_dialect_noop,,"controls_native_source_status=skipped; controls_native_source_evidence_mode=skipped_unsupported; common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on pg,spark; PORT same-engine row unsupported because controls native_source is unsupported on this engine"
