case_id,pool,route_id,timing_success_rows,engine_count,engines_json,replacement_retry_rows,timing_source_packages_json,median_source_ms_by_engine_json,median_generated_ms_by_engine_json,speedup_ratio_by_engine_json,provenance_note
CONS_0005,consistency,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 134.72597498912364, ""pg"": 400.2830960089341, ""spark"": 209.2272659065202}","{""mysql"": 136.36937399860471, ""pg"": 299.9543258920312, ""spark"": 214.92869302164763}","{""mysql"": 0.987948914325163, ""pg"": 1.3344801573324077, ""spark"": 0.9734729363726545}",all timing rows retained from full timing run
CONS_0007,consistency,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 116.4318110095337, ""pg"": 395.79129207413644, ""spark"": 175.614898907952}","{""mysql"": 116.65510002058, ""pg"": 293.37660304736346, ""spark"": 172.24563704803586}","{""mysql"": 0.998085904422465, ""pg"": 1.3490894909920232, ""spark"": 1.0195607965325504}",all timing rows retained from full timing run
CONS_0009,consistency,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 151.60864708013833, ""pg"": 400.7300300290808, ""spark"": 392.8798190318048}","{""mysql"": 152.11009595077485, ""pg"": 410.23533104453236, ""spark"": 360.99076399113983}","{""mysql"": 0.9967033820634839, ""pg"": 0.9768296382682365, ""spark"": 1.0883375925968224}",all timing rows retained from full timing run
CONS_0010,consistency,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 137.03142199665308, ""pg"": 299.19123998843133, ""spark"": 262.49541610013694}","{""mysql"": 135.23461192380637, ""pg"": 296.3594290195033, ""spark"": 252.70477205049247}","{""mysql"": 1.0132866138874201, ""pg"": 1.0095553260387125, ""spark"": 1.0387434078517845}",all timing rows retained from full timing run
CONS_0011,consistency,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 154.89827503915876, ""pg"": 399.43992102053016, ""spark"": 337.54556404892355}","{""mysql"": 158.0552679952234, ""pg"": 403.8681980455294, ""spark"": 331.6002709325403}","{""mysql"": 0.9800260187711045, ""pg"": 0.9890353411176483, ""spark"": 1.0179290960760183}",all timing rows retained from full timing run
CONS_0012,consistency,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 139.677532017231, ""pg"": 503.05691093672067, ""spark"": 290.752531029284}","{""mysql"": 134.57055506296456, ""pg"": 294.61073398124427, ""spark"": 278.1715659657493}","{""mysql"": 1.0379501812404424, ""pg"": 1.707530829371433, ""spark"": 1.045227358230725}",all timing rows retained from full timing run
CONS_0036,consistency,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 116.72216793522239, ""pg"": 292.89009189233184, ""spark"": 175.53194297943264}","{""mysql"": 118.03961102850735, ""pg"": 293.6771069653332, ""spark"": 171.88523104414344}","{""mysql"": 0.9888389746305857, ""pg"": 0.9973201347523003, ""spark"": 1.0212159701746142}",all timing rows retained from full timing run
CONS_0037,consistency,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 135.73312002699822, ""pg"": 293.4221130562946, ""spark"": 307.5412770267576}","{""mysql"": 132.55881099030375, ""pg"": 404.72168603446335, ""spark"": 293.02379803266376}","{""mysql"": 1.023946420558394, ""pg"": 0.7249972590579413, ""spark"": 1.049543685842457}",all timing rows retained from full timing run
LONGTAIL_0011,longtail,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 137.6921460032463, ""pg"": 395.48488100990653, ""spark"": 367.2442480456084}","{""mysql"": 139.26497392822057, ""pg"": 302.7434330433607, ""spark"": 362.1491260128096}","{""mysql"": 0.9887062203753765, ""pg"": 1.3063367784207653, ""spark"": 1.0140691269613022}",all timing rows retained from full timing run
LONGTAIL_0012,longtail,direct_llm_same_engine_rewrite,3,3,"[""mysql"", ""pg"", ""spark""]",0,"[""direct_llm_same_engine_timing_01""]","{""mysql"": 152.6469700038433, ""pg"": 411.7606159998104, ""spark"": 582.017034990713}","{""mysql"": 148.6207920825109, ""pg"": 325.5242899758741, ""spark"": 523.5132799716666}","{""mysql"": 1.0270902736078622, ""pg"": 1.2649151804626548, ""spark"": 1.1117521890222397}",all timing rows retained from full timing run
